label	status	started_utc	finished_utc	command	output
device_get_state	0	2026-08-03T00:28:26Z	2026-08-03T00:28:26Z	adb -s 'G001LT0511550CFT' 'get-state'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/get_state.txt
getprop_all	0	2026-08-03T00:28:26Z	2026-08-03T00:28:26Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/device_properties.txt
getprop_ro_product_model	0	2026-08-03T00:28:26Z	2026-08-03T00:28:26Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.product.model'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/properties/ro_product_model.txt
getprop_ro_product_device	0	2026-08-03T00:28:26Z	2026-08-03T00:28:26Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.product.device'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/properties/ro_product_device.txt
getprop_ro_product_name	0	2026-08-03T00:28:26Z	2026-08-03T00:28:26Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.product.name'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/properties/ro_product_name.txt
getprop_ro_product_board	0	2026-08-03T00:28:26Z	2026-08-03T00:28:26Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.product.board'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/properties/ro_product_board.txt
getprop_ro_hardware	0	2026-08-03T00:28:26Z	2026-08-03T00:28:26Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.hardware'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/properties/ro_hardware.txt
getprop_ro_boot_hardware	0	2026-08-03T00:28:26Z	2026-08-03T00:28:26Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.boot.hardware'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/properties/ro_boot_hardware.txt
getprop_ro_build_version_release	0	2026-08-03T00:28:26Z	2026-08-03T00:28:26Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.build.version.release'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/properties/ro_build_version_release.txt
getprop_ro_build_version_sdk	0	2026-08-03T00:28:26Z	2026-08-03T00:28:26Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.build.version.sdk'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/properties/ro_build_version_sdk.txt
getprop_ro_build_version_incremental	0	2026-08-03T00:28:26Z	2026-08-03T00:28:26Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.build.version.incremental'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/properties/ro_build_version_incremental.txt
getprop_ro_build_version_security_patch	0	2026-08-03T00:28:26Z	2026-08-03T00:28:26Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.build.version.security_patch'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/properties/ro_build_version_security_patch.txt
getprop_ro_build_fingerprint	0	2026-08-03T00:28:26Z	2026-08-03T00:28:26Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.build.fingerprint'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/properties/ro_build_fingerprint.txt
getprop_ro_build_type	0	2026-08-03T00:28:26Z	2026-08-03T00:28:26Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.build.type'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/properties/ro_build_type.txt
getprop_ro_build_tags	0	2026-08-03T00:28:26Z	2026-08-03T00:28:26Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.build.tags'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/properties/ro_build_tags.txt
getprop_ro_debuggable	0	2026-08-03T00:28:26Z	2026-08-03T00:28:26Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.debuggable'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/properties/ro_debuggable.txt
getprop_ro_secure	0	2026-08-03T00:28:26Z	2026-08-03T00:28:26Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.secure'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/properties/ro_secure.txt
getprop_ro_adb_secure	0	2026-08-03T00:28:26Z	2026-08-03T00:28:26Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.adb.secure'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/properties/ro_adb_secure.txt
getprop_ro_boot_verifiedbootstate	0	2026-08-03T00:28:26Z	2026-08-03T00:28:26Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.boot.verifiedbootstate'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/properties/ro_boot_verifiedbootstate.txt
getprop_ro_boot_flash_locked	0	2026-08-03T00:28:26Z	2026-08-03T00:28:27Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.boot.flash.locked'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/properties/ro_boot_flash_locked.txt
getprop_ro_boot_vbmeta_device_state	0	2026-08-03T00:28:27Z	2026-08-03T00:28:27Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.boot.vbmeta.device_state'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/properties/ro_boot_vbmeta_device_state.txt
getprop_ro_build_mktg_fireos	0	2026-08-03T00:28:27Z	2026-08-03T00:28:27Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.build.mktg.fireos'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/properties/ro_build_mktg_fireos.txt
getprop_ro_build_version_fireos	0	2026-08-03T00:28:27Z	2026-08-03T00:28:27Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.build.version.fireos'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/properties/ro_build_version_fireos.txt
packages_all	0	2026-08-03T00:28:27Z	2026-08-03T00:28:27Z	adb -s 'G001LT0511550CFT' 'shell' 'pm' 'list' 'packages' '-f'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/package_list.txt
packages_system	0	2026-08-03T00:28:27Z	2026-08-03T00:28:27Z	adb -s 'G001LT0511550CFT' 'shell' 'pm' 'list' 'packages' '-s'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/system_packages.txt
packages_user	0	2026-08-03T00:28:27Z	2026-08-03T00:28:27Z	adb -s 'G001LT0511550CFT' 'shell' 'pm' 'list' 'packages' '-3'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/user_packages.txt
packages_disabled	0	2026-08-03T00:28:27Z	2026-08-03T00:28:27Z	adb -s 'G001LT0511550CFT' 'shell' 'pm' 'list' 'packages' '-d'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/disabled_packages.txt
packages_enabled	0	2026-08-03T00:28:27Z	2026-08-03T00:28:27Z	adb -s 'G001LT0511550CFT' 'shell' 'pm' 'list' 'packages' '-e'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/enabled_packages.txt
packages_users	0	2026-08-03T00:28:27Z	2026-08-03T00:28:27Z	adb -s 'G001LT0511550CFT' 'shell' 'pm' 'list' 'users'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/BASELINE-20260803-01/packages/user_list.txt
home_resolve_cmd	0	2026-08-03T00:28:27Z	2026-08-03T00:28:27Z	adb -s 'G001LT0511550CFT' 'shell' 'cmd' 'package' 'resolve-activity' '--brief' '-a' 'android.intent.action.MAIN' '-c' 'android.intent.category.HOME'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/adb/baseline/BASELINE-20260803-01/home_resolve_cmd.txt
home_query_cmd	0	2026-08-03T00:28:27Z	2026-08-03T00:28:27Z	adb -s 'G001LT0511550CFT' 'shell' 'cmd' 'package' 'query-activities' '-a' 'android.intent.action.MAIN' '-c' 'android.intent.category.HOME'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/adb/baseline/BASELINE-20260803-01/home_query_cmd.txt
preferred_activities	0	2026-08-03T00:28:27Z	2026-08-03T00:28:28Z	adb -s 'G001LT0511550CFT' 'shell' 'dumpsys' 'package' 'preferred-activities'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/adb/baseline/BASELINE-20260803-01/preferred_activities.txt
package_dump_full	0	2026-08-03T00:28:28Z	2026-08-03T00:28:28Z	adb -s 'G001LT0511550CFT' 'shell' 'dumpsys' 'package'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/adb/baseline/BASELINE-20260803-01/dumpsys_package_full.txt
