elapsed_seconds	utc	resolve_output
0	2026-08-03T01:20:42Z	cmd: Can't find service: package
2	2026-08-03T01:20:44Z	cmd: Can't find service: package
4	2026-08-03T01:20:46Z	priority=-1000 preferredOrder=0 match=0x108000 specificIndex=-1 isDefault=true
com.android.settings/.FallbackHome
6	2026-08-03T01:20:48Z	priority=-1000 preferredOrder=0 match=0x108000 specificIndex=-1 isDefault=true
com.android.settings/.FallbackHome
8	2026-08-03T01:20:50Z	priority=-1000 preferredOrder=0 match=0x108000 specificIndex=-1 isDefault=true
com.android.settings/.FallbackHome
10	2026-08-03T01:20:52Z	priority=50 preferredOrder=0 match=0x108000 specificIndex=-1 isDefault=true
com.amazon.firelauncher/.Launcher
