elapsed_seconds	utc	get_state
0	2026-08-03T01:20:23Z	error: device 'G001LT0511550CFT' not found
2	2026-08-03T01:20:25Z	error: device 'G001LT0511550CFT' not found
4	2026-08-03T01:20:28Z	error: device 'G001LT0511550CFT' not found
7	2026-08-03T01:20:30Z	error: device 'G001LT0511550CFT' not found
9	2026-08-03T01:20:32Z	error: device 'G001LT0511550CFT' not found
11	2026-08-03T01:20:34Z	error: device 'G001LT0511550CFT' not found
13	2026-08-03T01:20:36Z	error: device 'G001LT0511550CFT' not found
15	2026-08-03T01:20:38Z	error: device 'G001LT0511550CFT' not found
17	2026-08-03T01:20:40Z	error: device 'G001LT0511550CFT' not found
19	2026-08-03T01:20:42Z	device
