label	status	started_utc	finished_utc	command	stdout	stderr
device_get_state	0	2026-08-03T07:07:37Z	2026-08-03T07:07:37Z	adb -s 'G001LT0511550CFT' 'get-state'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/PHASE3B-BASELINE-20260803-02/get_state.stdout.txt	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/PHASE3B-BASELINE-20260803-02/get_state.stderr.txt
devices	0	2026-08-03T07:07:37Z	2026-08-03T07:07:37Z	adb -s 'G001LT0511550CFT' 'devices' '-l'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/PHASE3B-BASELINE-20260803-02/devices.stdout.txt	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/PHASE3B-BASELINE-20260803-02/devices.stderr.txt
getprop_all	0	2026-08-03T07:07:37Z	2026-08-03T07:07:38Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/PHASE3B-BASELINE-20260803-02/device_properties.stdout.txt	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/PHASE3B-BASELINE-20260803-02/device_properties.stderr.txt
getprop_ro_product_model	0	2026-08-03T07:07:38Z	2026-08-03T07:07:38Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.product.model'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/PHASE3B-BASELINE-20260803-02/properties/ro_product_model.stdout.txt	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/PHASE3B-BASELINE-20260803-02/properties/ro_product_model.stderr.txt
getprop_ro_product_device	0	2026-08-03T07:07:38Z	2026-08-03T07:07:38Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.product.device'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/PHASE3B-BASELINE-20260803-02/properties/ro_product_device.stdout.txt	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/PHASE3B-BASELINE-20260803-02/properties/ro_product_device.stderr.txt
getprop_ro_product_name	0	2026-08-03T07:07:38Z	2026-08-03T07:07:38Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.product.name'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/PHASE3B-BASELINE-20260803-02/properties/ro_product_name.stdout.txt	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/PHASE3B-BASELINE-20260803-02/properties/ro_product_name.stderr.txt
getprop_ro_product_board	0	2026-08-03T07:07:38Z	2026-08-03T07:07:38Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.product.board'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/PHASE3B-BASELINE-20260803-02/properties/ro_product_board.stdout.txt	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/PHASE3B-BASELINE-20260803-02/properties/ro_product_board.stderr.txt
getprop_ro_hardware	0	2026-08-03T07:07:38Z	2026-08-03T07:07:38Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.hardware'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/PHASE3B-BASELINE-20260803-02/properties/ro_hardware.stdout.txt	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/PHASE3B-BASELINE-20260803-02/properties/ro_hardware.stderr.txt
getprop_ro_boot_hardware	0	2026-08-03T07:07:38Z	2026-08-03T07:07:38Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.boot.hardware'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/PHASE3B-BASELINE-20260803-02/properties/ro_boot_hardware.stdout.txt	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/PHASE3B-BASELINE-20260803-02/properties/ro_boot_hardware.stderr.txt
getprop_ro_build_version_release	0	2026-08-03T07:07:38Z	2026-08-03T07:07:38Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop' 'ro.build.version.release'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/PHASE3B-BASELINE-20260803-02/properties/ro_build_version_release.stdout.txt	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/baseline/PHASE3B-BASELINE-20260803-02/properties/ro_build_version_release.stderr.txt
