USER           PID  PPID NAME                        ARGS                       
root             1     0 init                        init
root             2     0 [kthreadd]                  [kthreadd]
root             3     2 [ksoftirqd/0]               [ksoftirqd/0]
root             5     2 [kworker/0:0H]              [kworker/0:0H]
root             7     2 [rcu_preempt]               [rcu_preempt]
root             8     2 [rcu_sched]                 [rcu_sched]
root             9     2 [rcu_bh]                    [rcu_bh]
root            10     2 [migration/0]               [migration/0]
root            11     2 [migration/1]               [migration/1]
root            12     2 [ksoftirqd/1]               [ksoftirqd/1]
root            14     2 [kworker/1:0H]              [kworker/1:0H]
root            15     2 [migration/2]               [migration/2]
root            16     2 [ksoftirqd/2]               [ksoftirqd/2]
root            17     2 [kworker/2:0]               [kworker/2:0]
root            18     2 [kworker/2:0H]              [kworker/2:0H]
root            19     2 [migration/3]               [migration/3]
root            20     2 [ksoftirqd/3]               [ksoftirqd/3]
root            22     2 [kworker/3:0H]              [kworker/3:0H]
root            23     2 [migration/4]               [migration/4]
root            24     2 [ksoftirqd/4]               [ksoftirqd/4]
root            26     2 [kworker/4:0H]              [kworker/4:0H]
root            27     2 [migration/5]               [migration/5]
root            28     2 [ksoftirqd/5]               [ksoftirqd/5]
root            30     2 [kworker/5:0H]              [kworker/5:0H]
root            31     2 [migration/6]               [migration/6]
root            32     2 [ksoftirqd/6]               [ksoftirqd/6]
root            34     2 [kworker/6:0H]              [kworker/6:0H]
root            35     2 [migration/7]               [migration/7]
root            36     2 [ksoftirqd/7]               [ksoftirqd/7]
root            38     2 [kworker/7:0H]              [kworker/7:0H]
root            39     2 [perf]                      [perf]
root            41     2 [SSPM_WQ]                   [SSPM_WQ]
root            42     2 [update_tz_count]           [update_tz_count]
root            43     2 [writeback]                 [writeback]
root            44     2 [crypto]                    [crypto]
root            45     2 [bioset]                    [bioset]
root            46     2 [kblockd]                   [kblockd]
root            47     2 [pd_dbg_info]               [pd_dbg_info]
root            48     2 [cmdq_auto_relea]           [cmdq_auto_relea]
root            49     2 [cmdq_task]                 [cmdq_task]
root            50     2 [cmdq_resource]             [cmdq_resource]
root            51     2 [cmdq_auto_relea]           [cmdq_auto_relea]
root            52     2 [cmdq_auto_relea]           [cmdq_auto_relea]
root            53     2 [cmdq_auto_relea]           [cmdq_auto_relea]
root            54     2 [cmdq_auto_relea]           [cmdq_auto_relea]
root            55     2 [cmdq_auto_relea]           [cmdq_auto_relea]
root            56     2 [cmdq_auto_relea]           [cmdq_auto_relea]
root            57     2 [cmdq_auto_relea]           [cmdq_auto_relea]
root            58     2 [cmdq_auto_relea]           [cmdq_auto_relea]
root            59     2 [cmdq_auto_relea]           [cmdq_auto_relea]
root            60     2 [cmdq_auto_relea]           [cmdq_auto_relea]
root            61     2 [cmdq_auto_relea]           [cmdq_auto_relea]
root            62     2 [cmdq_auto_relea]           [cmdq_auto_relea]
root            63     2 [cmdq_auto_relea]           [cmdq_auto_relea]
root            64     2 [cmdq_auto_relea]           [cmdq_auto_relea]
root            65     2 [cmdq_auto_relea]           [cmdq_auto_relea]
root            66     2 [cmdq_auto_relea]           [cmdq_auto_relea]
root            67     2 [md]                        [md]
root            68     2 [devfreq_wq]                [devfreq_wq]
root            69     2 [kworker/4:1]               [kworker/4:1]
root            70     2 [cfg80211]                  [cfg80211]
root            73     2 [kworker/2:1]               [kworker/2:1]
root            74     2 [pmic_thread]               [pmic_thread]
root            75     2 [lbat_service]              [lbat_service]
root            76     2 [bat_percent_not]           [bat_percent_not]
root            77     2 [dlpt_notify_thr]           [dlpt_notify_thr]
root            78     2 [cfinteractive]             [cfinteractive]
root            79     2 [ion_comm_pool]             [ion_comm_pool]
root            80     2 [ion_mm_heap]               [ion_mm_heap]
root            81     2 [ion_comm_pool]             [ion_comm_pool]
root            82     2 [ion_mm_heap_for]           [ion_mm_heap_for]
root            83     2 [ion_history]               [ion_history]
root            96     2 [kswapd0]                   [kswapd0]
root            97     2 [vmstat]                    [vmstat]
root            98     2 [fsnotify_mark]             [fsnotify_mark]
root            99     2 [fuse_log]                  [fuse_log]
root           130     2 [kworker/6:1]               [kworker/6:1]
root           131     2 [bioset]                    [bioset]
root           132     2 [bioset]                    [bioset]
root           133     2 [bioset]                    [bioset]
root           134     2 [bioset]                    [bioset]
root           135     2 [bioset]                    [bioset]
root           136     2 [bioset]                    [bioset]
root           137     2 [bioset]                    [bioset]
root           138     2 [bioset]                    [bioset]
root           139     2 [bioset]                    [bioset]
root           140     2 [gpu_aee_wq]                [gpu_aee_wq]
root           141     2 [pbm]                       [pbm]
root           142     2 [accdet]                    [accdet]
root           143     2 [accdet_disable]            [accdet_disable]
root           144     2 [accdet_eint]               [accdet_eint]
root           145     2 [mu3d_st_wq]                [mu3d_st_wq]
root           146     2 [ddp_irq_log_kth]           [ddp_irq_log_kth]
root           148     2 [disp_idlemgr]              [disp_idlemgr]
root           149     2 [disp_check]                [disp_check]
root           150     2 [disp_path_recov]           [disp_path_recov]
root           151     2 [decouple_update]           [decouple_update]
root           152     2 [decouple_trigge]           [decouple_trigge]
