iteration	resumed_or_focus	alias_observed
1	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
2	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
3	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
4	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
5	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
6	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
7	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
8	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
9	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
10	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
11	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
12	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
13	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
14	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
15	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
16	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
17	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
18	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
19	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
20	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
21	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
22	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
23	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
24	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
25	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
26	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
27	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
28	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
29	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
30	    mResumedAc ivi y: Ac ivi yRecord{873be7c u0 com.amazon.firelauncher/.Launcher  2}	no
