[ro.boot.flash.locked]: [1]
[ro.boot.hardware]: [mt8183]
[ro.boot.hardware.sku]: [base]
[ro.boot.verifiedbootstate]: [green]
[ro.build.characteristics]: [tablet]
[ro.build.configuration]: [tablet]
[ro.build.date]: [Sat Jul 13 02:04:35 UTC 2024]
[ro.build.date.utc]: [1720836275]
[ro.build.description]: [trona-user 9 PS7330.4104N 0030099376128 amz-p,release-keys]
[ro.build.display.id]: [PS7330.4104N]
[ro.build.fingerprint]: [Amazon/trona/trona:9/PS7330.4104N/0030099376128:user/amz-p,release-keys]
[ro.build.flavor]: [trona-user]
[ro.build.host]: [i3-ri-14-use1a-b-16-04-fos-235]
[ro.build.id]: [PS7330.4104N]
[ro.build.lab126.build]: [4104]
[ro.build.lab126.buildtype]: [Nightly]
[ro.build.lab126.project]: [trona_fireos_ship_7330]
[ro.build.mktg.fireos]: [Fire OS 7.3.3.0]
[ro.build.product]: [trona]
[ro.build.system_root_image]: [true]
[ro.build.tags]: [amz-p,release-keys]
[ro.build.thumbprint]: [9/PS7330.4104N/0030099376128:user/amz-p,release-keys]
[ro.build.type]: [user]
[ro.build.user]: [build]
[ro.build.version.all_codenames]: [REL]
[ro.build.version.base_os]: [PPR1.180610.009]
[ro.build.version.codename]: [REL]
[ro.build.version.fireos]: [7.0]
[ro.build.version.incremental]: [0030099376260]
[ro.build.version.min_supported_target_sdk]: [17]
[ro.build.version.name]: [Fire OS 7.3.3.0 (PS7330/4104)]
[ro.build.version.number]: [0030099376260]
[ro.build.version.preview_sdk]: [0]
[ro.build.version.release]: [9]
[ro.build.version.sdk]: [28]
[ro.build.version.security_patch]: [2024-02-01]
[ro.build.version.serial]: [4104]
[ro.debuggable]: [0]
[ro.hardware]: [mt8183]
[ro.product.board]: [trona]
[ro.product.brand]: [Amazon]
[ro.product.cpu.abi]: [arm64-v8a]
[ro.product.cpu.abilist]: [arm64-v8a,armeabi-v7a,armeabi]
[ro.product.cpu.abilist32]: [armeabi-v7a,armeabi]
[ro.product.cpu.abilist64]: [arm64-v8a]
[ro.product.device]: [trona]
[ro.product.first_api_level]: [28]
[ro.product.locale]: [en-US]
[ro.product.manufacturer]: [Amazon]
[ro.product.model]: [KFTRWI]
[ro.product.name]: [trona]
[ro.product.package_name]: [com.amazon.trona.android.os]
[ro.product.vendor.brand]: [Amazon]
[ro.product.vendor.device]: [trona]
[ro.product.vendor.manufacturer]: [Amazon]
[ro.product.vendor.model]: [KFTRWI]
[ro.product.vendor.name]: [trona]
