test_id	PHASE5X-ROUTE-SURFACE-20260804-03
serial	G001LT0511550CFT
start_utc	2026-08-03T19:20:00Z
mode	read-only
device_state	0	2026-08-03T19:20:00Z
identity	0	2026-08-03T19:20:00Z
props	0	2026-08-03T19:20:00Z
processes	0	2026-08-03T19:20:00Z
packages	0	2026-08-03T19:20:00Z
services	0	2026-08-03T19:20:01Z
init_paths	0	2026-08-03T19:20:01Z
node_metadata	0	2026-08-03T19:20:01Z
apex_property	0	2026-08-03T19:20:01Z
apex_paths	1	2026-08-03T19:20:01Z
apex_help	20	2026-08-03T19:20:01Z
home	0	2026-08-03T19:20:01Z
end_utc	2026-08-03T19:20:01Z
