schema	phase6c-runtime-boundary-v1
serial	G001LT0511550CFT
start_utc	2026-08-04T13:03:53Z
mode	read-only
serial	0	2026-08-04T13:03:53Z
state	0	2026-08-04T13:03:53Z
props	0	2026-08-04T13:03:53Z
identity	0	2026-08-04T13:03:53Z
selinux	0	2026-08-04T13:03:53Z
kernel_version	0	2026-08-04T13:03:53Z
kernel_uname	0	2026-08-04T13:03:53Z
proc_kallsyms_metadata	1	2026-08-04T13:03:53Z
proc_kallsyms_head	1	2026-08-04T13:03:53Z
proc_slabinfo_metadata	1	2026-08-04T13:03:54Z
proc_slabinfo_head	1	2026-08-04T13:03:54Z
kaslr_setting	1	2026-08-04T13:03:54Z
home_resolution	0	2026-08-04T13:03:54Z
home_candidates	0	2026-08-04T13:03:54Z
firelauncher_path	0	2026-08-04T13:03:54Z
firelauncher_package	0	2026-08-04T13:03:54Z
launcher_packages	0	2026-08-04T13:03:54Z
setup_state	0	2026-08-04T13:03:54Z
setup_state_global	0	2026-08-04T13:03:54Z
preferred_activities	0	2026-08-04T13:03:55Z
activity_activities	0	2026-08-04T13:03:55Z
window_windows	0	2026-08-04T13:03:55Z
end_utc	2026-08-04T13:03:55Z
