-rw-r--r-- 1 root   root u:object_r:proc_ged:s0  0 2026-08-09 10:39 /proc/ged
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 /proc/idme/bootmode
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 /proc/idme/dev_flags
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 /proc/idme/fos_flags
-r-------- 1 system root u:object_r:proc_idme:s0 0 2026-08-10 02:21 /proc/idme/mac_sec
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 /proc/idme/postmode
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 /proc/idme/t_unlock_code
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 /proc/idme/unlock_code
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 /proc/idme/unlock_version
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 /proc/idme/usr_flags

/proc/idme:
total 0
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 DKB
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 KB
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 alscal
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 board_id
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 bootcount
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 bootmode
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 bt_mac_addr
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 bt_mfg
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 co_tms_cal
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 dev_flags
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 device_type_id
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 fos_flags
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 front_cam_otp
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 iaicr
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 mac_addr
-r-------- 1 system root u:object_r:proc_idme:s0 0 2026-08-10 02:21 mac_sec
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 manufacturing
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 miccal.0
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 miccal.1
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 postmode
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 product_name
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 productid
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 productid2
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 rear_cam_otp
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 region
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 sensorcal
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 serial
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 t_unlock_cert
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 t_unlock_code
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 tp_cg_color
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 unlock_code
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 unlock_version
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 usr_flags
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 wifi_mfg
-r--r--r-- 1 root   root u:object_r:proc_idme:s0 0 2026-08-10 02:21 wpc_cal
