offset_hex	string
0x4a51d	#Common Kernel Signing Production CA0
0x4a5bb	#Common Kernel Signing Production CA0
0x4a8ca	Image FAILED AUTHENTICATION on PRODUCTION device
0x4a8fc	Authentication failed on engineering device with production certificate
0x4a95f	Image FAILED AUTHENTICATION on ENGINEERING device
0x4a992	Image AUTHENTICATED with PRODUCTION certificate
0x4b254	amzn_verify_unlock
0x4b284	amzn_get_temp_unlock_idme_code
0x4b364	amzn_get_temp_unlock_current_code
0x4b388	amzn_get_temp_unlock_idme_data
0x4b3a8	amzn_get_temp_unlock_idme_cert
0x4b3c8	amzn_verify_temp_unlock_code
0x4b435	Device is temporarily unlocked, %d reboots remaining
0x4b8fb	/mnt/build/workspace/wsn1/bootable/bootloader/ufbl-features/project/../features/libtomcrypt/src/hashes/sha2/sha256.c
0x4b9c4	/mnt/build/workspace/wsn1/bootable/bootloader/ufbl-features/project/../features/libtomcrypt/src/hashes/helper/hash_memory.c
0x4ba4f	/mnt/build/workspace/wsn1/bootable/bootloader/ufbl-features/project/../features/libtomcrypt/src/hashes/helper/hash_memory_multi.c
0x4bae5	/mnt/build/workspace/wsn1/bootable/bootloader/ufbl-features/project/../features/libtomcrypt/src/math/ltm_desc.c
0x4bb96	/mnt/build/workspace/wsn1/bootable/bootloader/ufbl-features/project/../features/libtomcrypt/src/math/rand_prime.c
0x4bd08	/mnt/build/workspace/wsn1/bootable/bootloader/ufbl-features/project/../features/libtomcrypt/src/misc/base64/base64_decode.c
0x4bd84	/mnt/build/workspace/wsn1/bootable/bootloader/ufbl-features/project/../features/libtomcrypt/src/misc/base64/base64_encode.c
0x4beb1	/mnt/build/workspace/wsn1/bootable/bootloader/ufbl-features/project/../features/libtomcrypt/src/misc/crypt/crypt_find_hash.c
0x4bf2e	/mnt/build/workspace/wsn1/bootable/bootloader/ufbl-features/project/../features/libtomcrypt/src/misc/crypt/crypt_register_hash.c
0x4bfaf	/mnt/build/workspace/wsn1/bootable/bootloader/ufbl-features/project/../features/libtomcrypt/src/misc/mem_neq.c
0x4c0a8	/mnt/build/workspace/wsn1/bootable/bootloader/ufbl-features/project/../features/libtomcrypt/src/misc/zeromem.c
0x4c117	/mnt/build/workspace/wsn1/bootable/bootloader/ufbl-features/project/../features/libtomcrypt/src/pk/asn1/der/bit/der_decode_bit_string.c
0x4c19f	/mnt/build/workspace/wsn1/bootable/bootloader/ufbl-features/project/../features/libtomcrypt/src/pk/asn1/der/bit/der_decode_raw_bit_string.c
0x4c22b	/mnt/build/workspace/wsn1/bootable/bootloader/ufbl-features/project/../features/libtomcrypt/src/pk/asn1/der/bit/der_encode_bit_string.c
0x4c2b3	/mnt/build/workspace/wsn1/bootable/bootloader/ufbl-features/project/../features/libtomcrypt/src/pk/asn1/der/bit/der_encode_raw_bit_string.c
0x4c33f	/mnt/build/workspace/wsn1/bootable/bootloader/ufbl-features/project/../features/libtomcrypt/src/pk/asn1/der/bit/der_length_bit_string.c
0x4c3c7	/mnt/build/workspace/wsn1/bootable/bootloader/ufbl-features/project/../features/libtomcrypt/src/pk/asn1/der/boolean/der_decode_boolean.c
0x4c450	/mnt/build/workspace/wsn1/bootable/bootloader/ufbl-features/project/../features/libtomcrypt/src/pk/asn1/der/boolean/der_encode_boolean.c
