offset_hex	string
0x2f496	[RPMB] Failed to initialize anti-rollback block
0x2f4c7	[RPMB] Anti-rollback block initialized
0x2f4ef	[RPMB] Valid anti-rollback block with %s magic exists
0x2f526	[ANTI-ROLLBACK] read atf/atf_dram/tee version error, halt
0x2f58a	[ANTI-ROLLBACK] skip processing anti-rollback data
0x2f5be	[ANTI-ROLLBACK] Processing anti-rollback data
0x2f5ed	[ANTI-ROLLBACK] Failed to read block 0
0x2f615	[ANTI-ROLLBACK] image versions in RPMB block:
0x2f644	[ANTI-ROLLBACK] Need to update version
0x2f66c	[ANTI-ROLLBACK] Invalid checksum!
0x2f68f	[ANTI-ROLLBACK] Checksum validated
0x2f6b3	[ANTI-ROLLBACK] %s version mismatch!
0x2f6d9	[ANTI-ROLLBACK] L: %x R: %x
0x2f6f6	[ANTI-ROLLBACK] All checks passed
0x2f719	[ANTI-ROLLBACK] Updating RPMB block...
0x2f741	[ANTI-ROLLBACK] Unable to update RPMB block (get wc error)
0x2f77d	[ANTI-ROLLBACK] Unable to update RPMB block (write error)
0x2f7b8	[ANTI-ROLLBACK] RPMB block updated:
0x2fb5e	[%s][%s] Error: secure SoC should run signed %s
0x2fb8f	[%s][%s] non secure SoC run with unsigned %s
0x301c3	step A2 : Standard USB Host!
0x30571	%s Error: DA length overflow. usbdl_send_da: DA (0x%x) MAX_DA_LEN (0x%x) fail
0x305cd	%s %s: DA validation disabled on non-secure chip
0x3064f	%s usbdl_verify_da: da_len (0x%x) is less than sig_len (0x%x)
0x3068e	%s %s: Start to authenticate LK DA with da size=0x%x and DA_RAM_LENGTH=0x%x
0x306db	%s %s: DA validation fail
0x30711	%s %s: DA authenticated
0x3072a	%s usbdl_send_da: clean invalid da
0x3074e	%s usbdl_jump_da: %x
0x30764	%s USB Disconnect and Enter Dead Loop.
0x31622	%s : usb receive timeout
0x31651	%s PMIC not dectect usb cable!
0x31671	%s USB enum timeout (%s), handshake timeout(%s)
0x31700	%s USB enum timeout!
0x3171c	%s : usb listen timeout
0x31735	%s <USB> cannot detect tools!
0x317a2	%s usb port down: %dms
0x317ba	%s USB port down timeout!
0x323ef	Preloader boot-up time %u
0x3395e	Authentication failure
0x339b0	Authentication key not yet programmed
0x34083	%s: usb_stats = 0x%X
0x343e6	[USB]0x0A: %x
0x343f6	[USB]0x0A after: %x
0x3440c	[USB]0x0: %x
0x3441b	[USB]0x0 after: %x
0x34430	[USB]0x6B: %x
0x34440	[USB]0x6B after: %x
0x34456	[USB]0x6E: %x
0x34466	[USB]0x6E after: %x
0x3447c	[USB]0x22: %x
0x3448c	[USB]0x22 after: %x
0x344a2	[USB]0x1A: %x
0x344b2	[USB]0x1A after: %x
0x344c8	[USB]0x102d0000 (UART0): %x
0x344e6	[USB]0x102d0000 (UART0) after: %x
0x34509	[platform_vusb_on] VUSB33 is on
0x3452a	[platform_vusb_on] Failed to turn on VUSB33!
0x34961	%s USB cable in
0x34af7	%s USB/charger boot!
0x34ccb	[PMIC]IsUsbCableIn %d
0x34f1c	[PMIC]disable usbdl wo battery
0x34fb7	[PMIC]Preloader Start
0x354df	%s preloader last status:
0x35e12	sec_auth.c
0x35f7c	preloader
0x36487	usbd.c
0x364ef	MT65xx Preloader
0x36500	USB CDC ACM for preloader
0x36548	usbtty.c
0x36d21	[%s] invalid susbdl config '0x%x'
0x36dd3	[%s] seclib_img_auth_load_sig
0x36ff6	[%s] img auth fail(0x%x)
0x37010	[%s] img auth ok
0x380f0	usbdl_verify_da
0x3c624	MTK_BLOADER_INFO_v36
0x3c63f	preloader_trona.bin
