field	value
review_id	PHASE5P-ANDROID-NEARBY-PORT-20260804-01
device_model	KFTRWI
device_product	trona
device_soc	MediaTek MT8183
device_build	Amazon/trona/trona:9/PS7330.4104N/0030099376128:user/amz-p,release-keys
device_kernel	4.4.146+ arm64
public_repo	https://github.com/NothingFumo/ghostlock-aresin
public_commit	1895a89c52dc7d7355f14babe5009c2932dcdb6a
public_target	POCO F3 GT / Redmi K40 Gaming Edition / MT6893 / Android 13 / Linux 4.14.186
public_readme_sha256	f35631debb6974e2809ed879514e26f03c8e42aa220c94ecb7d7b028afcce5fd
public_target_header_sha256	e4a06ae681a477dee3b161cc9f5a473187ba62a972593e2181dbff4b40588c20
reference_v4_4_146_rtmutex_common_sha256	ee7fcb3d8edb06312606073f02435da8e6bb1d60b53604733a218c75c48ec51c
reference_v4_14_186_rtmutex_common_sha256	884d551fbfa7e4b98037654d645095a7817d9e30a6e8f5f25f41731e2e4f2040
scope	host-only public-source and local-header comparison
device_mutation	false
exploit_triggered	false
