source	key	value_or_observation	line
/tmp/phase5-kconfig-extract-20260804/members/Kconfig.152aab841f36.txt	CONFIG_ARM64	NOT_FOUND	-
/tmp/phase5-kconfig-extract-20260804/members/Kconfig.152aab841f36.txt	CONFIG_ARM64_4K_PAGES	NOT_FOUND	-
/tmp/phase5-kconfig-extract-20260804/members/Kconfig.152aab841f36.txt	CONFIG_ARM64_VA_BITS_39	NOT_FOUND	-
/tmp/phase5-kconfig-extract-20260804/members/Kconfig.152aab841f36.txt	CONFIG_PREEMPT	NOT_FOUND	-
/tmp/phase5-kconfig-extract-20260804/members/Kconfig.152aab841f36.txt	CONFIG_RANDOMIZE_BASE	NOT_FOUND	-
/tmp/phase5-kconfig-extract-20260804/members/Kconfig.152aab841f36.txt	CONFIG_THREAD_INFO_IN_TASK	NOT_FOUND	-
/tmp/phase5-kconfig-extract-20260804/members/Kconfig.152aab841f36.txt	CONFIG_SCHED_WALT	NOT_FOUND	-
/tmp/phase5-kconfig-extract-20260804/members/Kconfig.152aab841f36.txt	CONFIG_FUTEX	NOT_FOUND	-
/tmp/phase5-kconfig-extract-20260804/members/Kconfig.152aab841f36.txt	CONFIG_FUTEX_PI	NOT_FOUND	-
/tmp/phase5-kconfig-extract-20260804/members/Kconfig.152aab841f36.txt	CONFIG_RT_MUTEXES	NOT_FOUND	-
/tmp/phase5-kconfig-extract-20260804/members/Kconfig.152aab841f36.txt	CONFIG_DEBUG_RT_MUTEXES	NOT_FOUND	-
/tmp/phase5-kconfig-extract-20260804/members/Kconfig.152aab841f36.txt	CONFIG_ION	NOT_FOUND	-
/tmp/phase5-kconfig-extract-20260804/members/Kconfig.152aab841f36.txt	CONFIG_MTK_ION	NOT_FOUND	-
/tmp/phase5-kconfig-extract-20260804/members/Kconfig.152aab841f36.txt	CONFIG_MTK_CMDQ	NOT_FOUND	-
/tmp/phase5-kconfig-extract-20260804/members/Kconfig.152aab841f36.txt	CONFIG_MTK_ENABLE_GENIEZONE	NOT_FOUND	-
/tmp/phase5-rtmutex-tail2.2CGarO/member-extract/members/futex.c.74a1d689a70c.txt	CONFIG_ARM64	NOT_FOUND	-
/tmp/phase5-rtmutex-tail2.2CGarO/member-extract/members/futex.c.74a1d689a70c.txt	CONFIG_ARM64_4K_PAGES	NOT_FOUND	-
/tmp/phase5-rtmutex-tail2.2CGarO/member-extract/members/futex.c.74a1d689a70c.txt	CONFIG_ARM64_VA_BITS_39	NOT_FOUND	-
/tmp/phase5-rtmutex-tail2.2CGarO/member-extract/members/futex.c.74a1d689a70c.txt	CONFIG_PREEMPT	NOT_FOUND	-
/tmp/phase5-rtmutex-tail2.2CGarO/member-extract/members/futex.c.74a1d689a70c.txt	CONFIG_RANDOMIZE_BASE	NOT_FOUND	-
/tmp/phase5-rtmutex-tail2.2CGarO/member-extract/members/futex.c.74a1d689a70c.txt	CONFIG_THREAD_INFO_IN_TASK	NOT_FOUND	-
/tmp/phase5-rtmutex-tail2.2CGarO/member-extract/members/futex.c.74a1d689a70c.txt	CONFIG_SCHED_WALT	NOT_FOUND	-
/tmp/phase5-rtmutex-tail2.2CGarO/member-extract/members/futex.c.74a1d689a70c.txt	CONFIG_FUTEX	NOT_FOUND	-
/tmp/phase5-rtmutex-tail2.2CGarO/member-extract/members/futex.c.74a1d689a70c.txt	CONFIG_FUTEX_PI	NOT_FOUND	-
/tmp/phase5-rtmutex-tail2.2CGarO/member-extract/members/futex.c.74a1d689a70c.txt	CONFIG_RT_MUTEXES	NOT_FOUND	-
/tmp/phase5-rtmutex-tail2.2CGarO/member-extract/members/futex.c.74a1d689a70c.txt	CONFIG_DEBUG_RT_MUTEXES	NOT_FOUND	-
/tmp/phase5-rtmutex-tail2.2CGarO/member-extract/members/futex.c.74a1d689a70c.txt	CONFIG_ION	NOT_FOUND	-
/tmp/phase5-rtmutex-tail2.2CGarO/member-extract/members/futex.c.74a1d689a70c.txt	CONFIG_MTK_ION	NOT_FOUND	-
/tmp/phase5-rtmutex-tail2.2CGarO/member-extract/members/futex.c.74a1d689a70c.txt	CONFIG_MTK_CMDQ	NOT_FOUND	-
/tmp/phase5-rtmutex-tail2.2CGarO/member-extract/members/futex.c.74a1d689a70c.txt	CONFIG_MTK_ENABLE_GENIEZONE	NOT_FOUND	-
runtime	CONFIG_ARM64	y	5
runtime	CONFIG_ARM64_4K_PAGES	y	350
runtime	CONFIG_ARM64_VA_BITS_39	y	353
runtime	CONFIG_PREEMPT	y	363
runtime	CONFIG_RANDOMIZE_BASE	y	431
runtime	CONFIG_THREAD_INFO_IN_TASK	y	38
runtime	CONFIG_SCHED_WALT	y	97
runtime	CONFIG_FUTEX	y	169
runtime	CONFIG_FUTEX_PI	NOT_FOUND	-
runtime	CONFIG_RT_MUTEXES	y	248
runtime	CONFIG_DEBUG_RT_MUTEXES	n	4183
runtime	CONFIG_ION	y	3531
runtime	CONFIG_MTK_ION	y	3534
runtime	CONFIG_MTK_CMDQ	y	1247
runtime	CONFIG_MTK_ENABLE_GENIEZONE	n	2508
defconfig	CONFIG_ARM64	y	5
defconfig	CONFIG_ARM64_4K_PAGES	y	350
defconfig	CONFIG_ARM64_VA_BITS_39	y	353
defconfig	CONFIG_PREEMPT	y	363
defconfig	CONFIG_RANDOMIZE_BASE	y	436
defconfig	CONFIG_THREAD_INFO_IN_TASK	y	38
defconfig	CONFIG_SCHED_WALT	y	97
defconfig	CONFIG_FUTEX	y	169
defconfig	CONFIG_FUTEX_PI	NOT_FOUND	-
defconfig	CONFIG_RT_MUTEXES	y	249
defconfig	CONFIG_DEBUG_RT_MUTEXES	n	4338
defconfig	CONFIG_ION	y	3672
defconfig	CONFIG_MTK_ION	y	3675
defconfig	CONFIG_MTK_CMDQ	y	1253
defconfig	CONFIG_MTK_ENABLE_GENIEZONE	n	2605
