field	value
source_url	https://fireos-tablet-src.s3.amazonaws.com/k2k5jkgocvaww3SgOjJMkJrykI/Fire_HD10-7.3.3.1-20250617.tar.bz2
archive_filename	Fire_HD10-7.3.3.1-20250617.tar.bz2
archive_scope	Official Amazon Fire HD 10 7.3.3.1 source archive
outer_member	platform.tar
member	kernel/mediatek/mt8183/4.4/arch/arm64/configs/trona_defconfig
extraction_scope	Host-only streaming extraction of one named member; no source build
extraction_date	2026-08-04
member_bytes	14743
member_sha256	09ca8dfc3b3b5e139482e3dd9976dae79547077fb750a4cbc778814f85ecaaac
build_script_reference	artifacts/phase5/exact-kernel-source-review-7331-build-scripts-20260804-01/extracted/build_kernel_config.sh
