uploaded	versionName	versionCode
2021-04-27	Fire OS 7.3.1.9 (PS7319/1726)	20367982212
2021-08-17	Fire OS 7.3.2.1 (PS7321/2324)	21274104964
2021-11-08	Fire OS 7.3.2.2 (PS7322/2514)	22247232132
2022-07-05	Fire OS 7.3.2.3 (PS7323/2834)	23455273604
2022-08-24	Fire OS 7.3.2.4 (PS7324/3016)	24529062020
2022-10-28	Fire OS 7.3.2.6 (PS7326/3178)	25602845316
2022-12-12	Fire OS 7.3.2.6 (PS7326/3183)	25602846596
2023-01-25	Fire OS 7.3.2.7 (PS7327/3326)	26743733892
2023-09-28	Fire OS 7.3.2.8 (PS7328/3443)	27213525892
2024-03-29	Fire OS 7.3.2.9 (PS7329/3851)	29294005124
2025-06-11	Fire OS 7.3.3.1 (PS7331/4463)	31575863172
