"source_id","source_type","reference","fixed_revision_or_date","downloaded","sha256","review_scope"
"P5AG-SRC-001","GitHub repository","https://github.com/BaronKiko/LauncherHijack/tree/f79aee3ddd10c053d6d7c55d6f2fc29436001537","f79aee3ddd10c053d6d7c55d6f2fc29436001537","no","NOT_DOWNLOADED","deprecation, blocked package note, implementation context"
"P5AG-SRC-002","GitHub raw source","https://raw.githubusercontent.com/BaronKiko/LauncherHijack/f79aee3ddd10c053d6d7c55d6f2fc29436001537/app/src/main/java/com/baronkiko/launcherhijack/HomePress.java","f79aee3ddd10c053d6d7c55d6f2fc29436001537","no","NOT_DOWNLOADED","explicit intent and PendingIntent implementation"
"P5AG-SRC-003","GitHub raw source","https://raw.githubusercontent.com/BaronKiko/LauncherHijack/f79aee3ddd10c053d6d7c55d6f2fc29436001537/app/src/main/java/com/baronkiko/launcherhijack/AccServ.java","f79aee3ddd10c053d6d7c55d6f2fc29436001537","no","NOT_DOWNLOADED","Accessibility, KEYCODE_HOME and event observation"
"P5AG-SRC-004","GitHub raw documentation","https://raw.githubusercontent.com/BaronKiko/LauncherHijack/f79aee3ddd10c053d6d7c55d6f2fc29436001537/HELP.md","f79aee3ddd10c053d6d7c55d6f2fc29436001537","no","NOT_DOWNLOADED","historical default-launcher corruption warning"
"P5AG-SRC-005","GitHub repository","https://github.com/KoCleo/mtk-easy-su","reviewed 2026-08-04","no","NOT_DOWNLOADED","legacy MTK wrapper and supported-device scope"
"P5AG-SRC-006","NVD","https://nvd.nist.gov/vuln/detail/CVE-2026-3499","reviewed 2026-08-04","no","NOT_DOWNLOADED","CVE identity verification"
"P5AG-SRC-007","Public research index","https://mallory.ai/vulnerabilities/CVE-2026-43499","reviewed 2026-08-04","no","NOT_DOWNLOADED","GhostLock Android target profile comparison"
"P5AG-SRC-008","GitHub and research","https://github.com/0xBlackash/CVE-2026-43503; https://research.jfrog.com/post/dissecting-and-exploiting-linux-lpe-variant-dirtyclone-cve-2026-43503/","reviewed 2026-08-04","no","NOT_DOWNLOADED","DirtyClone implementation boundary"
"P5AG-SRC-009","Official vendor bulletin","https://corp.mediatek.com/product-security-bulletin/July-2025","published 2025-07-08","no","NOT_DOWNLOADED","CVE-2025-20694 target/scope"
"P5AG-SRC-010","Official vendor bulletin","https://corp.mediatek.com/product-security-bulletin/August-2025","published 2025-08-04","no","NOT_DOWNLOADED","CVE-2025-20696/97/98 target/scope"
