file	sha256	function	callsite	static_interpretation
libion.so	0c7d4d9ce775124f8bc2e9f2cfac561d3a61bba3ecb17fb8f4c90da1896dbe6e	ion_is_legacy	0x9a0	0xc0044901 | ION_IOC_FREE (type 'I', nr 1, size 0x4)
libion.so	0c7d4d9ce775124f8bc2e9f2cfac561d3a61bba3ecb17fb8f4c90da1896dbe6e	ion_free	0xa64	0xc0044901 | ION_IOC_FREE (type 'I', nr 1, size 0x4)
libion.so	0c7d4d9ce775124f8bc2e9f2cfac561d3a61bba3ecb17fb8f4c90da1896dbe6e	ion_alloc	0xbd8	0xc0204900 | ION_IOC_ALLOC (type 'I', nr 0, size 0x20)
libion.so	0c7d4d9ce775124f8bc2e9f2cfac561d3a61bba3ecb17fb8f4c90da1896dbe6e	ion_alloc	0xc04	0xc0044901 | ION_IOC_FREE (type 'I', nr 1, size 0x4)
libion.so	0c7d4d9ce775124f8bc2e9f2cfac561d3a61bba3ecb17fb8f4c90da1896dbe6e	ion_map	0xd68	0xc0044901 | ION_IOC_FREE (type 'I', nr 1, size 0x4)
libion.so	0c7d4d9ce775124f8bc2e9f2cfac561d3a61bba3ecb17fb8f4c90da1896dbe6e	ion_map	0xe00	0xc0084902 | ION_IOC_MAP (type 'I', nr 2, size 0x8)
libion.so	0c7d4d9ce775124f8bc2e9f2cfac561d3a61bba3ecb17fb8f4c90da1896dbe6e	ion_share	0xf7c	0xc0044901 | ION_IOC_FREE (type 'I', nr 1, size 0x4)
libion.so	0c7d4d9ce775124f8bc2e9f2cfac561d3a61bba3ecb17fb8f4c90da1896dbe6e	ion_share	0xff8	0xc0084904 | ION_IOC_SHARE (type 'I', nr 4, size 0x8)
libion.so	0c7d4d9ce775124f8bc2e9f2cfac561d3a61bba3ecb17fb8f4c90da1896dbe6e	ion_alloc_fd	0x1160	0xc0044901 | ION_IOC_FREE (type 'I', nr 1, size 0x4)
libion.so	0c7d4d9ce775124f8bc2e9f2cfac561d3a61bba3ecb17fb8f4c90da1896dbe6e	ion_alloc_fd	0x11b4	0xc0044901 | ION_IOC_FREE (type 'I', nr 1, size 0x4)
libion.so	0c7d4d9ce775124f8bc2e9f2cfac561d3a61bba3ecb17fb8f4c90da1896dbe6e	ion_alloc_fd	0x1238	0xc0184900 | ION_IOC_ALLOC (type 'I', nr 0, size 0x18)
libion.so	0c7d4d9ce775124f8bc2e9f2cfac561d3a61bba3ecb17fb8f4c90da1896dbe6e	ion_import	0x132c	0xc0044901 | ION_IOC_FREE (type 'I', nr 1, size 0x4)
libion.so	0c7d4d9ce775124f8bc2e9f2cfac561d3a61bba3ecb17fb8f4c90da1896dbe6e	ion_import	0x13a8	0xc0084905 | ION_IOC_IMPORT (type 'I', nr 5, size 0x8)
libion.so	0c7d4d9ce775124f8bc2e9f2cfac561d3a61bba3ecb17fb8f4c90da1896dbe6e	ion_sync_fd	0x1490	0xc0084907 | ION_IOC_SYNC (type 'I', nr 7, size 0x8)
libion.so	0c7d4d9ce775124f8bc2e9f2cfac561d3a61bba3ecb17fb8f4c90da1896dbe6e	ion_sync_fd	0x14f4	0xc0044901 | ION_IOC_FREE (type 'I', nr 1, size 0x4)
libion.so	0c7d4d9ce775124f8bc2e9f2cfac561d3a61bba3ecb17fb8f4c90da1896dbe6e	ion_query_heap_cnt	0x15c8	0xc0184908 | ION_IOC_UNKNOWN (type 'I', nr 8, size 0x18)
libion.so	0c7d4d9ce775124f8bc2e9f2cfac561d3a61bba3ecb17fb8f4c90da1896dbe6e	ion_query_get_heaps	0x1690	0xc0184908 | ION_IOC_UNKNOWN (type 'I', nr 8, size 0x18)
libion_mtk.so	1873465ef7b68a97976af7b6bda41a41f0aa3dd3d230c71e3fc723ce43519bd8	mt_ion_open	0xc0c	0xc0104906 | ION_IOC_CUSTOM (type 'I', nr 6, size 0x10)
libion_mtk.so	1873465ef7b68a97976af7b6bda41a41f0aa3dd3d230c71e3fc723ce43519bd8	ion_alloc_camera_pool	0xd74	0xc0104906 | ION_IOC_CUSTOM (type 'I', nr 6, size 0x10)
libion_mtk.so	1873465ef7b68a97976af7b6bda41a41f0aa3dd3d230c71e3fc723ce43519bd8	ion_custom_ioctl	0xe90	0xc0104906 | ION_IOC_CUSTOM (type 'I', nr 6, size 0x10)
libion_mtk.so	1873465ef7b68a97976af7b6bda41a41f0aa3dd3d230c71e3fc723ce43519bd8	ion_cache_sync_flush_range	0x112c	0xc0104906 | ION_IOC_CUSTOM (type 'I', nr 6, size 0x10)
libion_mtk.so	1873465ef7b68a97976af7b6bda41a41f0aa3dd3d230c71e3fc723ce43519bd8	ion_cache_sync_flush_range_va	0x1224	0xc0104906 | ION_IOC_CUSTOM (type 'I', nr 6, size 0x10)
libion_mtk.so	1873465ef7b68a97976af7b6bda41a41f0aa3dd3d230c71e3fc723ce43519bd8	ion_dma_map_area	0x131c	0xc0104906 | ION_IOC_CUSTOM (type 'I', nr 6, size 0x10)
libion_mtk.so	1873465ef7b68a97976af7b6bda41a41f0aa3dd3d230c71e3fc723ce43519bd8	ion_dma_unmap_area	0x1418	0xc0104906 | ION_IOC_CUSTOM (type 'I', nr 6, size 0x10)
libion_mtk.so	1873465ef7b68a97976af7b6bda41a41f0aa3dd3d230c71e3fc723ce43519bd8	ion_dma_map_area_va	0x151c	0xc0104906 | ION_IOC_CUSTOM (type 'I', nr 6, size 0x10)
libion_mtk.so	1873465ef7b68a97976af7b6bda41a41f0aa3dd3d230c71e3fc723ce43519bd8	ion_dma_unmap_area_va	0x161c	0xc0104906 | ION_IOC_CUSTOM (type 'I', nr 6, size 0x10)
