238 /system/bin/linker64
25c Android
268 r20b
2a8 5948944
b59 libselinux.so
b67 __cxa_atexit
b74 security_getenforce
b88 setcon
b8f libc.so
b97 strcpy
b9e fputs
ba4 strncmp
bac getenv
bb3 geteuid
bbb strerror
bc4 sched_yield
bd0 access
bd7 fwrite
bde read
be3 memcpy
bea fstat
bf0 munmap
bf7 __errno
bff open
c04 __stack_chk_fail
c15 memset
c1c malloc
c23 setgroups
c2d strtoull
c36 fprintf
c3e execvp
c45 strtoul
c4d pipe
c52 kill
c57 prctl
c5d strlen
c64 getopt
c6b __sF
c70 setns
c76 capget
c7d perror
c84 mmap
c89 close
c8f sprintf
c97 fcntl
c9d optarg
ca4 syscall
cac __libc_init
cb8 getcwd
cbf chdir
cc5 putchar
ccd optind
cd4 sigaction
cde fputc
ce4 _edata
ceb __bss_start
cf7 __bss_start__
d05 __bss_end__
d11 __end__
d19 _end
d1e __FINI_ARRAY__
d2d zcfree
d34 __INIT_ARRAY__
d43 zcalloc
d4b __PREINIT_ARRAY__
1ce1 kh8)
1d13 Tizh
2095 pH9(
2129 pH9H
2385 pH9h
2423 *MD@
2437 ) @
2453 ) @
24d4 +ih8J
2ea9 #@9h
30e7 )j"@
3153 Th"@
32c7 5`"@
3407 ThvH9c
347f Th"B
34cb 2`*@
35cb Th"B
372c vrH9i
374c nvH9o
37bb )n"@
3823 )n"@
388b )n"@
38eb )k"@
3917 )j"@
437b T*!d
4cab RhB9
4cd9 i|xn
4ce1 i{8n
53b6 Xx)?
566f 2!,(
5783 T(C_
5a5b ThI@
5be7 ThI@
5eb5 #@y)?
60cf R*}@
64aa @y)?
66a2 @y)?
69c9 jh8)
6cab 5s.@
6e1f Th.@
6e30 ji:8
6f1b Ti.@
74c5 S@y)?
75f3 ro{k
76a7 TAO@
7843 rhB9
7871 i{xn
78c7 9bzx
79c5 bV9h
7ae3 2lji8
803b T`*@
829c jxix
82ef T(;@
86e0 )yhx
877f T*_@
87bf 4(_@
88a7 T+{@
891a K,G(
89e7 Q,G,
8a6f q.G(
8a8b T(3Ey
8c02 H6(C@9
8c88 (g@9
8c8f 6(C@9
8d34 (g@9H
8d3b 6(C@9
8dea H6(C@9
8e46 P6(_@
8e68 I)D)
8eb2 H6(C@9(
8f20 (g@9
8f49 jz8Z
8f75 i*8x
8f83 T(g@9
8f8b 6(C@9
8fe4 (g@9
900d jz8Z
9039 i*8x
9047 T(g@9
904f 6(C@9
90d7 T)C@9
91f7 T(+@
940f 5)_@
9547 R*#))
957b T*c@
95c7 T*C@
9607 T)?@
9637 *)_@
9643 kjA*
967e k0
96ff T*_@
975b T*;@
9964 ('A)*[@
99ae DzhZ
9c1f T($@
9cac l%@x
9cb8 Milx
9cc0 Mi,xA
9e3d s@y1z
9e6e @ysz
9ece @y9{
9ede @yZ{
9f8c /xhx
a055 i.8h
a081 Xbx8
a0d7 knJ.
a125 jnxB
a145 Xbx+xkx
a17d zhxY
a1d7 4hJ'
a1f3 *JI 
a3fa @yJ%
a446 @8c 
a4ba @yJ%
a5da @9c
ac8e @9B@
ae0c -!MJ
ae4c M!MJA
aedb JD@
b0dd Failed critical init step %d
b0fb Incompatible platform
b112 Cannot start. Try running this program from an app.
b147 This firmware cannot be supported
b16a Firmware support not implemented
b18c Not tuned for this firmware
b1a9 Unknown error
b1b8 UID: %d  
b1c2 cap: %.2x%.8x  
b1d2 permissive
b1dd selinux: %s  
b1eb SHELL
b1f1 /system/bin/sh
b200 c::sdvZ:
b209 starting %s
b216 exec
b21b Temporary root by diplomatic@XDA
b23c Home URL:
b246 https://forum.xda-developers.com/android/development/amazing-temp-root-mediatek-armv8-t3922213
b2a5 Error setting %s context: %s
b2c3 /proc/%d/ns/%s
b2d6 setns failed
b320 \\\\
b33f +0*+
b34a 'malloc
b353 param1: %#x, param2: %#x, type: %d%s
b37c manual cf
b455 read failed: %s
b466 write failed: %s
b478 %.16lx %s
b483 %.8X
b488 current_is_single_threaded
b4a3 show_state_filter
b4b5 %s not found
b4c3 Parsing %s
b4cf init_task
b4d9 %s VA: %#.16lx
b4e9 Error reading creds
b4fe securebits were %#x
b513 Could not patch credentials
b530 Retrying...
b53d %.16lx+%.2x: ADRP x%u, %#.16lx
b55d %.16lx+%.2x: ADD Rd, x%u, %#x
b57c Stack protection detected
b597 Did not detect ldr offset
b5b2 %.16lx+%.2x: LDR [x%u, %#x]
b5cf avc_denied
b5da selinux_enforcing VA: %#.16lx
b5f9 This address does not seem to have your thread flags (%#.8x)
b637 thread flags: %#.8x
b64c TIF_SECCOMP deactivated
b664 Could not deactivate thread seccomp flag
b68e This address does not seem to have your seccomp mode. Not setting seccomp
b6d9 Could not patch seccomp mode
b6f7 This address does not seem to have selinux_enforcing. Not setting selinux
b742 Selinux is already %s
b759 Switched selinux to %s
b771 Could not set selinux
b788 kallsyms_addresses pa %#08lx
b7a6 Error in read_kallsyms_num_syms()
b7c9 warning: %u kallsyms_num_syms does not match %u found addresses
b80a A fatal error has occured, quitting
b82f Can't find kallsyms addresses or offsets
b859 kallsyms_offsets pa %#08lx
b875 kallsyms_num_syms %u, addr_count %u
b89a kallsyms_names pa %#08lx, size %u
b8bd Error in read_kallsyms_names()
b8dd kallsyms_markers pa %#08lx
b8f8 kallsyms_token_table pa %#08lx
b918 Error in read_kallsyms_token_table()
b93e warning: token_count %u
b957 kallsyms_token_index pa %#08lx
b977 Failed scanning token index
b994 Error setting process name
b9b0 Could not pinpoint tasks list in init_task struct
b9e3 Possible list_head tasks at offset %#x
ba0b swapper
ba13 Did not find comm (proc name) offset
ba39 comm %s at offset %#x
ba50 Did not find seccomp offset
ba6d Found an invalid address: %#.16lx
ba90 Found own task_struct at node %u
bab2 cred VA: %#.16lx
bac4 %.16lx is not a valid address
bae3 thread_info flags VA: %#.16lx
bb02 seccomp mode VA: %#.16lx+%x
bb1f Did not find own task_struct (%u)
bb42 Giving up
bb4d %s failed
bb5c test_seccomp
bb69 sigaction
bb73 Trying seccomp-filtered syscall
bb93 Caught SIGSYS
bba5 Building symbol table
bbbb Unable to get kernel symbol table
bbde KASLR detected. memstart_addr not found
bc07 Patching credentials
bc1c selinux_enforcing not found
bc39 Setting selinux_enforcing
bc53 Disabling seccomp
bc65 seccomp mode: %s
bc77 disabled
bc80 create_worker
bc8e move_freepages_block
bca3 %s: did not detect ldr offset
bcc2 kimage_vaddr: %#.16lx
bcd9 memstart_addr: %#.16lx
bd50 no memory
bd5b 1.2.11
bde4 incorrect header check
bdfb unknown compression method
be16 invalid window size
be2a unknown header flags set
be43 header crc mismatch
be57 invalid block type
be6a invalid stored block lengths
be87 too many length or distance symbols
beab invalid code lengths set
bec4 invalid bit length repeat
bede invalid code -- missing end-of-block
bf03 invalid literal/lengths set
bf1f invalid distances set
bf35 invalid literal/length code
bf51 invalid distance code
bf67 invalid distance too far back
bf85 incorrect data check
bf9a incorrect length check
c9b1  n;^
ca71 Qkkbal
cb7f i]Wb
ccbf 9a&g
ccc8 MGiI
cccd wn>Jj
cd0f #.zf
cd1d +o*7
cde5 Z* ,
cef5 H$6t
cf84 _~6
d017 52F*
d0c7 #jT$
d1d2 ^6o}
d1fd [-&LMb#{'
d243 w+OQvr
d289 R1h58
d2ba SKyu
d326 )\ZEo^m/
d58a ru&o
d5c0 i8P/_
d5dc ?(3w
d5f7 H*0"ZOW
d66b {kHw
d6bf )T`D
d723 !AxU
d740 l!;b
d75c :1X:
d7a4 y9*O
d7b2 kM`~
d7d5 Vc0a
d83f dQy/
d8a3 lDa>
d8ae 7~8A
d913 C-Yn
d9bd gqr<
da1f $/o|
da2d f-=v
db59 mj>zjZ
db89 l6qnk
dcc8 IiGM>nw
dd36 1A26b
dddf i91k
deed ewh/?y
defe *5KS
df84 6~_'
dfcd F*.f
e01d 1wsHp
e1af M8MF
e1ce Pe6^
e200 #bML"
e21a `F(>
e244 vQO+t
e287 [h1R
e2e6 XsBI
e2f2 hPU3
e328 ^oEZ_
e547 2%k_
e56a w3Xc
e5c0 /P8i
e5da OZw3(?
e5f8 Z"0*
e689 fP~V
e6c1 D`T
e737 ^GP~
e740 b;!l
e75a V_:X1:
e77e NJ2"v
e7a4 O*9y]
e812 fu`z
e841 /yQA
e8b6 &]|v
f0be BD z
f100 "*!f}`
f12b h('te
f15f ![.l
f183 ==~9
f195 JP@6Y
f1c3 \\T[
f23d Ben6
f278 b67q
f366 +qDT
f480 K?T<
f4b7 0kZs
f500 o8B
f58c Android (5220042 based on r346389c) clang version 8.0.7 (https://android.googlesource.com/toolchain/clang b55f2d4ebfd35bf643d27dbca1bb228957008617) (https://android.googlesource.com/toolchain/llvm 3c393fe7a7e13b0fba4ac75a01aa683d7a5b11cd) (based on LLVM 8.0.7svn)
f694 Android (5484270 based on r353983c) clang version 9.0.3 (https://android.googlesource.com/toolchain/clang 745b335211bb9eadfa6aa6301f84715cee4b37c5) (https://android.googlesource.com/toolchain/llvm 60cf23e54e46c807513f7a36d0a7b777920b5881) (based on LLVM 9.0.3svn)
f79d .shstrtab
f7a7 .interp
f7af .note.android.ident
f7c3 .note.gnu.build-id
f7d6 .gnu.hash
f7e0 .dynsym
f7e8 .dynstr
f7f0 .rela.dyn
f7fa .rela.plt
f804 .text
f80a .rodata
f812 .eh_frame_hdr
f820 .eh_frame
f82a .preinit_array
f839 .init_array
f845 .fini_array
f851 .dynamic
f85a .got
f85f .data
f865 .bss
f86a .comment
