rule	term	file	line	text	interpretation
local_uri_database_column	LocalURI	com/amazon/android/app/AmazonDownloadManagerHelper.java	164	pendingUpdate.setLocalUri(Uri.parse("file://" + downloadStatus.getDestinationFilePath()));	The local downloaded file is represented separately from the remote URI.
local_uri_database_column	setLocalUri	com/amazon/android/app/AmazonDownloadManagerHelper.java	164	pendingUpdate.setLocalUri(Uri.parse("file://" + downloadStatus.getDestinationFilePath()));	The local downloaded file is represented separately from the remote URI.
server_url_to_remote_uri	getUrl()	com/amazon/device/software/ota/db/PublishedUpdate.java	64	this.mRemoteUri = URI.create(availableUpdatesContainer.getUrl());	The server-provided update URL becomes the PublishedUpdate remote URI.
server_url_to_remote_uri	mRemoteUri	com/amazon/device/software/ota/db/PublishedUpdate.java	28	private final URI mRemoteUri;	The server-provided update URL becomes the PublishedUpdate remote URI.
server_url_to_remote_uri	URI.create	com/amazon/device/software/ota/db/PublishedUpdate.java	64	this.mRemoteUri = URI.create(availableUpdatesContainer.getUrl());	The server-provided update URL becomes the PublishedUpdate remote URI.
remote_uri_database_column	RemoteURI	com/amazon/device/software/ota/db/PublishedUpdate.java	80	this.mRemoteUri = URI.create(contentValues.getAsString("RemoteURI"));	PublishedUpdates persists the remote URI in the OTA database schema.
remote_uri_database_column	contentValues.put	com/amazon/device/software/ota/db/PublishedUpdate.java	203	contentValues.put("RemoteURI", this.mRemoteUri.toString());	PublishedUpdates persists the remote URI in the OTA database schema.
download_mapping	getOtaDownloadUrl	com/amazon/device/software/ota/tasks/download/DownloadStarter.java	41	String otaDownloadUrl = this.mDNWStateObservable.getOtaDownloadUrl(string);	DownloadStarter maps the URI and enqueues it through AmazonDownloadManager.
download_mapping	IAmazonDownloadManager	com/amazon/device/software/ota/tasks/download/DownloadStarter.java	21	final IAmazonDownloadManager mIAmazonDownloadManager;	DownloadStarter maps the URI and enqueues it through AmazonDownloadManager.
download_mapping	enqueue	com/amazon/device/software/ota/tasks/download/DownloadStarter.java	67	pendingUpdate.setDownloadId(this.mIAmazonDownloadManager.enqueue(createRequest(pendingUpdate)));	DownloadStarter maps the URI and enqueues it through AmazonDownloadManager.
query_input	AuthenticatedDeviceGetUpdatesQueryInput	com/amazon/device/software/ota/updatechecker/RequestBuilder.java	5	import com.amazon.devicesoftwaretracking.AuthenticatedDeviceGetUpdatesQueryInput;	The request carries build dimensions and installed-package inventory.
query_input	setBuildDimensions	com/amazon/device/software/ota/updatechecker/RequestBuilder.java	52	authenticatedDeviceGetUpdatesQueryInput.setBuildDimensions(this.mBuildDimensionsGenerator.generateBuildDimensions());	The request carries build dimensions and installed-package inventory.
query_input	setInventory	com/amazon/device/software/ota/updatechecker/RequestBuilder.java	53	authenticatedDeviceGetUpdatesQueryInput.setInventory(this.mInventoryGenerator.generateInventory());	The request carries build dimensions and installed-package inventory.
update_endpoint_default	getUpdatesUrlPathAndMethod	com/amazon/device/software/ota/util/settings/OTASettings.java	141	return this.mSettingsManager.getString("getUpdatesUrlPathAndMethod", "https://softwareupdates.amazon.com/software/inventory2");	The APK contains a default authenticated update-query endpoint.
update_endpoint_default	softwareupdates.amazon.com/software/inventory2	com/amazon/device/software/ota/util/settings/OTASettings.java	141	return this.mSettingsManager.getString("getUpdatesUrlPathAndMethod", "https://softwareupdates.amazon.com/software/inventory2");	The APK contains a default authenticated update-query endpoint.
