key,ps7330,ps7331,changed,focus
CONFIG_64BIT,y,y,false,false
CONFIG_6LOWPAN,not set,not set,false,false
CONFIG_A60810_SUPPORT,not set,not set,false,false
CONFIG_ABX500_CORE,not set,not set,false,false
CONFIG_ACCDET_EINT,not set,not set,false,false
CONFIG_ACCDET_EINT_IRQ,y,y,false,false
CONFIG_ACCDET_PIN_RECOGNIZATION,not set,not set,false,false
CONFIG_ACCDET_PIN_SWAP,not set,not set,false,false
CONFIG_ACCDET_SUPPORT_BI_EINT,not set,not set,false,false
CONFIG_ACCDET_SUPPORT_EINT0,y,y,false,false
CONFIG_ACCDET_SUPPORT_EINT1,not set,not set,false,false
CONFIG_ACCDET_TS3A226AE,y,y,false,false
CONFIG_ACCESSIBILITY,not set,not set,false,false
CONFIG_AD2S1200,not set,not set,false,false
CONFIG_AD2S1210,not set,not set,false,false
CONFIG_AD2S90,not set,not set,false,false
CONFIG_AD5064,not set,not set,false,false
CONFIG_AD525X_DPOT,not set,not set,false,false
CONFIG_AD5360,not set,not set,false,false
CONFIG_AD5380,not set,not set,false,false
CONFIG_AD5421,not set,not set,false,false
CONFIG_AD5446,not set,not set,false,false
CONFIG_AD5449,not set,not set,false,false
CONFIG_AD5504,not set,not set,false,false
CONFIG_AD5624R_SPI,not set,not set,false,false
CONFIG_AD5686,not set,not set,false,false
CONFIG_AD5755,not set,not set,false,false
CONFIG_AD5764,not set,not set,false,false
CONFIG_AD5791,not set,not set,false,false
CONFIG_AD5933,not set,not set,false,false
CONFIG_AD7150,not set,not set,false,false
CONFIG_AD7152,not set,not set,false,false
CONFIG_AD7192,not set,not set,false,false
CONFIG_AD7266,not set,not set,false,false
CONFIG_AD7280,not set,not set,false,false
CONFIG_AD7291,not set,not set,false,false
CONFIG_AD7298,not set,not set,false,false
CONFIG_AD7303,not set,not set,false,false
CONFIG_AD7476,not set,not set,false,false
CONFIG_AD7606,not set,not set,false,false
CONFIG_AD7746,not set,not set,false,false
CONFIG_AD7780,not set,not set,false,false
CONFIG_AD7791,not set,not set,false,false
CONFIG_AD7793,not set,not set,false,false
CONFIG_AD7816,not set,not set,false,false
CONFIG_AD7887,not set,not set,false,false
CONFIG_AD7923,not set,not set,false,false
CONFIG_AD799X,not set,not set,false,false
CONFIG_AD8366,not set,not set,false,false
CONFIG_AD9523,not set,not set,false,false
CONFIG_AD9832,not set,not set,false,false
CONFIG_AD9834,not set,not set,false,false
CONFIG_ADE7753,not set,not set,false,false
CONFIG_ADE7754,not set,not set,false,false
CONFIG_ADE7758,not set,not set,false,false
CONFIG_ADE7759,not set,not set,false,false
CONFIG_ADE7854,not set,not set,false,false
CONFIG_ADF,not set,not set,false,false
CONFIG_ADF4350,not set,not set,false,false
CONFIG_ADFS_FS,not set,not set,false,false
CONFIG_ADIS16060,not set,not set,false,false
CONFIG_ADIS16080,not set,not set,false,false
CONFIG_ADIS16130,not set,not set,false,false
CONFIG_ADIS16136,not set,not set,false,false
CONFIG_ADIS16201,not set,not set,false,false
CONFIG_ADIS16203,not set,not set,false,false
CONFIG_ADIS16204,not set,not set,false,false
CONFIG_ADIS16209,not set,not set,false,false
CONFIG_ADIS16220,not set,not set,false,false
CONFIG_ADIS16240,not set,not set,false,false
CONFIG_ADIS16260,not set,not set,false,false
CONFIG_ADIS16400,not set,not set,false,false
CONFIG_ADIS16480,not set,not set,false,false
CONFIG_ADJD_S311,not set,not set,false,false
CONFIG_ADT7316,not set,not set,false,false
CONFIG_ADVISE_SYSCALLS,y,y,false,false
CONFIG_ADXRS450,not set,not set,false,false
CONFIG_AFFS_FS,not set,not set,false,false
CONFIG_AF_RXRPC,not set,not set,false,false
CONFIG_AIO,y,y,false,false
CONFIG_AK09911,not set,not set,false,false
CONFIG_AK8975,not set,not set,false,false
CONFIG_AL3320A,not set,not set,false,false
CONFIG_ALLOW_DEV_COREDUMP,y,y,false,false
CONFIG_ALTERA_STAPL,not set,not set,false,false
CONFIG_AMAZON,y,y,false,false
CONFIG_AMAZON_BOOTUP_KEEP_WATCHDOG,y,y,false,false
CONFIG_AMAZON_DEBUG_CLK,y,y,false,false
CONFIG_AMAZON_DSP_FRAMEWORK,y,y,false,false
CONFIG_AMAZON_LD,y,y,false,false
CONFIG_AMAZON_LD_SWITCH,y,y,false,false
CONFIG_AMAZON_METRICS_LOG,not set,not set,false,false
CONFIG_AMAZON_MINERVA_METRICS_LOG,not set,not set,false,false
CONFIG_AMAZON_POWEROFF_LOG,not set,not set,false,false
CONFIG_AMAZON_SIGN_OF_LIFE,not set,not set,false,false
CONFIG_AMAZON_SIGN_OF_LIFE_MTK,not set,not set,false,false
CONFIG_AMBA_PL08X,not set,not set,false,false
CONFIG_AMD_PHY,not set,not set,false,false
CONFIG_AMZN,y,y,false,false
CONFIG_AMZN_DRV_TEST,not set,not set,false,false
CONFIG_AMZN_IDME,y,y,false,false
CONFIG_AMZN_INPUT_KEYCOMBO,y,y,false,false
CONFIG_AMZN_METRICS_LOG,y,y,false,false
CONFIG_AMZN_METRICS_LOG_TEST,not set,not set,false,false
CONFIG_AMZN_MINERVA_METRICS_LOG,y,y,false,false
CONFIG_AMZN_POWEROFF_LOG,y,y,false,false
CONFIG_AMZN_RT_TRACE,not set,not set,false,false
CONFIG_AMZN_SIGN_OF_LIFE,y,y,false,false
CONFIG_AMZN_SIGN_OF_LIFE_RTC,y,y,false,false
CONFIG_AMZN_THERMAL_VIRTUAL_SENSOR,y,y,false,false
CONFIG_ANDROID,y,y,false,false
CONFIG_ANDROID_BINDER_DEVICES,"""binder,hwbinder,vndbinder""","""binder,hwbinder,vndbinder""",false,false
CONFIG_ANDROID_BINDER_IPC,y,y,false,false
CONFIG_ANDROID_BINDER_IPC_32BIT,not set,not set,false,false
CONFIG_ANDROID_BINDER_IPC_SELFTEST,not set,not set,false,false
CONFIG_ANDROID_DEFAULT_SETTING,y,y,false,false
CONFIG_ANDROID_INTF_ALARM_DEV,y,y,false,false
CONFIG_ANDROID_LOW_MEMORY_KILLER,y,y,false,false
CONFIG_ANDROID_LOW_MEMORY_KILLER_AUTODETECT_OOM_ADJ_VALUES,y,y,false,false
CONFIG_ANDROID_PARANOID_NETWORK,y,y,false,false
CONFIG_ANDROID_TIMED_GPIO,not set,not set,false,false
CONFIG_ANDROID_TIMED_OUTPUT,y,y,false,false
CONFIG_ANON_INODES,y,y,false,false
