key,ps7330_runtime,ps7331_runtime,ps7331_defconfig,runtime_equal,defconfig_matches_ps7331_runtime
CONFIG_ARM64,y,y,NOT_FOUND,True,False
CONFIG_ARM64_4K_PAGES,y,y,NOT_FOUND,True,False
CONFIG_ARM64_VA_BITS,39,39,NOT_FOUND,True,False
CONFIG_ARM64_VA_BITS_39,y,y,NOT_FOUND,True,False
CONFIG_FUTEX,y,y,NOT_FOUND,True,False
CONFIG_RT_MUTEXES,y,y,NOT_FOUND,True,False
CONFIG_PREEMPT,y,y,y,True,True
CONFIG_PREEMPT_COUNT,y,y,NOT_FOUND,True,False
CONFIG_RANDOMIZE_BASE,y,y,y,True,True
CONFIG_THREAD_INFO_IN_TASK,y,y,NOT_FOUND,True,False
CONFIG_PANIC_ON_OOPS,y,y,y,True,True
CONFIG_PANIC_ON_OOPS_VALUE,1,1,NOT_FOUND,True,False
CONFIG_SECURITY_SELINUX,y,y,NOT_FOUND,True,False
CONFIG_SECCOMP,y,y,NOT_FOUND,True,False
CONFIG_SECCOMP_FILTER,y,y,NOT_FOUND,True,False
CONFIG_ION,y,y,y,True,True
CONFIG_MTK_ION,y,y,y,True,True
CONFIG_MTK_CMDQ,y,y,y,True,True
CONFIG_MTK_ENABLE_GENIEZONE,n,n,NOT_FOUND,True,False
CONFIG_DEBUG_RT_MUTEXES,n,n,NOT_FOUND,True,False
