root,path,line,pattern,class,excerpt
firmware/extracted/PS7331-SOURCE-20250617/fireos,kernel/goldfish/Documentation/futex-requeue-pi.txt,66,FUTEX_WAIT_REQUEUE_PI,uapi_or_documentation,futex_wait_requeue_pi(cond->__data.__futex);
firmware/extracted/PS7331-SOURCE-20250617/fireos,kernel/goldfish/Documentation/futex-requeue-pi.txt,77,FUTEX_REQUEUE_PI,uapi_or_documentation,"futex_requeue_pi(cond->data.__futex, cond->mutex);"
firmware/extracted/PS7331-SOURCE-20250617/fireos,kernel/goldfish/Documentation/futex-requeue-pi.txt,101,FUTEX_CMP_REQUEUE_PI,uapi_or_documentation,requeue_pi: FUTEX_WAIT_REQUEUE_PI and FUTEX_CMP_REQUEUE_PI.
firmware/extracted/PS7331-SOURCE-20250617/fireos,kernel/goldfish/Documentation/futex-requeue-pi.txt,103,FUTEX_WAIT_REQUEUE_PI,uapi_or_documentation,FUTEX_WAIT_REQUEUE_PI is called by the waiter (pthread_cond_wait()
firmware/extracted/PS7331-SOURCE-20250617/fireos,kernel/goldfish/Documentation/futex-requeue-pi.txt,110,FUTEX_CMP_REQUEUE_PI,uapi_or_documentation,FUTEX_CMP_REQUEUE_PI is called by the waker
firmware/extracted/PS7331-SOURCE-20250617/fireos,kernel/goldfish/Documentation/futex-requeue-pi.txt,123,FUTEX_CMP_REQUEUE_PI,uapi_or_documentation,"FUTEX_CMP_REQUEUE_PI accepts nr_wake and nr_requeue as arguments, but"
firmware/extracted/PS7331-SOURCE-20250617/fireos,kernel/goldfish/Documentation/futex-requeue-pi.txt,129,FUTEX_CMP_REQUEUE_PI,uapi_or_documentation,mutex prior to making the call. FUTEX_CMP_REQUEUE_PI requires that
firmware/extracted/PS7331-SOURCE-20250617/fireos,kernel/goldfish/kernel/futex.c,1783,FUTEX_CMP_REQUEUE_PI,kernel_implementation,* FUTEX_WAIT_REQEUE_PI and FUTEX_CMP_REQUEUE_PI should always
firmware/extracted/PS7331-SOURCE-20250617/fireos,kernel/goldfish/kernel/futex.c,1903,FUTEX_WAIT_REQUEUE_PI,kernel_implementation,* state is implicit in the state of woken task (see futex_wait_requeue_pi() for
firmware/extracted/PS7331-SOURCE-20250617/fireos,kernel/goldfish/kernel/futex.c,2655,FUTEX_WAIT_REQUEUE_PI,kernel_implementation,* futex_wait_requeue_pi() - Wait on uaddr and take uaddr2
firmware/extracted/PS7331-SOURCE-20250617/fireos,kernel/goldfish/kernel/futex.c,2694,FUTEX_WAIT_REQUEUE_PI,kernel_implementation,"static int futex_wait_requeue_pi(u32 __user *uaddr, unsigned int flags,"
firmware/extracted/PS7331-SOURCE-20250617/fireos,kernel/goldfish/kernel/futex.c,3084,FUTEX_WAIT_REQUEUE_PI,kernel_implementation,if (cmd != FUTEX_WAIT_BITSET && cmd != FUTEX_WAIT_REQUEUE_PI)
firmware/extracted/PS7331-SOURCE-20250617/fireos,kernel/goldfish/kernel/futex.c,3092,FUTEX_WAIT_REQUEUE_PI,kernel_implementation,case FUTEX_WAIT_REQUEUE_PI:
firmware/extracted/PS7331-SOURCE-20250617/fireos,kernel/goldfish/kernel/futex.c,3093,FUTEX_CMP_REQUEUE_PI,kernel_implementation,case FUTEX_CMP_REQUEUE_PI:
firmware/extracted/PS7331-SOURCE-20250617/fireos,kernel/goldfish/kernel/futex.c,3119,FUTEX_WAIT_REQUEUE_PI,kernel_implementation,case FUTEX_WAIT_REQUEUE_PI:
firmware/extracted/PS7331-SOURCE-20250617/fireos,kernel/goldfish/kernel/futex.c,3121,FUTEX_WAIT_REQUEUE_PI,kernel_implementation,"return futex_wait_requeue_pi(uaddr, flags, val, timeout, val3,"
firmware/extracted/PS7331-SOURCE-20250617/fireos,kernel/goldfish/kernel/futex.c,3123,FUTEX_CMP_REQUEUE_PI,kernel_implementation,case FUTEX_CMP_REQUEUE_PI:
firmware/extracted/PS7331-SOURCE-20250617/fireos,kernel/goldfish/kernel/futex.c,3141,FUTEX_WAIT_REQUEUE_PI,kernel_implementation,cmd == FUTEX_WAIT_REQUEUE_PI)) {
firmware/extracted/PS7331-SOURCE-20250617/fireos,kernel/goldfish/kernel/futex.c,3159,FUTEX_CMP_REQUEUE_PI,kernel_implementation,cmd == FUTEX_CMP_REQUEUE_PI || cmd == FUTEX_WAKE_OP)
