path,sha256,size,file_description,result,syscall_import_observed,named_requeue_pi_count,futex_count,rtmutex_count,pthread_condition_count,pi_helper_count,syscall_word_count
artifacts/phase5/phase5cq-fire-native-20260804-01/files/app_process64,c075e6bbef31b2ae03ef6336b8d605c6f430e49bf25444c44aea0563647ec01e,68960,"ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, interpreter /system/bin/linker64, BuildID[md5/uuid]=08cefe4b70e4e3884307fee98c19731f, stripped",no_named_requeue_pi_marker,False,0,0,0,0,0,0
artifacts/phase5/phase5cq-fire-native-20260804-01/files/libc,0899e7cde39ccae24a3ba7e9f5433922a30f03ed93744af87e053639ce076681,1126608,"ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, BuildID[md5/uuid]=d080345354fe2c70c734d66b49b1efb4, not stripped",ordinary_or_pi_helper_marker_only,False,0,3,0,40,2,3
artifacts/phase5/phase5cq-fire-native-20260804-01/files/linker64,124745b0cac2fa1511cd903a3982108109d8c8f38e77c63df3e97b026e6ee21b,1741640,"ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), static-pie linked, BuildID[md5/uuid]=801543a097bcb122d31f2e28c5b173af, not stripped",ordinary_or_pi_helper_marker_only,False,0,3,0,3,2,0
artifacts/phase5/phase5cr-fire-native-20260804-02/files/app_process64,c075e6bbef31b2ae03ef6336b8d605c6f430e49bf25444c44aea0563647ec01e,68960,"ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, interpreter /system/bin/linker64, BuildID[md5/uuid]=08cefe4b70e4e3884307fee98c19731f, stripped",no_named_requeue_pi_marker,False,0,0,0,0,0,0
artifacts/phase5/phase5cr-fire-native-20260804-02/files/libc,0899e7cde39ccae24a3ba7e9f5433922a30f03ed93744af87e053639ce076681,1126608,"ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, BuildID[md5/uuid]=d080345354fe2c70c734d66b49b1efb4, not stripped",ordinary_or_pi_helper_marker_only,False,0,3,0,40,2,3
artifacts/phase5/phase5cr-fire-native-20260804-02/files/linker64,124745b0cac2fa1511cd903a3982108109d8c8f38e77c63df3e97b026e6ee21b,1741640,"ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), static-pie linked, BuildID[md5/uuid]=801543a097bcb122d31f2e28c5b173af, not stripped",ordinary_or_pi_helper_marker_only,False,0,3,0,3,2,0
artifacts/phase5/phase5cs-fire-amazon-native-20260804-01/files/libAmazon_tat_jni.so,6600e3782b8d61dcc6fc7c9e7a44b043c02a159d03e31932b89d52a22b0fa067,68104,"ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, BuildID[md5/uuid]=8f2d305b25d610e411b4d0a24a93f237, stripped",no_named_requeue_pi_marker,False,0,0,0,0,0,0
artifacts/phase5/phase5cs-fire-amazon-native-20260804-01/files/libamazon_remotes.so,a135a94d299d8c00a6516d8278d10bb46b04d768f13c1a0c9d47cf0aabab19e2,68256,"ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, BuildID[md5/uuid]=c39c63cd82280ccd85fcdcc982ffb010, stripped",no_named_requeue_pi_marker,False,0,0,0,0,0,0
artifacts/phase5/phase5cs-fire-amazon-native-20260804-01/files/libamazonaspservice.so,8a5da8b58f3f2ceb94d144ea04b10bec8fc41008ca9f0e4552d740603043df15,69528,"ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, BuildID[md5/uuid]=c78592b6b044a006b45a1b7724f39f30, stripped",no_named_requeue_pi_marker,False,0,0,0,0,0,0
artifacts/phase5/phase5cs-fire-amazon-native-20260804-01/files/libamazonmediaanalytica.so,a5759d402ee9b3790feeb5f3ba025fb0debe333e1585bd471006ae1f48993198,70968,"ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, BuildID[md5/uuid]=6c668f4e00d1eeda552d334051236872, stripped",no_named_requeue_pi_marker,False,0,0,0,0,0,0
artifacts/phase5/phase5cs-fire-amazon-native-20260804-01/files/libamazonwifiservice.so,700c86c24426cf4d1938e129331a0ef9eae2fc51802c5d4cdc56ddb048787876,68432,"ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, BuildID[md5/uuid]=cb321559ba8851a30f913026a6e9f0b9, stripped",no_named_requeue_pi_marker,False,0,0,0,0,0,0
artifacts/phase5/phase5cs-fire-amazon-native-20260804-01/files/libandroid_runtime.so,73dd8b974989faeaed65d03d548f3a776fd31e65ddb29cdd583dcaeea623d837,2283760,"ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, BuildID[md5/uuid]=ce1eeafb4b0d3f0cac21b5ad3f55e4be, stripped",no_named_requeue_pi_marker,False,0,0,0,14,0,0
artifacts/phase5/phase5cs-fire-amazon-native-20260804-01/files/libart.so,3a0a7cdc0d8b3634c6b362e0b68d0f05225063eec098fdc7656988139bb9f658,7816344,"ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, BuildID[md5/uuid]=2a6ff16d91af7f2fc44dd9358aec9ec7, not stripped",ordinary_or_pi_helper_marker_only,True,0,4,0,25,0,3
artifacts/phase5/phase5cs-fire-amazon-native-20260804-01/files/libbinder.so,258859d7e0a0bbd0acb2474403ae5dcda45037b0facd3af0de707ddee4683c60,598776,"ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, BuildID[md5/uuid]=3d48fc901e48e93ceca08bff83830635, stripped",no_named_requeue_pi_marker,False,0,0,0,4,0,0
artifacts/phase5/phase5cs-fire-amazon-native-20260804-01/files/libcutils.so,8307c957cafbdf620e79fda2ee68eef438e6d8dd326d019f4d803a012042d6f8,135392,"ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, BuildID[md5/uuid]=8045261d95dd95a5b5d917d55dcf0fad, stripped",generic_syscall_boundary_only,True,0,0,0,0,0,2
artifacts/phase5/phase5cs-fire-amazon-native-20260804-01/files/libutils.so,881c0a2e298e25d1768928d50dccfabdadca66d85af055a2c156cfa6b10296f7,134920,"ELF 64-bit LSB shared object, ARM aarch64, version 1 (SYSV), dynamically linked, BuildID[md5/uuid]=2adc8323de3c235c00f85cd0b12bc64f, stripped",no_named_requeue_pi_marker,False,0,0,0,14,0,0
