class_number	class_name	descriptor	start_line	end_line	direct_methods	virtual_methods
0	R.attr	Landroid/arch/core/R$attr;	2	11	1	0
1	R.bool	Landroid/arch/core/R$bool;	12	20	1	0
2	R.color	Landroid/arch/core/R$color;	21	29	1	0
3	R.dimen	Landroid/arch/core/R$dimen;	30	38	1	0
4	R.drawable	Landroid/arch/core/R$drawable;	39	47	1	0
5	R.id	Landroid/arch/core/R$id;	48	56	1	0
6	R.integer	Landroid/arch/core/R$integer;	57	65	1	0
7	R.layout	Landroid/arch/core/R$layout;	66	74	1	0
8	R.menu	Landroid/arch/core/R$menu;	75	83	1	0
9	R.mipmap	Landroid/arch/core/R$mipmap;	84	92	1	0
10	R.plurals	Landroid/arch/core/R$plurals;	93	101	1	0
11	R.raw	Landroid/arch/core/R$raw;	102	110	1	0
12	R.string	Landroid/arch/core/R$string;	111	119	1	0
13	R.style	Landroid/arch/core/R$style;	120	128	1	0
14	R.styleable	Landroid/arch/core/R$styleable;	129	163	2	0
15	R.xml	Landroid/arch/core/R$xml;	164	172	1	0
16	R	Landroid/arch/core/R;	173	181	1	0
17	ArchTaskExecutor.1	Landroid/arch/core/executor/ArchTaskExecutor$1;	182	200	1	1
18	ArchTaskExecutor.2	Landroid/arch/core/executor/ArchTaskExecutor$2;	201	219	1	1
19	TaskExecutor	Landroid/arch/core/executor/TaskExecutor;	220	252	1	4
20	SafeIterableMap.1	Landroid/arch/core/internal/SafeIterableMap$1;	253	255	0	0
21	SafeIterableMap.Entry	Landroid/arch/core/internal/SafeIterableMap$Entry;	256	360	1	6
22	SafeIterableMap.SupportRemove	Landroid/arch/core/internal/SafeIterableMap$SupportRemove;	361	367	0	1
23	SafeIterableMap	Landroid/arch/core/internal/SafeIterableMap;	368	708	2	13
24	Function	Landroid/arch/core/util/Function;	709	715	0	1
25	ClassesInfoCache.CallbackInfo	Landroid/arch/lifecycle/ClassesInfoCache$CallbackInfo;	716	797	2	1
26	ClassesInfoCache.MethodReference	Landroid/arch/lifecycle/ClassesInfoCache$MethodReference;	798	925	1	3
27	ClassesInfoCache	Landroid/arch/lifecycle/ClassesInfoCache;	926	1213	5	2
28	FullLifecycleObserverAdapter.1	Landroid/arch/lifecycle/FullLifecycleObserverAdapter$1;	1214	1291	1	0
29	GeneratedAdapter	Landroid/arch/lifecycle/GeneratedAdapter;	1292	1298	0	1
30	Lifecycle.Event	Landroid/arch/lifecycle/Lifecycle$Event;	1299	1385	4	0
31	Lifecycle.State	Landroid/arch/lifecycle/Lifecycle$State;	1386	1469	4	1
32	Lifecycle	Landroid/arch/lifecycle/Lifecycle;	1470	1487	1	3
33	LifecycleObserver	Landroid/arch/lifecycle/LifecycleObserver;	1488	1490	0	0
34	LifecycleOwner	Landroid/arch/lifecycle/LifecycleOwner;	1491	1497	0	1
35	LifecycleRegistry.1	Landroid/arch/lifecycle/LifecycleRegistry$1;	1498	1620	1	0
36	LifecycleRegistry.ObserverWithState	Landroid/arch/lifecycle/LifecycleRegistry$ObserverWithState;	1621	1656	1	1
37	Lifecycling	Landroid/arch/lifecycle/Lifecycling;	1657	1967	9	0
38	LiveData.1	Landroid/arch/lifecycle/LiveData$1;	1968	2009	1	1
39	LiveData.ObserverWrapper	Landroid/arch/lifecycle/LiveData$ObserverWrapper;	2010	2099	1	4
40	LiveData	Landroid/arch/lifecycle/LiveData;	2100	2520	12	12
41	MethodCallsLogger	Landroid/arch/lifecycle/MethodCallsLogger;	2521	2567	1	1
42	Observer	Landroid/arch/lifecycle/Observer;	2568	2574	0	1
43	OnLifecycleEvent	Landroid/arch/lifecycle/OnLifecycleEvent;	2575	2581	0	1
44	R.attr	Landroid/arch/lifecycle/R$attr;	2582	2590	1	0
45	R.bool	Landroid/arch/lifecycle/R$bool;	2591	2599	1	0
46	R.color	Landroid/arch/lifecycle/R$color;	2600	2608	1	0
47	R.dimen	Landroid/arch/lifecycle/R$dimen;	2609	2617	1	0
48	R.drawable	Landroid/arch/lifecycle/R$drawable;	2618	2626	1	0
49	R.id	Landroid/arch/lifecycle/R$id;	2627	2635	1	0
50	R.integer	Landroid/arch/lifecycle/R$integer;	2636	2644	1	0
51	R.layout	Landroid/arch/lifecycle/R$layout;	2645	2653	1	0
52	R.menu	Landroid/arch/lifecycle/R$menu;	2654	2662	1	0
53	R.mipmap	Landroid/arch/lifecycle/R$mipmap;	2663	2671	1	0
54	R.plurals	Landroid/arch/lifecycle/R$plurals;	2672	2680	1	0
55	R.raw	Landroid/arch/lifecycle/R$raw;	2681	2689	1	0
56	R.string	Landroid/arch/lifecycle/R$string;	2690	2698	1	0
57	R.style	Landroid/arch/lifecycle/R$style;	2699	2707	1	0
58	R.styleable	Landroid/arch/lifecycle/R$styleable;	2708	2742	2	0
59	R.xml	Landroid/arch/lifecycle/R$xml;	2743	2751	1	0
60	R	Landroid/arch/lifecycle/R;	2752	2760	1	0
61	ReportFragment.ActivityInitializationListener	Landroid/arch/lifecycle/ReportFragment$ActivityInitializationListener;	2761	2773	0	3
62	ReportFragment	Landroid/arch/lifecycle/ReportFragment;	2774	2954	7	7
63	ViewModel	Landroid/arch/lifecycle/ViewModel;	2955	2967	1	1
64	ViewModelProvider.Factory	Landroid/arch/lifecycle/ViewModelProvider$Factory;	2968	2974	0	1
65	ViewModelProvider	Landroid/arch/lifecycle/ViewModelProvider;	2975	3046	2	2
66	ViewModelStore	Landroid/arch/lifecycle/ViewModelStore;	3047	3112	1	3
67	ViewModelStoreOwner	Landroid/arch/lifecycle/ViewModelStoreOwner;	3113	3119	0	1
68	R.attr	Landroid/arch/lifecycle/livedata/core/R$attr;	3120	3128	1	0
69	R.bool	Landroid/arch/lifecycle/livedata/core/R$bool;	3129	3137	1	0
70	R.color	Landroid/arch/lifecycle/livedata/core/R$color;	3138	3146	1	0
71	R.dimen	Landroid/arch/lifecycle/livedata/core/R$dimen;	3147	3155	1	0
72	R.drawable	Landroid/arch/lifecycle/livedata/core/R$drawable;	3156	3164	1	0
73	R.id	Landroid/arch/lifecycle/livedata/core/R$id;	3165	3173	1	0
74	R.integer	Landroid/arch/lifecycle/livedata/core/R$integer;	3174	3182	1	0
75	R.layout	Landroid/arch/lifecycle/livedata/core/R$layout;	3183	3191	1	0
76	R.menu	Landroid/arch/lifecycle/livedata/core/R$menu;	3192	3200	1	0
77	R.mipmap	Landroid/arch/lifecycle/livedata/core/R$mipmap;	3201	3209	1	0
78	R.plurals	Landroid/arch/lifecycle/livedata/core/R$plurals;	3210	3218	1	0
79	R.raw	Landroid/arch/lifecycle/livedata/core/R$raw;	3219	3227	1	0
80	R.string	Landroid/arch/lifecycle/livedata/core/R$string;	3228	3236	1	0
81	R.style	Landroid/arch/lifecycle/livedata/core/R$style;	3237	3245	1	0
82	R.styleable	Landroid/arch/lifecycle/livedata/core/R$styleable;	3246	3280	2	0
83	R.xml	Landroid/arch/lifecycle/livedata/core/R$xml;	3281	3289	1	0
84	R	Landroid/arch/lifecycle/livedata/core/R;	3290	3298	1	0
85	R.attr	Landroid/arch/lifecycle/viewmodel/R$attr;	3299	3307	1	0
86	R.bool	Landroid/arch/lifecycle/viewmodel/R$bool;	3308	3316	1	0
87	R.color	Landroid/arch/lifecycle/viewmodel/R$color;	3317	3325	1	0
88	R.dimen	Landroid/arch/lifecycle/viewmodel/R$dimen;	3326	3334	1	0
89	R.drawable	Landroid/arch/lifecycle/viewmodel/R$drawable;	3335	3343	1	0
90	R.id	Landroid/arch/lifecycle/viewmodel/R$id;	3344	3352	1	0
91	R.integer	Landroid/arch/lifecycle/viewmodel/R$integer;	3353	3361	1	0
92	R.layout	Landroid/arch/lifecycle/viewmodel/R$layout;	3362	3370	1	0
93	R.menu	Landroid/arch/lifecycle/viewmodel/R$menu;	3371	3379	1	0
94	R.mipmap	Landroid/arch/lifecycle/viewmodel/R$mipmap;	3380	3388	1	0
95	R.plurals	Landroid/arch/lifecycle/viewmodel/R$plurals;	3389	3397	1	0
96	R.raw	Landroid/arch/lifecycle/viewmodel/R$raw;	3398	3406	1	0
97	R.string	Landroid/arch/lifecycle/viewmodel/R$string;	3407	3415	1	0
98	R.style	Landroid/arch/lifecycle/viewmodel/R$style;	3416	3424	1	0
99	R.styleable	Landroid/arch/lifecycle/viewmodel/R$styleable;	3425	3459	2	0
100	R.xml	Landroid/arch/lifecycle/viewmodel/R$xml;	3460	3468	1	0
101	R	Landroid/arch/lifecycle/viewmodel/R;	3469	3477	1	0
102	-..Lambda.ApfFilter.UV1wDVoVlbcxpr8zevj_aMFtUGw	Landroid/net/apf/-$$Lambda$ApfFilter$UV1wDVoVlbcxpr8zevj_aMFtUGw;	3478	3503	2	1
103	ApfCapabilities	Landroid/net/apf/ApfCapabilities;	3504	3567	1	2
