class_number	class_name	descriptor	file	start_line	end_line
1586	AmazonBtPolicyManagerAdapter	Lcom/android/bluetooth/amznbtpolicymgr/AmazonBtPolicyManagerAdapter;	focus-classes/com_android_bluetooth_amznbtpolicymgr_AmazonBtPolicyManagerAdapter.txt	160864	161684
1677	AdapterService.2	Lcom/android/bluetooth/btservice/AdapterService$2;	focus-classes/com_android_bluetooth_btservice_AdapterService__2.txt	189036	189078
1678	AdapterService.3	Lcom/android/bluetooth/btservice/AdapterService$3;	focus-classes/com_android_bluetooth_btservice_AdapterService__3.txt	189079	189108
1679	AdapterService.4	Lcom/android/bluetooth/btservice/AdapterService$4;	focus-classes/com_android_bluetooth_btservice_AdapterService__4.txt	189109	189136
1680	AdapterService.5	Lcom/android/bluetooth/btservice/AdapterService$5;	focus-classes/com_android_bluetooth_btservice_AdapterService__5.txt	189137	189160
1681	AdapterService.6	Lcom/android/bluetooth/btservice/AdapterService$6;	focus-classes/com_android_bluetooth_btservice_AdapterService__6.txt	189161	189192
1682	AdapterService.7	Lcom/android/bluetooth/btservice/AdapterService$7;	focus-classes/com_android_bluetooth_btservice_AdapterService__7.txt	189193	189292
1683	AdapterService.8	Lcom/android/bluetooth/btservice/AdapterService$8;	focus-classes/com_android_bluetooth_btservice_AdapterService__8.txt	189293	189423
1684	AdapterService.AdapterServiceBinder	Lcom/android/bluetooth/btservice/AdapterService$AdapterServiceBinder;	focus-classes/com_android_bluetooth_btservice_AdapterService__AdapterServiceBinder.txt	189424	190788
1685	AdapterService.AdapterServiceBinderExtended	Lcom/android/bluetooth/btservice/AdapterService$AdapterServiceBinderExtended;	focus-classes/com_android_bluetooth_btservice_AdapterService__AdapterServiceBinderExtended.txt	190789	191194
1686	AdapterService.AdapterServiceHandler	Lcom/android/bluetooth/btservice/AdapterService$AdapterServiceHandler;	focus-classes/com_android_bluetooth_btservice_AdapterService__AdapterServiceHandler.txt	191195	191682
1687	AdapterService	Lcom/android/bluetooth/btservice/AdapterService;	focus-classes/com_android_bluetooth_btservice_AdapterService.txt	191683	196228
1724	FosGattService.1	Lcom/android/bluetooth/gatt/FosGattService$1;	focus-classes/com_android_bluetooth_gatt_FosGattService__1.txt	208979	208981
1725	FosGattService.AmazonClientMap.FosApp	Lcom/android/bluetooth/gatt/FosGattService$AmazonClientMap$FosApp;	focus-classes/com_android_bluetooth_gatt_FosGattService__AmazonClientMap__FosApp.txt	208982	209140
1728	GattService.1	Lcom/android/bluetooth/gatt/GattService$1;	focus-classes/com_android_bluetooth_gatt_GattService__1.txt	209610	209634
1729	GattService.ClientDeathRecipient	Lcom/android/bluetooth/gatt/GattService$ClientDeathRecipient;	focus-classes/com_android_bluetooth_gatt_GattService__ClientDeathRecipient.txt	209635	209680
1730	GattService.PendingIntentInfo	Lcom/android/bluetooth/gatt/GattService$PendingIntentInfo;	focus-classes/com_android_bluetooth_gatt_GattService__PendingIntentInfo.txt	209681	209711
1731	GattService.ScannerDeathRecipient	Lcom/android/bluetooth/gatt/GattService$ScannerDeathRecipient;	focus-classes/com_android_bluetooth_gatt_GattService__ScannerDeathRecipient.txt	209712	209816
1732	GattService.ServerDeathRecipient	Lcom/android/bluetooth/gatt/GattService$ServerDeathRecipient;	focus-classes/com_android_bluetooth_gatt_GattService__ServerDeathRecipient.txt	209817	209862
1733	GattServiceConfig	Lcom/android/bluetooth/gatt/GattServiceConfig;	focus-classes/com_android_bluetooth_gatt_GattServiceConfig.txt	209863	209886
2614	FosGattService.FosBluetoothGattBinder	Lcom/android/bluetooth/gatt/FosGattService$FosBluetoothGattBinder;	focus-classes/com_android_bluetooth_gatt_FosGattService__FosBluetoothGattBinder.txt	431138	431372
2615	GattService.BluetoothGattBinder	Lcom/android/bluetooth/gatt/GattService$BluetoothGattBinder;	focus-classes/com_android_bluetooth_gatt_GattService__BluetoothGattBinder.txt	431373	432289
2616	GattService.ClientMap	Lcom/android/bluetooth/gatt/GattService$ClientMap;	focus-classes/com_android_bluetooth_gatt_GattService__ClientMap.txt	432290	432301
2617	GattService.ScannerMap	Lcom/android/bluetooth/gatt/GattService$ScannerMap;	focus-classes/com_android_bluetooth_gatt_GattService__ScannerMap.txt	432302	432313
2618	GattService.ServerMap	Lcom/android/bluetooth/gatt/GattService$ServerMap;	focus-classes/com_android_bluetooth_gatt_GattService__ServerMap.txt	432314	432325
2619	GattService	Lcom/android/bluetooth/gatt/GattService;	focus-classes/com_android_bluetooth_gatt_GattService.txt	432326	439466
2842	FosGattService.AmazonClientMap	Lcom/android/bluetooth/gatt/FosGattService$AmazonClientMap;	focus-classes/com_android_bluetooth_gatt_FosGattService__AmazonClientMap.txt	507529	507657
2843	FosGattService	Lcom/android/bluetooth/gatt/FosGattService;	focus-classes/com_android_bluetooth_gatt_FosGattService.txt	507658	509583
