member	compressed_size	uncompressed_size	crc32	compression
META-INF/com/amazon/android/target.blocklist	1006	3503	75ee7829	8
META-INF/com/amazon/android/target.system.devicepath	46	45	730461d6	8
META-INF/com/amazon/android/target.system.file_map	63236	253349	7366aa91	8
META-INF/com/amazon/android/target.system.map	201	429	c6c6cbe6	8
META-INF/com/amazon/android/target.system.map.sha1	39	40	b2e0908e	8
META-INF/com/android/metadata	298	298	bdc88887	0
META-INF/com/android/otacert	1046	1452	4e5a9058	8
META-INF/com/google/android/update-binary	806075	1749792	76dea595	8
META-INF/com/google/android/updater-script	649	2104	c8e83c75	8
boot.img	9199569	9885696	b9d782d9	8
compatibility.zip	3815	3815	0239b8bd	0
images/cam_vpu1.img	488278	1655440	a89f2333	8
images/cam_vpu2.img	2942362	10132656	d4ea95c5	8
images/cam_vpu3.img	39731	138592	f38bdf00	8
images/lk.img	343990	617232	8029f087	8
images/preloader.img	154183	249340	2f94bd74	8
images/spmfw.img	7194	37184	e149ad93	8
images/sspm.img	479581	496832	45f12621	8
images/tee.img	2703671	2704896	e5555639	8
ota.prop	180	268	6651e5fd	8
system.new.dat.br	1199196816	1199196816	fdca8ba4	0
system.patch.dat	0	0	00000000	0
system.transfer.list	4203	14787	9cca7ea8	8
system/build.prop	2583	6800	7add3010	8
vendor.new.dat.br	84560649	84560649	e58a3b3a	0
vendor.patch.dat	0	0	00000000	0
vendor.transfer.list	536	1556	243c3f3c	8
