iteration	resumed_or_focus	alias_observed
1	    mResumedAc ivi y: Ac ivi yRecord{39652b4 u0 com.amazon.firelauncher/.Launcher  55}	no
2	    mResumedAc ivi y: Ac ivi yRecord{39652b4 u0 com.amazon.firelauncher/.Launcher  55}	no
3	    mResumedAc ivi y: Ac ivi yRecord{39652b4 u0 com.amazon.firelauncher/.Launcher  55}	no
4	    mResumedAc ivi y: Ac ivi yRecord{39652b4 u0 com.amazon.firelauncher/.Launcher  55}	no
5	    mResumedAc ivi y: Ac ivi yRecord{39652b4 u0 com.amazon.firelauncher/.Launcher  55}	no
6	    mResumedAc ivi y: Ac ivi yRecord{39652b4 u0 com.amazon.firelauncher/.Launcher  55}	no
7	    mResumedAc ivi y: Ac ivi yRecord{39652b4 u0 com.amazon.firelauncher/.Launcher  55}	no
8	    mResumedAc ivi y: Ac ivi yRecord{39652b4 u0 com.amazon.firelauncher/.Launcher  55}	no
9	    mResumedAc ivi y: Ac ivi yRecord{39652b4 u0 com.amazon.firelauncher/.Launcher  55}	no
10	    mResumedAc ivi y: Ac ivi yRecord{39652b4 u0 com.amazon.firelauncher/.Launcher  55}	no
11	    mResumedAc ivi y: Ac ivi yRecord{39652b4 u0 com.amazon.firelauncher/.Launcher  55}	no
12	    mResumedAc ivi y: Ac ivi yRecord{39652b4 u0 com.amazon.firelauncher/.Launcher  55}	no
13	    mResumedAc ivi y: Ac ivi yRecord{39652b4 u0 com.amazon.firelauncher/.Launcher  55}	no
14	    mResumedAc ivi y: Ac ivi yRecord{39652b4 u0 com.amazon.firelauncher/.Launcher  55}	no
15	    mResumedAc ivi y: Ac ivi yRecord{39652b4 u0 com.amazon.firelauncher/.Launcher  55}	no
16	    mResumedAc ivi y: Ac ivi yRecord{39652b4 u0 com.amazon.firelauncher/.Launcher  55}	no
17	    mResumedAc ivi y: Ac ivi yRecord{39652b4 u0 com.amazon.firelauncher/.Launcher  55}	no
18	    mResumedAc ivi y: Ac ivi yRecord{39652b4 u0 com.amazon.firelauncher/.Launcher  55}	no
19	    mResumedAc ivi y: Ac ivi yRecord{39652b4 u0 com.amazon.firelauncher/.Launcher  55}	no
20	    mResumedAc ivi y: Ac ivi yRecord{39652b4 u0 com.amazon.firelauncher/.Launcher  55}	no
