apk,sha256
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/amazon-services/com.amazon.parentalcontrols__0_com.amazon.parentalcontrols.apk,0311dda6b8be16891e7052f1d0c4d94c4cc5ef4010fd6645b58ba72a192e92a5
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/launcher/com.amazon.firelauncher__0_com.amazon.firelauncher.apk,601c510df94ddf2701ef8eb662ad565a5108688e562ca29fa56c1b14289b4ddf
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/launcher/com.microsoft.launcher__0_base.apk,ba0f400ab36aabb873311c7b07b242615b67b070c6b304ac7b1371146c406e30
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-amazon-settings/com.amazon.settings__0_AmazonTabletSettings.apk,03ab0156c31388868c883b8b3e093e30298f6ce208776e094ae86c7f32cf59d4
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-device-policy/com.amazon.dpcclient__0_com.amazon.dpcclient.apk,9d920dd7850cb4e441b390a87a1eb1172ca0f09ada15f388c66ec35063d1e33b
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-device-policy/com.amazon.parentalcontrols__0_com.amazon.parentalcontrols.apk,0311dda6b8be16891e7052f1d0c4d94c4cc5ef4010fd6645b58ba72a192e92a5
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-framework-settings/com.amazon.frameworksettings__0_com.amazon.frameworksettings.apk,1ea64e7ae22dd9f5bd4b78b1a2fe8c4b9edd7b117883a27c2b4df73b2bf322bb
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-launcher/com.amazon.firelauncher__0_com.amazon.firelauncher.apk,601c510df94ddf2701ef8eb662ad565a5108688e562ca29fa56c1b14289b4ddf
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-ota/com.amazon.device.software.ota.override__0_DeviceSoftwareOTAIdleOverride.apk,b0d78110f5e1b58efc7c741936fcc2233c05a06ea5bd65f4cf2237c3e3c1118b
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-ota/com.amazon.device.software.ota__0_DeviceSoftwareOTA.apk,4a00b81fda6259e1309d9c6c3021e7d958be8bc6341a49b1278216580824b2a0
