apk,apk_sha256,package,shared_user_id,protected_broadcast_count,target_action_present,target_permission_string_present,aapt_status
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/amazon-services/com.amazon.parentalcontrols__0_com.amazon.parentalcontrols.apk,0311dda6b8be16891e7052f1d0c4d94c4cc5ef4010fd6645b58ba72a192e92a5,com.amazon.parentalcontrols,NOT_OBSERVED,0,false,false,OK
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/launcher/com.amazon.firelauncher__0_com.amazon.firelauncher.apk,601c510df94ddf2701ef8eb662ad565a5108688e562ca29fa56c1b14289b4ddf,com.amazon.firelauncher,NOT_OBSERVED,0,false,false,OK
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/launcher/com.microsoft.launcher__0_base.apk,ba0f400ab36aabb873311c7b07b242615b67b070c6b304ac7b1371146c406e30,com.microsoft.launcher,NOT_OBSERVED,0,false,false,OK
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-amazon-settings/com.amazon.settings__0_AmazonTabletSettings.apk,03ab0156c31388868c883b8b3e093e30298f6ce208776e094ae86c7f32cf59d4,com.amazon.settings,android.uid.system,0,false,false,OK
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-device-policy/com.amazon.dpcclient__0_com.amazon.dpcclient.apk,9d920dd7850cb4e441b390a87a1eb1172ca0f09ada15f388c66ec35063d1e33b,com.amazon.dpcclient,NOT_OBSERVED,0,false,false,OK
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-device-policy/com.amazon.parentalcontrols__0_com.amazon.parentalcontrols.apk,0311dda6b8be16891e7052f1d0c4d94c4cc5ef4010fd6645b58ba72a192e92a5,com.amazon.parentalcontrols,NOT_OBSERVED,0,false,false,OK
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-framework-settings/com.amazon.frameworksettings__0_com.amazon.frameworksettings.apk,1ea64e7ae22dd9f5bd4b78b1a2fe8c4b9edd7b117883a27c2b4df73b2bf322bb,com.amazon.frameworksettings,NOT_OBSERVED,0,false,false,OK
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-launcher/com.amazon.firelauncher__0_com.amazon.firelauncher.apk,601c510df94ddf2701ef8eb662ad565a5108688e562ca29fa56c1b14289b4ddf,com.amazon.firelauncher,NOT_OBSERVED,0,false,false,OK
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-ota/com.amazon.device.software.ota.override__0_DeviceSoftwareOTAIdleOverride.apk,b0d78110f5e1b58efc7c741936fcc2233c05a06ea5bd65f4cf2237c3e3c1118b,com.amazon.device.software.ota.override,com.amazon.device.software.ota,0,false,false,OK
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-ota/com.amazon.device.software.ota__0_DeviceSoftwareOTA.apk,4a00b81fda6259e1309d9c6c3021e7d958be8bc6341a49b1278216580824b2a0,com.amazon.device.software.ota,com.amazon.device.software.ota,0,false,false,OK
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-package-management/com.amazon.pm__0_com.amazon.pm.apk,e790e4255ca38995f395ac77bec74eadaf9b96db62e96ae75ae60448d460edf3,com.amazon.pm,NOT_OBSERVED,0,false,false,OK
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-provisioning/com.amazon.kindle.otter.oobe.forced.ota__0_com.amazon.kindle.otter.oobe.forced.ota.apk,63cc2b0fd1543f688851b1f5621f6636201e3d81398644eaea3d794cda57360b,com.amazon.kindle.otter.oobe.forced.ota,NOT_OBSERVED,0,false,false,OK
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-provisioning/com.amazon.kindle.otter.oobe__0_com.amazon.kindle.otter.oobe.apk,8a75076e9cec473846eddc48d6ff0730358f4152d13a4152f568040b52fa646a,com.amazon.kindle.otter.oobe,NOT_OBSERVED,0,false,true,OK
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-settings/com.android.settings__0_TabletSettings.apk,034e39c02f80feba3974e76079fdab6af03ca67ad53fde0b46b07d493ad8ec86,com.android.settings,android.uid.system,1,false,false,OK
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-settings/com.android.settings__0_TabletSettings.apk,034e39c02f80feba3974e76079fdab6af03ca67ad53fde0b46b07d493ad8ec86,com.android.settings,android.uid.system,1,false,false,PROTECTED_BROADCAST:com.amazon.settings.AUTO_TIME_ZONE_ENABLED
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-settings-provider/com.android.providers.settings__0_SettingsProvider.apk,bc97aa63af6ec1f036f5ceff8df7deb3f6af0aaf7d205cb0ea0744b6a902f2ed,com.android.providers.settings,android.uid.system,0,false,false,OK
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-systemui/com.android.systemui__0_TabletSystemUI.apk,9c75f1657c9e52b9f66287c1ff92a2dfc50a135d86de149cdb4ae2bb127cc4ee,com.android.systemui,android.uid.systemui,2,false,false,OK
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-systemui/com.android.systemui__0_TabletSystemUI.apk,9c75f1657c9e52b9f66287c1ff92a2dfc50a135d86de149cdb4ae2bb127cc4ee,com.android.systemui,android.uid.systemui,2,false,false,PROTECTED_BROADCAST:com.android.settingslib.action.REGISTER_SLICE_RECEIVER
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase3b-systemui/com.android.systemui__0_TabletSystemUI.apk,9c75f1657c9e52b9f66287c1ff92a2dfc50a135d86de149cdb4ae2bb127cc4ee,com.android.systemui,android.uid.systemui,2,false,false,PROTECTED_BROADCAST:com.android.settingslib.action.UNREGISTER_SLICE_RECEIVER
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,true,true,OK
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.slider.event
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.paddleup.switch.action
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.paddledown.switch.action
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.tv.action.HOME_LONGPRESSED
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.tv.action.CHILD_HOME_LONGPRESSED
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:amazon.intent.action.DTC
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,true,true,PROTECTED_BROADCAST:amazon.intent.action.BOOT_AFTER_SYSTEM_OTA
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.android.service.ota.PingPongOTASystemService.action.OTA_INSTALL_SUCCESS
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/phase6ac/android-amazon-perm-device-20260805-01/android.amazon.perm.apk,5b72bdfcfb91b28d2c751e548f60d406de5c3cbb235e47e232014abdebcdc058,android.amazon.perm,android.uid.system,158,false,true,PROTECTED_BROADCAST:com.amazon.android.service.ota.PingPongOTASystemService.action.OTA_INSTALL_FAILURE
