evidence_id,stage,owner,method_or_artifact,source,location,operation,input_or_condition,output_effect,caller_or_trigger,shell_boundary,confidence,status
6AI-DL-002,consumer_gate,Amazon system-server callback,"ControlProtectedPackagesCallback.shouldProtectPackage(int,String,Context)",decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,lines 97034-97049; smali 0x06a61a-0x06a640,isSystemApp -> shouldDisableAmazonApp -> contains(package) -> UID comparison,system/updated-system application AND deny-list membership AND caller UID == 2000,returns true to the vendor callback dispatcher; the PackageManager protection path can reject the mutation,VendorProtectedPackagesCallback.callShouldProtectPackage,system-server code; no shell input to this method was found,Confirmed,static predicate; live literal membership pending
6AI-DL-003,callback_dispatch,AOSP-shaped Fire OS framework,"VendorProtectedPackagesCallback.callShouldProtectPackage(callbacks,uid,package,context)",decompiled/baksmali/vdexExtractor/services/disassembly.log,lines 539225-539239; smali 0x302b34-0x302b52,iterate callback array; invoke shouldProtectPackage; OR each boolean result,any registered vendor callback may return true,propagates a vendor protection decision to the caller,PackageManagerService / ActivityManagerService callers in saved services VDEX,not a shell command; callback array is framework-owned,Confirmed,framework callback fan-in
6AI-DL-004,callback_registration,Amazon fosinit,ControlProtectedPackagesCallback registration,artifacts/amazon-services/amazonpackagemanager_fosinit.xml,XML line 22,register Amazon callback as a SYSTEMSERVER VendorProtectedPackagesCallback,callback implementation is declared with classLoader=SYSTEMSERVER,makes the Amazon callback discoverable by VendorProtectedPackagesCallback.findCallbacks,system-server startup callback discovery,not user-writable; no shell registration route,Confirmed,registration provenance
6AI-DL-005,helper_initialization,AmazonPackageManagerService,AmazonPackageManagerService.onBootPhase(int),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,onBootPhase line 96087; helper construction line 96103,construct DenyListArcusHelper at the package-manager vendor service boot phase,saved code constructs the helper at boot phase 500; this is distinct from the phase-550 OTA broadcast branch,creates the persistent deny-list reader/producer and schedules initialization,AmazonPackageManagerService.onBootPhase,system-server service lifecycle; no shell trigger identified,Confirmed,startup path
6AI-DL-006,persistent_store,DenyListArcusHelper,DenyListArcusHelper(Context),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,constructor line 97161; smali 0x06a9ce-0x06aa68,"createDeviceProtectedStorageContext -> Environment.getDataSystemDirectory -> SharedPreferences(File,0); post Runnable",file basename PackageManagerDenyList; device-protected storage; handler thread initialized,establishes the backing store before seed or Arcus refresh,constructor from AmazonPackageManagerService.onBootPhase,"live file metadata is visible to shell, content is not",Confirmed,persistent-store shape
6AI-DL-007,consumer_read,ControlProtectedPackagesCallback,getSharedPrefPackages(Context),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,method line 96969; smali 0x06a648-0x06a69a,open device-protected PackageManagerDenyList and getStringSet(DenyListKeyPackages),"returns the stored set, or null/empty fallback when unavailable",feeds shouldDisableAmazonApp.contains(packageName),ControlProtectedPackagesCallback.shouldDisableAmazonApp,shell cannot read the contents of the backing file in the saved capture,Confirmed,read path
6AI-DL-008,initial_seed,DenyListArcusHelper,extractListFromResorces(),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,method line 97231; smali 0x06aa86-0x06aaca,"if SharedPreferences does not contain DenyListKeyPackages, parse processJSON and commit a HashSet",seed is conditional on key absence; existing persisted set is not replaced by this branch,creates initial deny-list state from a system raw resource,DenyListArcusHelper constructor,resource is system-owned; no shell writer identified,Confirmed,resource-backed seed
6AI-DL-009,initial_seed,DenyListArcusHelper,processJSON(),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,method line 97326; smali 0x06a7f0-0x06a95e,Resources.getSystem().openRawResource(0x7e05000a); parse JSON; read packages_deny_list array,resource ID and JSON key are observed; human-readable resource name/content is not in current readable scope,returns package-name strings to extractListFromResorces,extractListFromResorces,no shell path to replace the system raw resource,Confirmed,resource identity/content unresolved
6AI-DL-010,refresh_selector,DenyListArcusHelper,initialize(),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,method line 97300; property line 97304; smali 0x06ab96-0x06abf2,"read SystemProperties.get(persist.sys.denylist_arcusid, resource-default); register Arcus and syncId when non-empty",property selects the Arcus configuration identifier; empty value returns without registering the refresh receiver,selects the dynamic refresh channel; it does not itself write the package set,constructor-posted DenyListArcusHelper$1.run -> access$000 -> initialize,property mutation deliberately not attempted; shell writability not established,Confirmed,runtime refresh selector
6AI-DL-011,refresh_registration,DenyListArcusHelper,registerArcusBroadcastReceivers(String),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,method line 97427; smali 0x06abf8-0x06ac66,construct amazon.arcus.sync.<id> and amazon.arcus.sync.unmod.<id>; register an in-process BroadcastReceiver,actions are data-derived from the Arcus ID; receiver is registered by a system-server-owned Context,connects Arcus configuration updates to the refresh worker,initialize,no broadcast was sent; action replay is authorization-sensitive and excluded,Confirmed,dynamic trigger registration
