sequence,command,source_entry,target,impact_class,precondition_or_gate,execution_status,evidence
1,block_image_update,updater-script:6,/dev/block/platform/bootdevice/by-name/system,system_or_vendor_block_image_write,device/date guards plus recovery/update-binary execution context,NOT_EXECUTED,saved updater-script and Phase 6AH static analysis
2,block_image_update,updater-script:10,/dev/block/platform/bootdevice/by-name/vendor,system_or_vendor_block_image_write,device/date guards plus recovery/update-binary execution context,NOT_EXECUTED,saved updater-script and Phase 6AH static analysis
3,package_extract_file,updater-script:13:boot.img,/dev/block/platform/bootdevice/by-name/boot,boot_or_firmware_partition_write,device/date guards plus recovery/update-binary execution context,NOT_EXECUTED,saved updater-script and Phase 6AH static analysis
4,package_extract_file,updater-script:15:images/preloader.img,/dev/block/platform/bootdevice/by-name/preloader,boot_or_firmware_partition_write,device/date guards plus recovery/update-binary execution context,NOT_EXECUTED,saved updater-script and Phase 6AH static analysis
5,package_extract_file,updater-script:16:images/lk.img,/dev/block/platform/bootdevice/by-name/lk,boot_or_firmware_partition_write,device/date guards plus recovery/update-binary execution context,NOT_EXECUTED,saved updater-script and Phase 6AH static analysis
6,package_extract_file,updater-script:17:images/tee.img,/dev/block/platform/bootdevice/by-name/tee1,boot_or_firmware_partition_write,device/date guards plus recovery/update-binary execution context,NOT_EXECUTED,saved updater-script and Phase 6AH static analysis
7,package_extract_file,updater-script:18:images/tee.img,/dev/block/platform/bootdevice/by-name/tee2,boot_or_firmware_partition_write,device/date guards plus recovery/update-binary execution context,NOT_EXECUTED,saved updater-script and Phase 6AH static analysis
8,package_extract_file,updater-script:19:images/spmfw.img,/dev/block/platform/bootdevice/by-name/spmfw,boot_or_firmware_partition_write,device/date guards plus recovery/update-binary execution context,NOT_EXECUTED,saved updater-script and Phase 6AH static analysis
9,package_extract_file,updater-script:20:images/sspm.img,/dev/block/platform/bootdevice/by-name/sspm_1,boot_or_firmware_partition_write,device/date guards plus recovery/update-binary execution context,NOT_EXECUTED,saved updater-script and Phase 6AH static analysis
10,package_extract_file,updater-script:21:images/cam_vpu1.img,/dev/block/platform/bootdevice/by-name/cam_vpu1,boot_or_firmware_partition_write,device/date guards plus recovery/update-binary execution context,NOT_EXECUTED,saved updater-script and Phase 6AH static analysis
11,package_extract_file,updater-script:22:images/cam_vpu2.img,/dev/block/platform/bootdevice/by-name/cam_vpu2,boot_or_firmware_partition_write,device/date guards plus recovery/update-binary execution context,NOT_EXECUTED,saved updater-script and Phase 6AH static analysis
12,package_extract_file,updater-script:23:images/cam_vpu3.img,/dev/block/platform/bootdevice/by-name/cam_vpu3,boot_or_firmware_partition_write,device/date guards plus recovery/update-binary execution context,NOT_EXECUTED,saved updater-script and Phase 6AH static analysis
13,package_extract_file,updater-script:24:META-INF/com/amazon/android/target.blocklist,/cache/recovery/last_blocklist,recovery_metadata_write,device/date guards plus recovery/update-binary execution context,NOT_EXECUTED,saved updater-script and Phase 6AH static analysis
