source,line_start,line_end,kind,class_header,transaction,has_permission_check,permission_result_consumed_before_identity_clear,has_clear_calling_identity,has_start_process_locked,header
decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,40453,40534,server_method,class #374: AmazonActivityManagerService.BinderService ('Lcom/amazon/android/server/am/AmazonActivityManagerService$BinderService;'),,True,False,True,True,virtual_method #4985: preWarmApplicationForUser (Ljava/lang/String;II)I
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,55411,55413,interface_declaration,class #603: IAmazonActivityManager ('Lcom/amazon/android/server/am/IAmazonActivityManager;'),,False,,False,False,virtual_method #6666: preWarmApplicationForUser (Ljava/lang/String;II)I
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,362649,362651,other_method_scope,class #2108: AmazonActivityManager ('Lamazon/app/AmazonActivityManager;'),,False,,False,False,virtual_method #66: preWarmApplicationForUser (Ljava/lang/String;II)I
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,394721,394751,binder_proxy,class #2259: IAmazonActivityManager.Stub.Proxy ('Lcom/amazon/android/server/am/IAmazonActivityManager$Stub$Proxy;'),1,False,,False,False,virtual_method #6633: preWarmApplicationForUser (Ljava/lang/String;II)I
decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,553433,553446,framework_wrapper,class #2917: AmazonActivityManagerImpl ('Lamazon/app/AmazonActivityManagerImpl;'),,False,,False,False,virtual_method #91: preWarmApplicationForUser (Ljava/lang/String;II)I
decompiled/baksmali/ota-PS7331/vdex-extractor/disassembly.log,3642543,3642624,server_method,class #374: AmazonActivityManagerService.BinderService ('Lcom/amazon/android/server/am/AmazonActivityManagerService$BinderService;'),,True,False,True,True,virtual_method #4997: preWarmApplicationForUser (Ljava/lang/String;II)I
decompiled/baksmali/ota-PS7331/vdex-extractor/disassembly.log,4124992,4124994,interface_declaration,class #608: IAmazonActivityManager ('Lcom/amazon/android/server/am/IAmazonActivityManager;'),,False,,False,False,virtual_method #6724: preWarmApplicationForUser (Ljava/lang/String;II)I
decompiled/baksmali/ota-PS7331/vdex-extractor/disassembly.log,4432082,4432084,other_method_scope,class #2113: AmazonActivityManager ('Lamazon/app/AmazonActivityManager;'),,False,,False,False,virtual_method #67: preWarmApplicationForUser (Ljava/lang/String;II)I
decompiled/baksmali/ota-PS7331/vdex-extractor/disassembly.log,4464666,4464696,binder_proxy,class #2265: IAmazonActivityManager.Stub.Proxy ('Lcom/amazon/android/server/am/IAmazonActivityManager$Stub$Proxy;'),1,False,,False,False,virtual_method #6687: preWarmApplicationForUser (Ljava/lang/String;II)I
decompiled/baksmali/ota-PS7331/vdex-extractor/disassembly.log,4623449,4623462,framework_wrapper,class #2923: AmazonActivityManagerImpl ('Lamazon/app/AmazonActivityManagerImpl;'),,False,,False,False,virtual_method #94: preWarmApplicationForUser (Ljava/lang/String;II)I
