key,embedded_value,defconfig_value,enabled_in_embedded_config,enabled_in_defconfig
CONFIG_ARM64,True,ABSENT,True,False
CONFIG_MMU,True,ABSENT,True,False
CONFIG_SMP,True,ABSENT,True,False
CONFIG_PREEMPT,True,True,True,True
CONFIG_FUTEX,True,ABSENT,True,False
CONFIG_RT_MUTEXES,True,ABSENT,True,False
CONFIG_SLUB,True,ABSENT,True,False
CONFIG_ION,True,True,True,True
CONFIG_MTK_ION,True,True,True,True
CONFIG_RANDOMIZE_BASE,True,True,True,True
CONFIG_PANIC_ON_OOPS,True,True,True,True
CONFIG_KASAN,False,ABSENT,False,False
CONFIG_DEBUG_INFO,False,ABSENT,False,False
CONFIG_USERFAULTFD,False,ABSENT,False,False
CONFIG_FTRACE,True,ABSENT,True,False
CONFIG_FUNCTION_TRACER,False,ABSENT,False,False
