source,marker,count,scope,flags
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/root/init,SECCOMP,4,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/root/init,ZYGOTE,1,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/root/init,PRCTL,3,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/root/init.zygote32.rc,ZYGOTE,3,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/root/init.zygote32.rc,APP_PROCESS,1,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/root/init.zygote64_32.rc,ZYGOTE,6,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/root/init.zygote64_32.rc,APP_PROCESS,2,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/bin/app_process64,ZYGOTE,3,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/bin/app_process64,APP_PROCESS,3,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/bin/linker64,SECCOMP,1,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/bin/linker64,NO_NEW_PRIVS,1,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/build.prop,ZYGOTE,1,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/init/bootstat.rc,ZYGOTE,2,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/init/netd.rc,ZYGOTE,1,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/init/servicemanager.rc,ZYGOTE,1,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/init/surfaceflinger.rc,ZYGOTE,1,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/seccomp_policy/crash_dump.arm.policy,FUTEX_SYSCALL_POLICY,1,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/seccomp_policy/crash_dump.arm.policy,PRCTL,1,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/seccomp_policy/crash_dump.arm64.policy,FUTEX_SYSCALL_POLICY,1,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/seccomp_policy/crash_dump.arm64.policy,PRCTL,1,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/seccomp_policy/mediacodec.policy,FUTEX_SYSCALL_POLICY,1,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/seccomp_policy/mediacodec.policy,PRCTL,1,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/seccomp_policy/mediaextractor.policy,FUTEX_SYSCALL_POLICY,1,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/seccomp_policy/mediaextractor.policy,PRCTL,1,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/selinux/mapping/26.0.cil,ZYGOTE,1,binary-or-archive-member,
artifacts/phase6c/phase6c-image-policy-extract-20260804-06/system/etc/selinux/mapping/27.0.cil,ZYGOTE,1,binary-or-archive-member,
