marker,adrp_address,add_address,register,target_vma
/vendor/etc/selinux/rootable_plat_pub_versioned.cil,0x41ad80,0x41ad8c,x1,0x588607
/vendor/etc/selinux/rootable_vendor_sepolicy.cil,0x41adac,0x41adb4,x9,0x58863b
/odm/etc/selinux/rootable_odm_sepolicy.cil,0x41ade0,0x41ade8,x8,0x58866c
rootable_fireos_sepolicy.cil,0x41ae14,0x41ae1c,x9,0x588697
/system/etc/selinux/rootable_plat_sepolicy.cil,0x41ae50,0x41ae54,x0,0x5885d8
/vendor/etc/selinux/plat_pub_versioned.cil,0x41aea8,0x41aeb0,x8,0x5886b4
/vendor/etc/selinux/vendor_sepolicy.cil,0x41aedc,0x41aee4,x8,0x5886df
/odm/etc/selinux/odm_sepolicy.cil,0x41af18,0x41af20,x9,0x588707
fireos_sepolicy.cil,0x41af40,0x41af44,x8,0x588729
/system/etc/selinux/plat_and_mapping_sepolicy.cil.sha256,0x41bf00,0x41bf08,x0,0x5888a0
