source,marker,count,scope,flags
adb/phase5/PHASE5CT-SECCOMP-20260804-01/commands.txt,SECCOMP,2,binary-or-archive-member,
adb/phase5/PHASE5CT-SECCOMP-20260804-01/system-crash_dump.arm.policy,FUTEX_SYSCALL_POLICY,1,binary-or-archive-member,
adb/phase5/PHASE5CT-SECCOMP-20260804-01/system-crash_dump.arm.policy,PRCTL,1,binary-or-archive-member,
adb/phase5/PHASE5CT-SECCOMP-20260804-01/system-crash_dump.arm64.policy,FUTEX_SYSCALL_POLICY,1,binary-or-archive-member,
adb/phase5/PHASE5CT-SECCOMP-20260804-01/system-crash_dump.arm64.policy,PRCTL,1,binary-or-archive-member,
adb/phase5/PHASE5CT-SECCOMP-20260804-01/system-mediacodec.policy,FUTEX_SYSCALL_POLICY,1,binary-or-archive-member,
adb/phase5/PHASE5CT-SECCOMP-20260804-01/system-mediacodec.policy,PRCTL,1,binary-or-archive-member,
adb/phase5/PHASE5CT-SECCOMP-20260804-01/system-mediaextractor.policy,FUTEX_SYSCALL_POLICY,1,binary-or-archive-member,
adb/phase5/PHASE5CT-SECCOMP-20260804-01/system-mediaextractor.policy,PRCTL,1,binary-or-archive-member,
adb/phase5/PHASE5CT-SECCOMP-20260804-01/vendor-configstore@1.1.policy,FUTEX_SYSCALL_POLICY,1,binary-or-archive-member,
adb/phase5/PHASE5CT-SECCOMP-20260804-01/vendor-configstore@1.1.policy,PRCTL,4,binary-or-archive-member,
artifacts/phase5/phase5cq-fire-native-20260804-01/files/app_process64,ZYGOTE,3,binary-or-archive-member,
artifacts/phase5/phase5cq-fire-native-20260804-01/files/app_process64,APP_PROCESS,3,binary-or-archive-member,
artifacts/phase5/phase5cq-fire-native-20260804-01/files/libc,PRCTL,2,binary-or-archive-member,
artifacts/phase5/phase5cq-fire-native-20260804-01/files/linker64,SECCOMP,1,binary-or-archive-member,
artifacts/phase5/phase5cq-fire-native-20260804-01/files/linker64,NO_NEW_PRIVS,1,binary-or-archive-member,
artifacts/phase5/phase5cr-fire-native-20260804-02/files/app_process64,ZYGOTE,3,binary-or-archive-member,
artifacts/phase5/phase5cr-fire-native-20260804-02/files/app_process64,APP_PROCESS,3,binary-or-archive-member,
artifacts/phase5/phase5cr-fire-native-20260804-02/files/libc,PRCTL,2,binary-or-archive-member,
artifacts/phase5/phase5cr-fire-native-20260804-02/files/linker64,SECCOMP,1,binary-or-archive-member,
artifacts/phase5/phase5cr-fire-native-20260804-02/files/linker64,NO_NEW_PRIVS,1,binary-or-archive-member,
artifacts/phase5/phase5cs-fire-amazon-native-20260804-01/files/libandroid_runtime.so,SECCOMP,3,binary-or-archive-member,
artifacts/phase5/phase5cs-fire-amazon-native-20260804-01/files/libandroid_runtime.so,ZYGOTE,9,binary-or-archive-member,
artifacts/phase5/phase5cs-fire-amazon-native-20260804-01/files/libandroid_runtime.so,PRCTL,4,binary-or-archive-member,
artifacts/phase5/phase5cs-fire-amazon-native-20260804-01/files/libart.so,ZYGOTE,22,binary-or-archive-member,
artifacts/phase5/phase5cs-fire-amazon-native-20260804-01/files/libart.so,PRCTL,4,binary-or-archive-member,
artifacts/phase5/phase5cs-fire-amazon-native-20260804-01/files/libcutils.so,PRCTL,2,binary-or-archive-member,
artifacts/phase5/phase5cs-fire-amazon-native-20260804-01/files/libutils.so,PRCTL,1,binary-or-archive-member,
firmware/extracted/PS7331/selected/system/framework/framework-res.apk!res/layout/permissions_account_and_authtokentype.xml,PATH_POLICY_NAME,1,archive-member-name,permissions
firmware/extracted/PS7331/selected/system/framework/framework-res.apk!res/layout/permissions_package_list_item.xml,PATH_POLICY_NAME,1,archive-member-name,permissions
firmware/extracted/PS7331/selected/system/priv-app/TabletSettings/TabletSettings.apk!res/xml/app_ops_permissions_details.xml,PATH_POLICY_NAME,1,archive-member-name,permissions
firmware/extracted/PS7331/selected/system/priv-app/TabletSettings/TabletSettings.apk!res/xml/draw_overlay_permissions_details.xml,PATH_POLICY_NAME,1,archive-member-name,permissions
firmware/extracted/PS7331/selected/system/priv-app/TabletSettings/TabletSettings.apk!res/xml/picture_in_picture_permissions_details.xml,PATH_POLICY_NAME,1,archive-member-name,permissions
firmware/extracted/PS7331/selected/system/priv-app/TabletSettings/TabletSettings.apk!res/xml/write_system_settings_permissions_details.xml,PATH_POLICY_NAME,1,archive-member-name,permissions
firmware/extracted/PS7331/selected/system/priv-app/TabletSystemUI/TabletSystemUI.apk!classes.dex,ZYGOTE,4,binary-or-archive-member,
firmware/extracted/PS7331/selected/system/priv-app/TabletSystemUI/TabletSystemUI.apk!classes.dex,APP_PROCESS,1,binary-or-archive-member,
firmware/extracted/PS7331/system/build.prop,ZYGOTE,1,binary-or-archive-member,
