id,start,end,instruction_count,terminator,calls
B41ad00,0x41ad00,0x41ad38,15,b.le	0x41b2a8 <.text+0x1b0a8>,0x4aa320;0x4ab980
B41ad3c,0x41ad3c,0x41ad50,6,"cbz	w0, 0x41ae88 <.text+0x1ac88>",0x52d690
B41ad54,0x41ad54,0x41ad68,6,b.eq	0x41ae88 <.text+0x1ac88>,0x52d690
B41ad6c,0x41ad6c,0x41ad70,2,"cbz	w0, 0x41ae88 <.text+0x1ac88>",0x461eb8
B41ad74,0x41ad74,0x41ae68,62,"tbnz	w8, #0x0, 0x41b05c <.text+0x1ae5c>",0x4e0798;0x52c670;0x4e0798;0x4e0798;0x4e0798;0x41be00
B41ae6c,0x41ae6c,0x41ae70,2,"tbnz	w8, #0x0, 0x41b06c <.text+0x1ae6c>",
B41ae74,0x41ae74,0x41ae78,2,"tbnz	w8, #0x0, 0x41b07c <.text+0x1ae7c>",
B41ae7c,0x41ae7c,0x41ae80,2,"tbnz	w8, #0x0, 0x41b08c <.text+0x1ae8c>",
B41ae84,0x41ae84,0x41ae84,1,b	0x41b094 <.text+0x1ae94>,
B41ae88,0x41ae88,0x41ae9c,6,b.eq	0x41afac <.text+0x1adac>,0x52d690
B41aea0,0x41aea0,0x41af8c,60,"tbnz	w8, #0x0, 0x41b024 <.text+0x1ae24>",0x4e0798;0x4e0798;0x4e0798;0x41be00
B41af90,0x41af90,0x41af94,2,"tbnz	w8, #0x0, 0x41b034 <.text+0x1ae34>",
B41af98,0x41af98,0x41af9c,2,"tbnz	w8, #0x0, 0x41b044 <.text+0x1ae44>",
B41afa0,0x41afa0,0x41afa4,2,"tbnz	w8, #0x0, 0x41b054 <.text+0x1ae54>",
B41afa8,0x41afa8,0x41afa8,1,b	0x41b094 <.text+0x1ae94>,
B41afac,0x41afac,0x41afb4,3,b.le	0x41b45c <.text+0x1b25c>,0x4ab980
B41afb8,0x41afb8,0x41afbc,2,"tbz	w0, #0x1f, 0x41b0a4 <.text+0x1aea4>",0x4b5b28
B41afc0,0x41afc0,0x41afc8,3,b.gt	0x41b098 <.text+0x1ae98>,0x4ab980
B41afcc,0x41afcc,0x41b020,22,b	0x41b098 <.text+0x1ae98>,0x52d580;0x4ab998;0x4ab990;0x407630;0x4abaa0
B41b024,0x41b024,0x41b030,4,"tbz	w8, #0x0, 0x41af98 <.text+0x1ad98>",0x4e0878
B41b034,0x41b034,0x41b040,4,"tbz	w8, #0x0, 0x41afa0 <.text+0x1ada0>",0x4e0878
B41b044,0x41b044,0x41b050,4,"tbz	w8, #0x0, 0x41b094 <.text+0x1ae94>",0x4e0878
B41b054,0x41b054,0x41b058,2,b	0x41b090 <.text+0x1ae90>,
B41b05c,0x41b05c,0x41b068,4,"tbz	w8, #0x0, 0x41ae74 <.text+0x1ac74>",0x4e0878
B41b06c,0x41b06c,0x41b078,4,"tbz	w8, #0x0, 0x41ae7c <.text+0x1ac7c>",0x4e0878
B41b07c,0x41b07c,0x41b088,4,"tbz	w8, #0x0, 0x41b094 <.text+0x1ae94>",0x4e0878
B41b08c,0x41b08c,0x41b08c,1,"ldur	x0, [x29, #-0x70]",
B41b090,0x41b090,0x41b090,1,bl	0x4e0878 <.text+0xe0678>,0x4e0878
B41b094,0x41b094,0x41b094,1,"tbnz	w20, #0x0, 0x41b0a4 <.text+0x1aea4>",
B41b098,0x41b098,0x41b0a0,3,b.le	0x41b388 <.text+0x1b188>,0x4ab980
B41b0a4,0x41b0a4,0x41b0b0,4,"cbz	w0, 0x41b100 <.text+0x1af00>",0x4b1550;0x461f28
B41b0b4,0x41b0b4,0x41b0ec,15,b.eq	0x41b110 <.text+0x1af10>,0x43b5d0
B41b0f0,0x41b0f0,0x41b0f0,1,"cbz	x0, 0x41b11c <.text+0x1af1c>",
B41b0f4,0x41b0f4,0x41b0fc,3,b	0x41b118 <.text+0x1af18>,
B41b100,0x41b100,0x41b104,2,b.eq	0x41b150 <.text+0x1af50>,
B41b108,0x41b108,0x41b10c,2,b	0x41b138 <.text+0x1af38>,
B41b110,0x41b110,0x41b114,2,"ldr	x8, [x8, #0x20]",
B41b118,0x41b118,0x41b118,1,blr	x8,
B41b11c,0x41b11c,0x41b134,7,b.eq	0x41b150 <.text+0x1af50>,
