kind,tag,source_file,anchor,address,marker,start_line,end_line,classification,note
aosp_anchor,android-9.0.0_r1,init/selinux.cpp,StatusFromCmdline,,,78,89,AOSP_STANDARD,function anchor found in fetched official AOSP source
aosp_anchor,android-9.0.0_r1,init/selinux.cpp,IsEnforcing,,,91,96,AOSP_STANDARD,function anchor found in fetched official AOSP source
aosp_anchor,android-9.0.0_r1,init/selinux.cpp,FindPrecompiledSplitPolicy,,,201,236,AOSP_STANDARD,function anchor found in fetched official AOSP source
aosp_anchor,android-9.0.0_r1,init/selinux.cpp,LoadSplitPolicy,,,256,367,AOSP_STANDARD,function anchor found in fetched official AOSP source
aosp_anchor,android-9.0.0_r1,init/selinux.cpp,LoadMonolithicPolicy,,,369,376,AOSP_STANDARD,function anchor found in fetched official AOSP source
aosp_anchor,android-9.0.0_r1,init/selinux.cpp,LoadPolicy,,,378,380,AOSP_STANDARD,function anchor found in fetched official AOSP source
aosp_anchor,android-9.0.0_r1,init/selinux.cpp,SelinuxInitialize,,,384,406,AOSP_STANDARD,function anchor found in fetched official AOSP source
aosp_anchor,android-9.0.0_r61,init/selinux.cpp,StatusFromCmdline,,,78,89,AOSP_STANDARD,function anchor found in fetched official AOSP source
aosp_anchor,android-9.0.0_r61,init/selinux.cpp,IsEnforcing,,,91,96,AOSP_STANDARD,function anchor found in fetched official AOSP source
aosp_anchor,android-9.0.0_r61,init/selinux.cpp,FindPrecompiledSplitPolicy,,,201,236,AOSP_STANDARD,function anchor found in fetched official AOSP source
aosp_anchor,android-9.0.0_r61,init/selinux.cpp,LoadSplitPolicy,,,256,367,AOSP_STANDARD,function anchor found in fetched official AOSP source
aosp_anchor,android-9.0.0_r61,init/selinux.cpp,LoadMonolithicPolicy,,,369,376,AOSP_STANDARD,function anchor found in fetched official AOSP source
aosp_anchor,android-9.0.0_r61,init/selinux.cpp,LoadPolicy,,,378,380,AOSP_STANDARD,function anchor found in fetched official AOSP source
aosp_anchor,android-9.0.0_r61,init/selinux.cpp,SelinuxInitialize,,,384,406,AOSP_STANDARD,function anchor found in fetched official AOSP source
binary_candidate,PS7331,stripped /init,SelinuxInitialize,0x4041fc,,,,UNKNOWN,static_call_site_only: top-level caller candidate; exact caller identity unresolved
binary_candidate,PS7331,stripped /init,LoadSplitPolicy,0x41ad00,,,,UNKNOWN,rootable_path_builder_candidate: split-policy path/helper candidate; exact function mapping unresolved
binary_candidate,PS7331,stripped /init,LoadSplitPolicy,0x41af80,,,,UNKNOWN,standard_path_builder_candidate: split-policy path/helper candidate; exact function mapping unresolved
binary_candidate,PS7331,stripped /init,StatusFromCmdline,0x41bd60,,,,UNKNOWN,boot_property_parser_candidate: property-parser candidate; caller and return semantics unresolved
binary_candidate,PS7331,stripped /init,LoadSplitPolicy,0x41be48,,,,UNKNOWN,unresolved_branch: split-policy path/helper candidate; exact function mapping unresolved
binary_literal_reference,PS7331,stripped /init,LoadSplitPolicy,0x41ad8c,/vendor/etc/selinux/rootable_plat_pub_versioned.cil,,,UNKNOWN,rootable path literal reference; not proof of active selection
binary_literal_reference,PS7331,stripped /init,LoadSplitPolicy,0x41adb4,/vendor/etc/selinux/rootable_vendor_sepolicy.cil,,,UNKNOWN,rootable path literal reference; not proof of active selection
binary_literal_reference,PS7331,stripped /init,LoadSplitPolicy,0x41ade8,/odm/etc/selinux/rootable_odm_sepolicy.cil,,,UNKNOWN,rootable path literal reference; not proof of active selection
binary_literal_reference,PS7331,stripped /init,LoadSplitPolicy,0x41ae1c,rootable_fireos_sepolicy.cil,,,UNKNOWN,rootable path literal reference; not proof of active selection
binary_literal_reference,PS7331,stripped /init,LoadSplitPolicy,0x41ae54,/system/etc/selinux/rootable_plat_sepolicy.cil,,,UNKNOWN,rootable path literal reference; not proof of active selection
binary_literal_reference,PS7331,stripped /init,LoadSplitPolicy,0x41aeb0,/vendor/etc/selinux/plat_pub_versioned.cil,,,UNKNOWN,standard policy path literal reference
binary_literal_reference,PS7331,stripped /init,LoadSplitPolicy,0x41aee4,/vendor/etc/selinux/vendor_sepolicy.cil,,,UNKNOWN,standard policy path literal reference
binary_literal_reference,PS7331,stripped /init,LoadSplitPolicy,0x41af20,/odm/etc/selinux/odm_sepolicy.cil,,,UNKNOWN,standard policy path literal reference
binary_literal_reference,PS7331,stripped /init,LoadSplitPolicy,0x41af44,fireos_sepolicy.cil,,,UNKNOWN,standard policy path literal reference
binary_literal_reference,PS7331,stripped /init,FindPrecompiledSplitPolicy,0x41bf08,/system/etc/selinux/plat_and_mapping_sepolicy.cil.sha256,,,UNKNOWN,hash-marker reference candidate
