marker,class,target_vma,adrp_address,add_address,register,nearby_bl_targets
ro.bootmode,boot_property,0x5864c4,0x4006fc,0x400704,x10,0x4e0798
ro.debuggable,security_property,0x587379,0x4007fc,0x400800,x8,
proc/%d/cmdline,cmdline_source,0x5860b7,0x402e0c,0x402e10,x0,"0x407908,0x4aa570,0x4ac338"
/proc/cmdline,cmdline_source,0x58629d,0x404034,0x40403c,x0,"0x52d6b0,0x530aa8,0x539360,0x539510"
selinux,selinux_policy_or_mode,0x5862b6,0x404078,0x404080,x0,"0x52d6b0,0x530ac8,0x539360,0x539510"
ro.boot.,boot_property,0x58642a,0x404ab8,0x404ac0,x8,"0x4e0878,0x52c670,0x52cdd0,0x538768"
ro.boot.verifiedbootstate,boot_property,0x586775,0x404cf4,0x404cfc,x9,"0x4acbc0,0x4acdc0,0x4e0798,0x4e0878"
ro.boot.flash.locked,boot_property,0x58678f,0x404d70,0x404d78,x11,"0x4acbc0,0x4e0878,0x4ffc88"
ro.boot.,boot_property,0x5867cf,0x404f98,0x404fa0,x8,"0x402508,0x421c98,0x42ed60,0x43ee30,0x4acbc0,0x4e0878,0x52dcd0"
ro.bootmode,boot_property,0x5864c4,0x4057e8,0x4057f0,x9,"0x43f118,0x4acbc0,0x4e0878"
ro.boot.,boot_property,0x5868a2,0x406290,0x406294,x8,"0x40bde8,0x4acbc0,0x4e0878,0x538e38"
androidboot.seccomp,boot_property,0x58654b,0x406db8,0x406dbc,x3,"0x4ad5c8,0x4ffc88"
androidboot.,boot_property,0x5865c3,0x407044,0x407048,x1,"0x4acae8,0x4e0878,0x4feba8,0x4ff790,0x4ffc88,0x5007a0"
ro.boot.,boot_property,0x5865aa,0x40707c,0x407080,x2,"0x4acae8,0x4e0878,0x4feba8,0x4ff790,0x4ffc88"
/sbin/recovery,boot_or_recovery_control,0x586f4d,0x409e78,0x409e80,x0,"0x407630,0x4ab990,0x4ab998,0x4abaa0,0x52d690,0x538e38"
/sbin/recovery,boot_or_recovery_control,0x586f4d,0x40a108,0x40a110,x0,"0x407630,0x4ab980,0x4ab990,0x4ab998,0x4abaa0,0x52d580,0x52d690,0x538e38"
selinux,selinux_policy_or_mode,0x587120,0x40c834,0x40c838,x2,"0x4ab060,0x4e0798,0x5331f8,0x538e38"
selinux,selinux_policy_or_mode,0x5872f4,0x40f780,0x40f784,x3,"0x4ab980,0x4acae8,0x4ffc88,0x52cdd0"
ro.debuggable,security_property,0x587379,0x40f874,0x40f87c,x8,"0x410870,0x4acdc0,0x4e0798,0x4e0878,0x52c670"
ro.boot.,boot_property,0x5865d0,0x40f8dc,0x40f8e0,x3,"0x4ab980,0x4acdc0,0x4e0878,0x4fe9e8,0x4ffc88,0x52d580"
/system/etc/selinux/,policy_path_or_variant,0x58765f,0x40fc8c,0x40fc94,x19,"0x407630,0x4126d8,0x4ab990,0x4ab998,0x4abaa0,0x4e0798,0x52d690,0x538e38"
/vendor/etc/selinux/,policy_path_or_variant,0x58768a,0x40fd10,0x40fd18,x8,"0x4126d8,0x4e0798,0x4e0878"
/vendor/etc/selinux/,policy_path_or_variant,0x5876b7,0x40fd68,0x40fd70,x8,"0x4126d8,0x4e0798,0x4e0878"
/system/etc/selinux/,policy_path_or_variant,0x587793,0x40fed8,0x40fedc,x0,"0x4126d8,0x4e0878,0x52cdd0,0x52d690"
proc/%d/cmdline,cmdline_source,0x5860b7,0x410b84,0x410b88,x0,"0x414480,0x4aa570,0x4ac338,0x4e0878,0x4ffc88"
selinux,selinux_policy_or_mode,0x5872f4,0x410cf0,0x410cf4,x3,"0x4104c8,0x4ab980,0x4e0878,0x4ff070,0x4ffc88"
ro.debuggable,security_property,0x587379,0x4112bc,0x4112c4,x8,"0x411550,0x4acdc0,0x4e0878"
selinux,selinux_policy_or_mode,0x5872f4,0x411a68,0x411a70,x8,"0x4e0798,0x4ffc88,0x52cdd0"
/recovery,boot_or_recovery_control,0x587564,0x412394,0x41239c,x9,"0x45e2b0,0x45e8d8,0x4e0878,0x530e30,0x538e38"
/recovery,boot_or_recovery_control,0x58756e,0x41252c,0x412530,x1,"0x407630,0x4ab980,0x4ab990,0x4ab998,0x4abaa0,0x52d580"
/sbin/recovery,boot_or_recovery_control,0x586f4d,0x41ad3c,0x41ad40,x0,"0x461eb8,0x4aa320,0x4ab980,0x4e0798,0x52c670,0x52d690,0x538e38"
/system/etc/selinux/,policy_path_or_variant,0x59cec8,0x41ad54,0x41ad58,x0,"0x461eb8,0x4aa320,0x4ab980,0x4e0798,0x52c670,0x52d690,0x538e38"
/vendor/etc/selinux/,policy_path_or_variant,0x588607,0x41ad80,0x41ad8c,x1,"0x461eb8,0x4aa320,0x4ab980,0x4e0798,0x52c670,0x52d690"
/vendor/etc/selinux/,policy_path_or_variant,0x58863b,0x41adac,0x41adb4,x9,"0x461eb8,0x4e0798,0x52c670,0x52d690"
/odm/etc/selinux/,policy_path_or_variant,0x58866c,0x41ade0,0x41ade8,x8,"0x4e0798,0x52c670"
rootable_fireos_sepolicy.cil,policy_path_or_variant,0x588697,0x41ae14,0x41ae1c,x9,"0x41be00,0x4e0798"
/system/etc/selinux/,policy_path_or_variant,0x5885d8,0x41ae50,0x41ae54,x0,"0x41be00,0x4e0798,0x52d690"
/system/etc/selinux/,policy_path_or_variant,0x59cec8,0x41ae88,0x41ae8c,x0,"0x41be00,0x4e0798,0x52d690"
/vendor/etc/selinux/,policy_path_or_variant,0x5886b4,0x41aea8,0x41aeb0,x8,"0x41be00,0x4e0798,0x52d690"
/vendor/etc/selinux/,policy_path_or_variant,0x5886df,0x41aedc,0x41aee4,x8,"0x4e0798,0x52d690"
/odm/etc/selinux/,policy_path_or_variant,0x588707,0x41af18,0x41af20,x9,0x4e0798
/system/etc/selinux/,policy_path_or_variant,0x59cec8,0x41af50,0x41af54,x0,"0x41be00,0x4ab980,0x4e0798"
/system/etc/selinux/,policy_path_or_variant,0x59cec8,0x41b774,0x41b77c,x0,"0x407630,0x41b958,0x4ab990,0x4ab998,0x4abaa0,0x4feba8,0x4ffbb8,0x52d690,0x538e38"
/vendor/etc/selinux/,policy_path_or_variant,0x588b10,0x41b978,0x41b97c,x0,"0x407630,0x41d820,0x4ab980,0x4abaa0,0x52d580,0x538e38"
androidboot.selinux,boot_property,0x5885b9,0x41bd90,0x41bd94,x3,0x4ffc88
permissive,selinux_policy_or_mode,0x5885cd,0x41bdcc,0x41bdd0,x3,0x4ffc88
/odm/etc/selinux/,policy_path_or_variant,0x59cf17,0x41be4c,0x41be54,x0,"0x4ab980,0x52d580,0x52d690"
/vendor/etc/selinux/,policy_path_or_variant,0x59ceee,0x41be64,0x41be68,x0,"0x4ab980,0x4ab990,0x4ab998,0x52d580,0x52d690"
/odm/etc/selinux/,policy_path_or_variant,0x59cf17,0x41bee4,0x41bee8,x1,"0x406ea8,0x407630,0x41d820,0x4ab990,0x4ab998,0x4abaa0,0x4fee40,0x52d580"
/vendor/etc/selinux/,policy_path_or_variant,0x59ceee,0x41bef0,0x41bef4,x1,"0x406ea8,0x407630,0x41d820,0x4ab990,0x4ab998,0x4abaa0,0x4fee40"
/system/etc/selinux/,policy_path_or_variant,0x5888a0,0x41bf00,0x41bf08,x0,"0x406ea8,0x407630,0x41d820,0x4ab990,0x4ab998,0x4abaa0,0x4fee40"
/dev/sepolicy,policy_path_or_variant,0x5887b9,0x41c334,0x41c338,x8,"0x41b958,0x4ab980,0x4b1b40,0x4b2808,0x4b5bb8,0x5007a0,0x530e30,0x5384d8"
/system/etc/selinux/,policy_path_or_variant,0x5887ef,0x41c378,0x41c37c,x0,"0x41b958,0x4ab980,0x4b1b40,0x4b2808,0x4e0878,0x4ff1d8,0x5007a0,0x5384d8"
/vendor/etc/selinux/,policy_path_or_variant,0x588811,0x41c458,0x41c460,x1,"0x4ab980,0x4e0878,0x4fee40,0x52d690"
/proc/cmdline,cmdline_source,0x58629d,0x43b60c,0x43b610,x8,"0x407630,0x4aa3a0,0x4aa570,0x4abaa0,0x4ac9b0,0x4e0878,0x52b960,0x538e38"
androidboot.,boot_property,0x58a65a,0x43c5d0,0x43c5d4,x3,"0x4fec90,0x4ffc88"
ro.boot.,boot_property,0x5865aa,0x441c50,0x441c58,x1,"0x40bb00,0x4acae8,0x4e0878"
selinux,selinux_policy_or_mode,0x58b4f4,0x44d7d4,0x44d7e0,x1,"0x407630,0x41aac0,0x4e1370,0x4e1418,0x4fe9e8"
"reboot,recovery",boot_or_recovery_control,0x58b084,0x450c60,0x450c64,x9,"0x45b450,0x4e0878"
selinux,selinux_policy_or_mode,0x58ba44,0x453d68,0x453d6c,x1,"0x407630,0x4ab990,0x4ab998,0x4abaa0,0x52d580,0x538e38"
/proc/cmdline,cmdline_source,0x58629d,0x45a364,0x45a36c,x8,"0x45a830,0x4aa570,0x4acbc0,0x4e0878"
boot-recovery,boot_or_recovery_control,0x58c500,0x45b560,0x45b564,x1,"0x52c7f0,0x533030,0x538e38"
/sbin/recovery,boot_or_recovery_control,0x586f4d,0x45e2d4,0x45e2dc,x0,"0x407630,0x4abaa0,0x4e18b0,0x52d690,0x538e38"
androidboot.,boot_property,0x5865c3,0x461660,0x461668,x0,"0x4aa570,0x5007a0,0x52b8b0,0x538e38"
/proc/cmdline,cmdline_source,0x58629d,0x46167c,0x461684,x8,"0x4aa570,0x4ac9b0,0x4e0878,0x5007a0,0x52b8b0,0x538e38"
ro.boot.,boot_property,0x5865aa,0x4619e4,0x4619e8,x0,"0x407630,0x4abaa0,0x4acbc0,0x4ff070,0x5007a0,0x538e38"
/proc/cmdline,cmdline_source,0x58629d,0x461f70,0x461f7c,x0,"0x461f50,0x4620d8,0x532b30,0x542570,0x542838"
androidboot.prod,boot_property,0x58cee4,0x461fcc,0x461fd0,x1,"0x4a9c00,0x532b30,0x538d00,0x542570,0x542838"
/proc/cmdline,cmdline_source,0x58629d,0x462014,0x46201c,x0,"0x4a9c00,0x532b30,0x538d00,0x542570,0x542838"
androidboot.unlocked_kernel,boot_property,0x58cf18,0x462068,0x46206c,x1,"0x4a9c00,0x532b30,0x538d00,0x542570,0x542838"
/proc/idme/,boot_or_recovery_control,0x58ceb1,0x4620f8,0x462100,x20,"0x4a9c00,0x533068,0x5330a0,0x5332f8,0x538e38,0x542570"
verifiedbootstate,boot_integrity_or_lock_state,0x58cf87,0x4623f4,0x4623fc,x9,"0x4619b8,0x4e0878,0x52d9c0,0x530010,0x538e38"
/proc/cmdline,cmdline_source,0x58629d,0x46c22c,0x46c230,x8,"0x4aa570,0x4abaa0,0x4e0798,0x4e0878,0x52c7f0,0x538e38"
