marker,class,occurrence,file_offset,vma,load_segment
/proc/cmdline,cmdline_source,0,0x18629d,0x58629d,0
/proc/cmdline,cmdline_source,1,0x18e3d4,0x58e3d4,0
proc/%d/cmdline,cmdline_source,0,0x1860b7,0x5860b7,0
proc/%d/cmdline,cmdline_source,1,0x18c4c8,0x58c4c8,0
androidboot.,boot_property,0,0x18654b,0x58654b,0
androidboot.,boot_property,1,0x1865c3,0x5865c3,0
androidboot.,boot_property,2,0x1885b9,0x5885b9,0
androidboot.,boot_property,3,0x18a65a,0x58a65a,0
androidboot.,boot_property,4,0x18cee4,0x58cee4,0
androidboot.,boot_property,5,0x18cf18,0x58cf18,0
androidboot.,boot_property,6,0x18e3e2,0x58e3e2,0
androidboot.,boot_property,7,0x18e3fe,0x58e3fe,0
androidboot.,boot_property,8,0x18e416,0x58e416,0
androidboot.,boot_property,9,0x18e6fc,0x58e6fc,0
androidboot.,boot_property,10,0x196c10,0x596c10,0
androidboot.,boot_property,11,0x196c4e,0x596c4e,0
androidboot.,boot_property,12,0x196c8e,0x596c8e,0
androidboot.,boot_property,13,0x196cd8,0x596cd8,0
androidboot.,boot_property,14,0x196d16,0x596d16,0
androidboot.selinux,boot_property,0,0x1885b9,0x5885b9,0
androidboot.seccomp,boot_property,0,0x18654b,0x58654b,0
androidboot.unlocked_kernel,boot_property,0,0x18cf18,0x58cf18,0
androidboot.prod,boot_property,0,0x18cee4,0x58cee4,0
ro.boot.,boot_property,0,0x18642a,0x58642a,0
ro.boot.,boot_property,1,0x1865aa,0x5865aa,0
ro.boot.,boot_property,2,0x1865d0,0x5865d0,0
ro.boot.,boot_property,3,0x1865ed,0x5865ed,0
ro.boot.,boot_property,4,0x186602,0x586602,0
ro.boot.,boot_property,5,0x18661f,0x58661f,0
ro.boot.,boot_property,6,0x186640,0x586640,0
ro.boot.,boot_property,7,0x18665d,0x58665d,0
ro.boot.,boot_property,8,0x186775,0x586775,0
ro.boot.,boot_property,9,0x18678f,0x58678f,0
ro.boot.,boot_property,10,0x1867cf,0x5867cf,0
ro.boot.,boot_property,11,0x1868a2,0x5868a2,0
ro.boot.verifiedbootstate,boot_property,0,0x186775,0x586775,0
ro.boot.flash.locked,boot_property,0,0x18678f,0x58678f,0
ro.bootloader,boot_property,0,0x186632,0x586632,0
ro.bootmode,boot_property,0,0x1864c4,0x5864c4,0
ro.boot.mode,boot_property,0,0x1865ed,0x5865ed,0
ro.debuggable,security_property,0,0x187379,0x587379,0
ro.debuggable,security_property,1,0x1a3f2c,0x5a3f2c,0
permissive,selinux_policy_or_mode,0,0x1885cd,0x5885cd,0
permissive,selinux_policy_or_mode,1,0x1928d7,0x5928d7,0
selinux,selinux_policy_or_mode,0,0x1862b6,0x5862b6,0
selinux,selinux_policy_or_mode,1,0x1862c8,0x5862c8,0
selinux,selinux_policy_or_mode,2,0x1863ff,0x5863ff,0
selinux,selinux_policy_or_mode,3,0x1870d7,0x5870d7,0
selinux,selinux_policy_or_mode,4,0x187113,0x587113,0
selinux,selinux_policy_or_mode,5,0x187120,0x587120,0
selinux,selinux_policy_or_mode,6,0x1872f4,0x5872f4,0
selinux,selinux_policy_or_mode,7,0x18732d,0x58732d,0
selinux,selinux_policy_or_mode,8,0x18766b,0x58766b,0
selinux,selinux_policy_or_mode,9,0x187696,0x587696,0
selinux,selinux_policy_or_mode,10,0x1876c3,0x5876c3,0
selinux,selinux_policy_or_mode,11,0x18773e,0x58773e,0
selinux,selinux_policy_or_mode,12,0x187772,0x587772,0
selinux,selinux_policy_or_mode,13,0x18779f,0x58779f,0
selinux,selinux_policy_or_mode,14,0x188324,0x588324,0
selinux,selinux_policy_or_mode,15,0x18838c,0x58838c,0
selinux,selinux_policy_or_mode,16,0x1883bc,0x5883bc,0
selinux,selinux_policy_or_mode,17,0x1885c5,0x5885c5,0
selinux,selinux_policy_or_mode,18,0x1885e4,0x5885e4,0
selinux,selinux_policy_or_mode,19,0x188613,0x588613,0
selinux,selinux_policy_or_mode,20,0x188647,0x588647,0
selinux,selinux_policy_or_mode,21,0x188675,0x588675,0
selinux,selinux_policy_or_mode,22,0x1886c0,0x5886c0,0
selinux,selinux_policy_or_mode,23,0x1886eb,0x5886eb,0
selinux,selinux_policy_or_mode,24,0x188710,0x588710,0
selinux,selinux_policy_or_mode,25,0x1887fb,0x5887fb,0
selinux,selinux_policy_or_mode,26,0x18881d,0x58881d,0
selinux,selinux_policy_or_mode,27,0x1888ac,0x5888ac,0
selinux,selinux_policy_or_mode,28,0x1888f4,0x5888f4,0
selinux,selinux_policy_or_mode,29,0x18898a,0x58898a,0
selinux,selinux_policy_or_mode,30,0x1889a6,0x5889a6,0
selinux,selinux_policy_or_mode,31,0x1889bb,0x5889bb,0
selinux,selinux_policy_or_mode,32,0x188b1c,0x588b1c,0
selinux,selinux_policy_or_mode,33,0x188b56,0x588b56,0
selinux,selinux_policy_or_mode,34,0x18984e,0x58984e,0
selinux,selinux_policy_or_mode,35,0x18b4f4,0x58b4f4,0
selinux,selinux_policy_or_mode,36,0x18ba44,0x58ba44,0
selinux,selinux_policy_or_mode,37,0x191660,0x591660,0
selinux,selinux_policy_or_mode,38,0x19167b,0x59167b,0
selinux,selinux_policy_or_mode,39,0x191683,0x591683,0
selinux,selinux_policy_or_mode,40,0x1917d9,0x5917d9,0
selinux,selinux_policy_or_mode,41,0x19185a,0x59185a,0
selinux,selinux_policy_or_mode,42,0x1919cf,0x5919cf,0
