pair,normal_sha256,rootable_sha256,normal_lines,rootable_lines,normal_unique,rootable_unique,added_unique,removed_unique,focus,normal_count,rootable_count,added_count
plat,4056ed9140f6c201cb2dd55edf70041667a195e20233bb6a6a2468b40c9a872d,51123eabcb7bbc36574ea90eb8c42b82677f5ffd35a40e1d48e61c58a6ec5d35,17073,17599,14408,14900,2295,1803,typepermissive,0,1,1
plat,4056ed9140f6c201cb2dd55edf70041667a195e20233bb6a6a2468b40c9a872d,51123eabcb7bbc36574ea90eb8c42b82677f5ffd35a40e1d48e61c58a6ec5d35,17073,17599,14408,14900,2295,1803,allow,5805,6062,302
plat,4056ed9140f6c201cb2dd55edf70041667a195e20233bb6a6a2468b40c9a872d,51123eabcb7bbc36574ea90eb8c42b82677f5ffd35a40e1d48e61c58a6ec5d35,17073,17599,14408,14900,2295,1803,neverallow,2573,2578,1327
plat,4056ed9140f6c201cb2dd55edf70041667a195e20233bb6a6a2468b40c9a872d,51123eabcb7bbc36574ea90eb8c42b82677f5ffd35a40e1d48e61c58a6ec5d35,17073,17599,14408,14900,2295,1803,su_token,5,323,317
plat,4056ed9140f6c201cb2dd55edf70041667a195e20233bb6a6a2468b40c9a872d,51123eabcb7bbc36574ea90eb8c42b82677f5ffd35a40e1d48e61c58a6ec5d35,17073,17599,14408,14900,2295,1803,allow_su,0,58,57
plat,4056ed9140f6c201cb2dd55edf70041667a195e20233bb6a6a2468b40c9a872d,51123eabcb7bbc36574ea90eb8c42b82677f5ffd35a40e1d48e61c58a6ec5d35,17073,17599,14408,14900,2295,1803,allow_shell,239,260,16
plat,4056ed9140f6c201cb2dd55edf70041667a195e20233bb6a6a2468b40c9a872d,51123eabcb7bbc36574ea90eb8c42b82677f5ffd35a40e1d48e61c58a6ec5d35,17073,17599,14408,14900,2295,1803,allow_untrusted_app,3,3,0
plat,4056ed9140f6c201cb2dd55edf70041667a195e20233bb6a6a2468b40c9a872d,51123eabcb7bbc36574ea90eb8c42b82677f5ffd35a40e1d48e61c58a6ec5d35,17073,17599,14408,14900,2295,1803,setcurrent,4,6,2
plat,4056ed9140f6c201cb2dd55edf70041667a195e20233bb6a6a2468b40c9a872d,51123eabcb7bbc36574ea90eb8c42b82677f5ffd35a40e1d48e61c58a6ec5d35,17073,17599,14408,14900,2295,1803,dyntransition,32,34,26
plat,4056ed9140f6c201cb2dd55edf70041667a195e20233bb6a6a2468b40c9a872d,51123eabcb7bbc36574ea90eb8c42b82677f5ffd35a40e1d48e61c58a6ec5d35,17073,17599,14408,14900,2295,1803,capability,116,123,14
