root,file,edge_type,base,impl,service,permission
artifacts/amazon-services,artifacts/amazon-services/amazonactivitymanager_fosinit.xml,vendor_service,,com.amazon.android.server.am.AmazonActivityManagerService,,
artifacts/amazon-services,artifacts/amazon-services/amazonactivitymanager_fosinit.xml,callback,com.android.server.am.VendorActivityRecordCallback,com.amazon.android.server.am.OnConfigurationChanged,,
artifacts/amazon-services,artifacts/amazon-services/amazonactivitymanager_fosinit.xml,callback,com.android.server.am.VendorActivityManagerServiceCallback,com.android.server.am.AmazonActivityManagerAMSCallback,,
artifacts/amazon-services,artifacts/amazon-services/amazonactivitymanager_fosinit.xml,callback,com.android.server.dreams.VendorDreamControllerCallback,com.android.server.am.AmazonDreamControllerCallback,,
artifacts/amazon-services,artifacts/amazon-services/amazondevicepolicymanager_fosinit.xml,vendor_service,,com.amazon.android.server.devicepolicy.AmazonDevicePolicyManagerService,,
artifacts/amazon-services,artifacts/amazon-services/amazondevicepolicymanager_fosinit.xml,callback,com.android.server.devicepolicy.VendorDevicePolicyManagerCallback,amazon.app.admin.AmazonDevicePolicyManagerCallback,,
artifacts/amazon-services,artifacts/amazon-services/amazondevicepolicymanager_fosinit.xml,callback,com.android.server.pm.VendorUserRestrictionsUtilsCallback,amazon.app.admin.DevicePolicyManagerUserRestrictionsCallback,,
artifacts/amazon-services,artifacts/amazon-services/amazondevicepolicymanager_fosinit.xml,callback,com.android.server.pm.VendorPackageManagerCallback,com.amazon.android.server.devicepolicy.DevicePolicySystemOtaHandlerCallback,,
artifacts/amazon-services,artifacts/amazon-services/amazonpackagemanager_fosinit.xml,vendor_service,,com.amazon.android.service.pm.AmazonPackageManagerService,,
artifacts/amazon-services,artifacts/amazon-services/amazonpackagemanager_fosinit.xml,callback,com.android.server.pm.VendorPackageManagerCallback,com.amazon.android.service.pm.PermissionToUsesPermissionCallback,,
artifacts/amazon-services,artifacts/amazon-services/amazonpackagemanager_fosinit.xml,callback,com.android.server.pm.VendorPackageManagerCallback,com.amazon.android.service.pm.AmazonPackageManagerCallback,,
artifacts/amazon-services,artifacts/amazon-services/amazonpackagemanager_fosinit.xml,callback,com.android.server.pm.VendorPackageManagerCallback,com.amazon.android.service.pm.CleanUpDalvikCacheCallback,,
artifacts/amazon-services,artifacts/amazon-services/amazonpackagemanager_fosinit.xml,callback,com.android.server.pm.VendorProtectedPackagesCallback,com.amazon.android.service.pm.ControlProtectedPackagesCallback,,
artifacts/amazon-services,artifacts/amazon-services/amazonpackagemanager_fosinit.xml,vendor_instance,android.content.pm.PackageManager,amazon.content.pm.AmazonPackageManagerImpl,,
artifacts/amazon-services,artifacts/amazon-services/amazonpackagemanager_fosinit.xml,vendor_instance,android.content.pm.PackageStats,amazon.content.pm.AmazonPackageStats,,
artifacts/amazon-services,artifacts/amazon-services/amazonwindowmanager_fosinit.xml,vendor_service,,com.amazon.android.server.wm.AmazonWindowManagerService,,
artifacts/amazon-services,artifacts/amazon-services/amazonwindowmanager_fosinit.xml,callback,com.android.server.policy.VendorPhoneWindowManagerCallback,com.android.server.policy.AmazonWindowManagerPwmCallback,,
artifacts/amazon-services,artifacts/amazon-services/amazonwindowmanager_fosinit.xml,callback,com.android.server.wm.VendorWindowManagerServiceCallback,com.android.server.wm.AmazonVendorWindowManagerServiceCallback,,
artifacts/amazon-services,artifacts/amazon-services/amazonwindowmanager_fosinit.xml,callback,com.android.server.wm.VendorAppTransitionCallback,com.android.server.wm.AmazonVendorAppTransitionCallback,,
artifacts/amazon-services,artifacts/amazon-services/amazonwindowmanager_fosinit.xml,callback,android.view.VendorViewRootImplCallback,amazon.view.AmazonVendorViewRootImplCallback,,
artifacts/amazon-services,artifacts/amazon-services/appcompatsupport_fosinit.xml,vendor_service,,com.amazon.appcompatwhitelist.AppCompatWhitelistService,,
artifacts/amazon-services,artifacts/amazon-services/appcompatsupport_fosinit.xml,callback,com.android.server.am.VendorActivityManagerServiceCallback,com.android.server.am.AppCompatActivityManagerServiceCallback,,
artifacts/amazon-services,artifacts/amazon-services/appcompatsupport_fosinit.xml,callback,com.android.server.am.VendorActivityStackSupervisorCallback,com.amazon.android.server.am.AppCompatActivityStackSupervisorCallback,,
artifacts/amazon-services,artifacts/amazon-services/appcompatsupport_fosinit.xml,callback,com.android.server.am.VendorActivityStarterCallback,com.amazon.android.server.am.AppCompatActivityStarterCallback,,
artifacts/amazon-services,artifacts/amazon-services/appcompatsupport_fosinit.xml,vendor_instance,com.amazon.android.appcompatsupport.AppCompatSupport,com.amazon.android.appcompatsupport.AppCompatSupportImpl,,
artifacts/amazon-services,artifacts/amazon-services/core_fosinit.xml,callback,com.android.server.VendorSystemServerCallback,com.amazon.android.server.InitFireOsSystemConfigCallback,,
artifacts/amazon-services,artifacts/amazon-services/core_fosinit.xml,vendor_service,,amazon.fireos.debug.FireOSDebugService,,
artifacts/amazon-services,artifacts/amazon-services/eve_launch_time_fosinit.xml,callback,com.android.server.am.VendorActivityStackCallback,com.android.server.am.EveActivityStackCallback,,
artifacts/amazon-services,artifacts/amazon-services/eve_launch_time_fosinit.xml,callback,com.android.server.am.VendorActivityStackSupervisorCallback,com.fireos.eve.EveActivityStackSupervisorCallback,,
artifacts/amazon-services,artifacts/amazon-services/eve_launch_time_fosinit.xml,callback,com.android.server.am.VendorActivityRecordCallback,com.android.server.am.EveActivityRecordCallback,,
artifacts/amazon-services,artifacts/amazon-services/eve_launch_time_fosinit.xml,callback,com.android.server.am.VendorActivityStarterCallback,com.fireos.eve.EveActivityStarterCallback,,
artifacts/amazon-services,artifacts/amazon-services/eve_launch_time_fosinit.xml,callback,android.app.VendorActivityThreadCallback,com.fireos.eve.EveActivityThreadCallback,,
artifacts/amazon-services,artifacts/amazon-services/keypolicymanager_fosinit.xml,callback,com.android.providers.settings.VendorSettingsProviderCallback,com.amazon.android.settings.keypolicymanager.KeyPolicyManagerSettingsProvider,,
artifacts/amazon-services,artifacts/amazon-services/launcherhijackpreventer_fosinit.xml,callback,com.android.server.am.VendorActivityStackCallback,com.amazon.launcherhijackpreventer.LauncherHijackPreventerActivityStackCallback,,
artifacts/amazon-services,artifacts/amazon-services/launcherhijackpreventer_fosinit.xml,callback,com.android.server.am.VendorActivityManagerServiceCallback,com.amazon.launcherhijackpreventer.LauncherHijackPreventerActivityManagerServiceCallback,,
artifacts/amazon-services,artifacts/amazon-services/packagewhitelister_fosinit.xml,callback,com.android.server.pm.VendorPackageManagerCallback,com.android.server.pm.PackageWhitelisterCallback,,
artifacts/amazon-services,artifacts/amazon-services/tabletkeypolicymanager_fosinit.xml,vendor_instance,com.amazon.android.keypolicymanager.KeyPolicyManager,com.amazon.policy.keypolicymanager.TabletKeyPolicyManager,,
artifacts/amazon-services,artifacts/amazon-services/tabletkeypolicymanager_fosinit.xml,callback,com.android.server.policy.VendorPhoneWindowManagerCallback,com.amazon.policy.keypolicymanager.KeyInterceptorCallback,,
artifacts/amazon-services,artifacts/amazon-services/tabletlauncherhijackpreventer_fosinit.xml,callback,com.android.server.pm.VendorPackageManagerCallback,com.amazon.launcherhijackpreventer.LauncherHijackPreventerPackageManagerCallback,,
artifacts/amazon-services,artifacts/amazon-services/tabletlauncherhijackpreventer_fosinit.xml,callback,com.android.server.pm.permission.VendorPermissionManagerCallback,com.amazon.launcherhijackpreventer.LauncherHijackPreventerPermissionManagerCallback,,
