root,file,line,class,method,kind,description,excerpt
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/hint/client/AlexaHintServiceClient.java,11,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.services.OverridableMapCache;
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/hint/client/DefaultWakewordRetriever.java,38,DefaultWakewordRetriever,getWakeword,settings_write,settings read/write surface,"string = Settings.System.getString(context.getContentResolver(), ""com.amazon.alexa.asr.wakeword"");"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/SettingsContentProviderClient.java,6,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.debugsettings.DebugSetting;
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,22,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""disable_prime_photos"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,23,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""disable_movie_trailers"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,38,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""LauncherPersonalPhotoId"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,39,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""LauncherCanUsePersonalPhoto"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,40,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""webvideos_disable_video_search"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,41,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""webvideos_enable_restricted_mode"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,42,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""alexa_ww_privacy_mode_enabled"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,43,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""user_setup_complete"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,44,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""trusted_wifi_no_show"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,45,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""home_auto_cycle"", Settings.Global.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,46,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""home_cards"", Settings.Global.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,47,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""force_ota_complete"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,51,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""accessibility_alexa_captioning_enabled"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,52,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""accessibility_call_captioning_enabled"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,53,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""messaging_touch"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,54,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""launched_country"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,55,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""to_be_launched_country"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,57,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""accessibility_alexa_captioning_position"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,58,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""accessibility_alexa_captioning_font_scale"", Settings.Secure.CONTENT_URI);"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/alexa/multimodal/settings/mapping/FireOsSettingsStoreMapping.java,59,FireOsSettingsStoreMapping,initSettingsMapping,settings_write,settings read/write surface,"settingsMapping.put(""accessibility_alexa_captioning_typeface"", Settings.Secure.CONTENT_URI);"
