caller_label,caller,instruction,target_address,callee
Sha1CheckFn,_Z11Sha1CheckFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,402f50,0x45b820,SHA1
Sha1CheckFn,_Z11Sha1CheckFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,403190,0x4c7bc0,memcmp
PerformBlockImageUpdate,_ZL23PerformBlockImageUpdatePKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEEPK7Commandmb,40993c,0x45b820,SHA1
PerformBlockImageUpdate,_ZL23PerformBlockImageUpdatePKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEEPK7Commandmb,40a2e0,0x4cc170,open
LoadSrcTgtVersion3,_ZL18LoadSrcTgtVersion3R17CommandParametersR8RangeSetPmbPb,40e448,0x45b820,SHA1
VerifyBlocks,_ZL12VerifyBlocksRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_6vectorIhNS3_IhEEEEmb,40ee20,0x45b820,SHA1
VerifyBlocks,_ZL12VerifyBlocksRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_6vectorIhNS3_IhEEEEmb,40ee48,0x4b0a20,UNKNOWN_0x4b0a20
VerifyBlocks,_ZL12VerifyBlocksRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_6vectorIhNS3_IhEEEEmb,40ee5c,0x4b0a20,UNKNOWN_0x4b0a20
VerifyBlocks,_ZL12VerifyBlocksRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_6vectorIhNS3_IhEEEEmb,40eef8,0x4c7bc0,memcmp
VerifyBlocks,_ZL12VerifyBlocksRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_6vectorIhNS3_IhEEEEmb,40ef14,0x45a5f0,_ZN7android4base21GetMinimumLogSeverityEv
