ordinal,edify_name,registration_instruction,got_address,handler_address,handler_symbol,string_source
1,mount,0x4069cc,0x5af5a8,0x403268,_Z7MountFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fadd
2,is_mounted,0x406a18,0x5af5b0,0x4035c8,_Z11IsMountedFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fadd
3,unmount,0x406a5c,0x5af5b8,0x403758,_Z9UnmountFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fadd
4,format,0x406aa0,0x5af5c0,0x403948,_Z8FormatFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fadd
5,show_progress,0x406aec,0x5af5c8,0x404450,_Z14ShowProgressFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fadd
6,set_progress,0x406b3c,0x5af5d0,0x4046f8,_Z13SetProgressFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fadd
7,package_extract_file,0x406b8c,0x5af5d8,0x401fb8,_Z20PackageExtractFileFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fadd
8,getprop,0x406bd0,0x5af5e0,0x4048d8,_Z9GetPropFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fadd
9,file_getprop,0x406c20,0x5af5e8,0x4049d8,_Z13FileGetPropFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fadd
10,apply_patch,0x406c6c,0x5af5f0,0x402788,_Z12ApplyPatchFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fadd
11,apply_patch_check,0x406cb4,0x5af5f8,0x402c78,_Z17ApplyPatchCheckFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fadd
12,apply_patch_space,0x406cf8,0x5af600,0x404fe0,_Z17ApplyPatchSpaceFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fadd
13,wipe_block_device,0x406d38,0x5af608,0x406508,_Z17WipeBlockDeviceFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fadd
14,read_file,0x406d7c,0x5af610,0x405640,_Z10ReadFileFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fadd
15,sha1_check,0x406dc4,0x5af618,0x402e88,_Z11Sha1CheckFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fadd
16,write_value,0x406e0c,0x5af620,0x405918,_Z12WriteValueFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fadd
17,wipe_cache,0x406e54,0x5af628,0x4051e0,_Z11WipeCacheFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fadd
18,ui_print,0x406e9c,0x5af630,0x401cd8,_Z9UIPrintFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,inline AArch64 immediate at 0x406e68-0x406e94
19,run_program,0x406ee4,0x5af638,0x405248,_Z12RunProgramFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fbb0
20,reboot_now,0x406f2c,0x5af640,0x405b48,_Z11RebootNowFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fbb0
21,get_stage,0x406f6c,0x5af648,0x4062a8,_Z10GetStageFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fbb0
22,set_stage,0x406fac,0x5af650,0x405fa0,_Z10SetStageFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fbb0
23,enable_reboot,0x406ff4,0x5af658,0x406728,_Z14EnableRebootFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fbb0
24,tune2fs,0x407038,0x5af660,0x406790,_Z9Tune2FsFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,.rodata:0x51fbb0
