line,command,target,source,classification,execution_status,text
2,getprop,,,compatibility_gate_or_property_read,NOT_EXECUTED,"getprop(""ro.product.device"") == ""trona"" || abort(""E3004: This package is for \""trona\"" devices; this is a \"""" + getprop(""ro.product.device"") + ""\""."");"
3,ui_print,,,parser_or_compatibility_gate,NOT_EXECUTED,"ui_print(""Target: Amazon/trona/trona:9/PS7331.4463N/0031575863040:user/amz-p,release-keys"");"
5,ui_print,,,parser_or_compatibility_gate,NOT_EXECUTED,"ui_print(""Patching system image unconditionally..."");"
6,block_image_update,/dev/block/platform/bootdevice/by-name/system,,block_image_update_partition_path,NOT_EXECUTED,"block_image_update(""/dev/block/platform/bootdevice/by-name/system"", package_extract_file(""system.transfer.list""), ""system.new.dat.br"", ""system.patch.dat"") ||"
9,ui_print,,,parser_or_compatibility_gate,NOT_EXECUTED,"ui_print(""Patching vendor image unconditionally..."");"
10,block_image_update,/dev/block/platform/bootdevice/by-name/vendor,,block_image_update_partition_path,NOT_EXECUTED,"block_image_update(""/dev/block/platform/bootdevice/by-name/vendor"", package_extract_file(""vendor.transfer.list""), ""vendor.new.dat.br"", ""vendor.patch.dat"") ||"
13,package_extract_file,/dev/block/platform/bootdevice/by-name/boot,boot.img,partition_write,NOT_EXECUTED,"package_extract_file(""boot.img"", ""/dev/block/platform/bootdevice/by-name/boot"");"
15,package_extract_file,/dev/block/platform/bootdevice/by-name/preloader,images/preloader.img,partition_write,NOT_EXECUTED,"package_extract_file(""images/preloader.img"", ""/dev/block/platform/bootdevice/by-name/preloader"");"
16,package_extract_file,/dev/block/platform/bootdevice/by-name/lk,images/lk.img,partition_write,NOT_EXECUTED,"package_extract_file(""images/lk.img"", ""/dev/block/platform/bootdevice/by-name/lk"");"
17,package_extract_file,/dev/block/platform/bootdevice/by-name/tee1,images/tee.img,partition_write,NOT_EXECUTED,"package_extract_file(""images/tee.img"", ""/dev/block/platform/bootdevice/by-name/tee1"");"
18,package_extract_file,/dev/block/platform/bootdevice/by-name/tee2,images/tee.img,partition_write,NOT_EXECUTED,"package_extract_file(""images/tee.img"", ""/dev/block/platform/bootdevice/by-name/tee2"");"
19,package_extract_file,/dev/block/platform/bootdevice/by-name/spmfw,images/spmfw.img,partition_write,NOT_EXECUTED,"package_extract_file(""images/spmfw.img"", ""/dev/block/platform/bootdevice/by-name/spmfw"");"
20,package_extract_file,/dev/block/platform/bootdevice/by-name/sspm_1,images/sspm.img,partition_write,NOT_EXECUTED,"package_extract_file(""images/sspm.img"", ""/dev/block/platform/bootdevice/by-name/sspm_1"");"
21,package_extract_file,/dev/block/platform/bootdevice/by-name/cam_vpu1,images/cam_vpu1.img,partition_write,NOT_EXECUTED,"package_extract_file(""images/cam_vpu1.img"", ""/dev/block/platform/bootdevice/by-name/cam_vpu1"");"
22,package_extract_file,/dev/block/platform/bootdevice/by-name/cam_vpu2,images/cam_vpu2.img,partition_write,NOT_EXECUTED,"package_extract_file(""images/cam_vpu2.img"", ""/dev/block/platform/bootdevice/by-name/cam_vpu2"");"
23,package_extract_file,/dev/block/platform/bootdevice/by-name/cam_vpu3,images/cam_vpu3.img,partition_write,NOT_EXECUTED,"package_extract_file(""images/cam_vpu3.img"", ""/dev/block/platform/bootdevice/by-name/cam_vpu3"");"
24,package_extract_file,/cache/recovery/last_blocklist,META-INF/com/amazon/android/target.blocklist,recovery_metadata_write,NOT_EXECUTED,"package_extract_file(""META-INF/com/amazon/android/target.blocklist"", ""/cache/recovery/last_blocklist"");"
