source_kind,source_file,source_line,instruction_offset,caller_class,caller_method,caller_descriptor,sink,classification,scope_or_limit,evidence_status
fosservices,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,26056,0x02ab0c,AppAdapterHandler,goToRegistration,()V,PackageManager.setComponentEnabledSetting,amazon_oobe_fixed_component_writer,OOBE registration component path,static_invoke_site_only
fosservices,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,30354,0x02e92e,GeminiHandler,disableGeminiIfRequired,()V,PackageManager.setApplicationEnabledSetting,amazon_fixed_gemini_package_writer,fixed Gemini package path,static_invoke_site_only
fosservices,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,54310,0x04320a,AmazonUserManagerService.BinderService,enableKftLauncherComponent,(Landroid/content/pm/UserInfo;)V,AmazonPackageManager.setComponentEnabledSetting,amazon_launcher_state_writer_child_scoped,literal Tahoe/Fire/Launcher3 targets; scope is supplied UserInfo.id,static_invoke_site_only
fosservices,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,54318,0x043228,AmazonUserManagerService.BinderService,enableKftLauncherComponent,(Landroid/content/pm/UserInfo;)V,AmazonPackageManager.setApplicationEnabledSetting,amazon_launcher_state_writer_child_scoped,literal Tahoe/Fire/Launcher3 targets; scope is supplied UserInfo.id,static_invoke_site_only
fosservices,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,54324,0x043242,AmazonUserManagerService.BinderService,enableKftLauncherComponent,(Landroid/content/pm/UserInfo;)V,AmazonPackageManager.setApplicationEnabledSetting,amazon_launcher_state_writer_child_scoped,literal Tahoe/Fire/Launcher3 targets; scope is supplied UserInfo.id,static_invoke_site_only
fosservices,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,191881,0x0cf22a,EspressoShotCallback,disableBootCompleteReceivers,(Landroid/content/pm/PackageManager;Landroid/content/ComponentName;)V,PackageManager.setComponentEnabledSetting,amazon_boot_receiver_component_writer,BOOT receiver lifecycle path,static_invoke_site_only
fosservices,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,192065,0x0cf314,EspressoShotCallback,reEnableBootCompleteReceivers,(Landroid/content/pm/PackageManager;Landroid/content/ComponentName;)V,PackageManager.setComponentEnabledSetting,amazon_boot_receiver_component_writer,BOOT receiver lifecycle path,static_invoke_site_only
fosservices,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,293712,0x052688,EnableDisableComponentAction,enableDisableComponent,(Ljava/lang/String;IZ)V,AmazonPackageManager.setComponentEnabledSetting,amazon_product_policy_fixed_component_writer,in-process ProductPolicy action; supplied fixed policy component/package,static_invoke_site_only
fosservices,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,293717,0x052698,EnableDisableComponentAction,enableDisableComponent,(Ljava/lang/String;IZ)V,AmazonPackageManager.setApplicationEnabledSetting,amazon_product_policy_fixed_component_writer,in-process ProductPolicy action; supplied fixed policy component/package,static_invoke_site_only
fosservices,decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,293735,0x0526e8,EnableDisableComponentAction,enableDisableComponent,(Ljava/lang/String;IZ)V,AmazonPackageManager.setComponentEnabledSetting,amazon_product_policy_fixed_component_writer,in-process ProductPolicy action; supplied fixed policy component/package,static_invoke_site_only
