line,markers,text
2,sha256,"5e2d0 SHA256 block transform for ARMv8, CRYPTOGAMS by <appro@openssl.org>"
11,run_program,11f963 run_program: execv failed
12,run_program,11f97d run_program: child exited with status
13,run_program,11f9a4 run_program: child terminated by signal
14,package_extract_file,11fb18 package_extract_file
16,run_program,11fbb0 run_program
19,block_image_update,11ff11 block_image_update
24,block_image_update,"12085a block_image_update expects 4 arguments, got %zu"
100,sha256,124e36 sha256
104,symlink_realpath;realpath,1263ac symlink_realpath(%s) strdup() failed: %s
105,symlink_realpath;realpath,1263d9 symlink_realpath(%s) realpath() failed: %s
106,symlink_realpath;realpath,126405 symlink_realpath(%s) failed: Filename too long
134,readlinkat;readlink,1312ea readlinkat
135,readlink,1312f5 readlink
