source_path,source_sha256,line,function,marker,text
drivers/misc/mediatek/accdet/accdet_drv.c,f1ef258560f9c076bcb1f28cd807d3d496b569151a719f608c348f93f0a4579e,51,<file-scope>,ioctl_entry,".unlocked_ioctl = accdet_unlocked_ioctl,"
drivers/misc/mediatek/accdet/accdet_drv.c,f1ef258560f9c076bcb1f28cd807d3d496b569151a719f608c348f93f0a4579e,143,<file-scope>,device_registration,ret = platform_driver_register(&accdet_driver);
drivers/misc/mediatek/accdet/mt8183/accdet.c,ceb891f3747fb6b2d61a6c15073fd74392069a70ccc4d2ee31c0fdceeba2c6a1,2164,<file-scope>,property_or_boot_state,* PART5.7: static sysfs attr functions for debug
drivers/misc/mediatek/accdet/mt8183/accdet.c,ceb891f3747fb6b2d61a6c15073fd74392069a70ccc4d2ee31c0fdceeba2c6a1,2166,<file-scope>,property_or_boot_state,/* ---sysfs--- */
drivers/misc/mediatek/accdet/mt8183/accdet.c,ceb891f3747fb6b2d61a6c15073fd74392069a70ccc4d2ee31c0fdceeba2c6a1,2691,<file-scope>,device_registration,"ret = alloc_chrdev_region(&accdet_devno, 0, 1, ACCDET_DEVNAME);/* get devNo */"
drivers/misc/mediatek/accdet/mt8183/accdet.c,ceb891f3747fb6b2d61a6c15073fd74392069a70ccc4d2ee31c0fdceeba2c6a1,2698,<file-scope>,device_registration,"ret = cdev_add(accdet_cdev, accdet_devno, 1);"
drivers/misc/mediatek/accdet/mt8183/accdet.c,ceb891f3747fb6b2d61a6c15073fd74392069a70ccc4d2ee31c0fdceeba2c6a1,2703,<file-scope>,device_registration,"accdet_class = class_create(THIS_MODULE, ACCDET_DEVNAME);"
drivers/misc/mediatek/accdet/mt8183/accdet.c,ceb891f3747fb6b2d61a6c15073fd74392069a70ccc4d2ee31c0fdceeba2c6a1,2705,<file-scope>,device_registration,"accdet_nor_device = device_create(accdet_class, NULL, accdet_devno, NULL, ACCDET_DEVNAME);"
drivers/misc/mediatek/accdet/mt8183/accdet.c,ceb891f3747fb6b2d61a6c15073fd74392069a70ccc4d2ee31c0fdceeba2c6a1,2815,<file-scope>,property_or_boot_state,* PART7: static sysfs attr functions for debug
drivers/misc/mediatek/accdet/mt8183/accdet.h,5115421117b40ebf4843dfa98572f9e3e1d5dcc01a35c4a05c70f764bbad2078,54,<file-scope>,ioctl_entry,"#define ACCDET_INIT _IO(ACCDET_IOC_MAGIC, 0)"
drivers/misc/mediatek/accdet/mt8183/accdet.h,5115421117b40ebf4843dfa98572f9e3e1d5dcc01a35c4a05c70f764bbad2078,55,<file-scope>,ioctl_entry,"#define SET_CALL_STATE _IO(ACCDET_IOC_MAGIC, 1)"
drivers/misc/mediatek/accdet/mt8183/accdet.h,5115421117b40ebf4843dfa98572f9e3e1d5dcc01a35c4a05c70f764bbad2078,56,<file-scope>,ioctl_entry,"#define GET_BUTTON_STATUS _IO(ACCDET_IOC_MAGIC, 2)"
drivers/misc/mediatek/aee/aed/aed-main.c,0829c23bf4ad585b4bb6cdf9e07f2c7f318c6e117b5027b652ac11d6f5918700,288,<file-scope>,user_copy,"if (copy_to_user(buf, msg_tmp + *f_pos, count)) {"
drivers/misc/mediatek/aee/aed/aed-main.c,0829c23bf4ad585b4bb6cdf9e07f2c7f318c6e117b5027b652ac11d6f5918700,1048,<file-scope>,user_copy,"rsize = copy_from_user(&msg, buf, count);"
drivers/misc/mediatek/aee/aed/aed-main.c,0829c23bf4ad585b4bb6cdf9e07f2c7f318c6e117b5027b652ac11d6f5918700,1265,<file-scope>,user_copy,"rsize = copy_from_user(&msg, buf, count);"
drivers/misc/mediatek/aee/aed/aed-main.c,0829c23bf4ad585b4bb6cdf9e07f2c7f318c6e117b5027b652ac11d6f5918700,1348,<file-scope>,user_copy,"if (copy_from_user(&aee_mode_tmp, (void __user *)arg,"
drivers/misc/mediatek/aee/aed/aed-main.c,0829c23bf4ad585b4bb6cdf9e07f2c7f318c6e117b5027b652ac11d6f5918700,1367,<file-scope>,user_copy,"if (copy_from_user(&aee_force_exp_tmp, (void __user *)arg,"
drivers/misc/mediatek/aee/aed/aed-main.c,0829c23bf4ad585b4bb6cdf9e07f2c7f318c6e117b5027b652ac11d6f5918700,1394,<file-scope>,user_copy,"if (copy_from_user(dal_show, (struct aee_dal_show __user *)arg,"
drivers/misc/mediatek/aee/aed/aed-main.c,0829c23bf4ad585b4bb6cdf9e07f2c7f318c6e117b5027b652ac11d6f5918700,1448,<file-scope>,user_copy,"if (copy_from_user(&dal_setcolor, (struct aee_dal_setcolor __user *)arg,"
drivers/misc/mediatek/aee/aed/aed-main.c,0829c23bf4ad585b4bb6cdf9e07f2c7f318c6e117b5027b652ac11d6f5918700,1466,<file-scope>,ioctl_entry,"LOGD(""%s: get thread registers ioctl\n"", __func__);"
drivers/misc/mediatek/aee/aed/aed-main.c,0829c23bf4ad585b4bb6cdf9e07f2c7f318c6e117b5027b652ac11d6f5918700,1508,<file-scope>,ioctl_entry,"LOGD(""%s: get thread registers ioctl tid invalid\n"", __func__);"
drivers/misc/mediatek/aee/aed/aed-main.c,0829c23bf4ad585b4bb6cdf9e07f2c7f318c6e117b5027b652ac11d6f5918700,1534,<file-scope>,ioctl_entry,"LOGD(""%s: check suid dumpable ioctl\n"", __func__);"
drivers/misc/mediatek/aee/aed/aed-main.c,0829c23bf4ad585b4bb6cdf9e07f2c7f318c6e117b5027b652ac11d6f5918700,1536,<file-scope>,user_copy,"if (copy_from_user(&pid, (void __user *)arg, sizeof(int))) {"
