source,source_sha256,line,method,signal,user_scope,state_domain,source_text
artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/oobe/commons/utils/SettingsDBUtils.java,6ceb23853939c6905bf2de12a6969e7568a3bf2119588a6c1d4347f4ba089b31,25,run,secure_settings_write,no explicit user argument visible,Settings.Secure/Global,"Settings.Secure.putString(contentResolver, str, str2);"
artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/oobe/commons/utils/SettingsDBUtils.java,6ceb23853939c6905bf2de12a6969e7568a3bf2119588a6c1d4347f4ba089b31,35,run,secure_settings_write,no explicit user argument visible,Settings.Secure/Global,"Settings.Secure.putInt(contentResolver, str, i);"
artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/oobe/commons/utils/SettingsDBUtils.java,6ceb23853939c6905bf2de12a6969e7568a3bf2119588a6c1d4347f4ba089b31,45,run,global_settings_write,no explicit user argument visible,Settings.Secure/Global,"Settings.Global.putInt(contentResolver, str, i);"
artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/oobe/commons/utils/SettingsDBUtils.java,6ceb23853939c6905bf2de12a6969e7568a3bf2119588a6c1d4347f4ba089b31,51,setSettingSecurePutStringFG,oobe_helper_fg_method,method name says FG; underlying API still requires context scope,OOBE setup state,"public static void setSettingSecurePutStringFG(ContentResolver contentResolver, String str, String str2) {"
artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/oobe/commons/utils/SettingsDBUtils.java,6ceb23853939c6905bf2de12a6969e7568a3bf2119588a6c1d4347f4ba089b31,52,setSettingSecurePutStringFG,secure_settings_write,no explicit user argument visible,Settings.Secure/Global,"Settings.Secure.putString(contentResolver, str, str2);"
artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/oobe/commons/utils/SettingsDBUtils.java,6ceb23853939c6905bf2de12a6969e7568a3bf2119588a6c1d4347f4ba089b31,56,setSettingSecurePutIntFG,oobe_helper_fg_method,method name says FG; underlying API still requires context scope,OOBE setup state,"public static void setSettingSecurePutIntFG(ContentResolver contentResolver, String str, int i) {"
artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/oobe/commons/utils/SettingsDBUtils.java,6ceb23853939c6905bf2de12a6969e7568a3bf2119588a6c1d4347f4ba089b31,57,setSettingSecurePutIntFG,secure_settings_write,no explicit user argument visible,Settings.Secure/Global,"Settings.Secure.putInt(contentResolver, str, i);"
artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/oobe/commons/utils/SettingsDBUtils.java,6ceb23853939c6905bf2de12a6969e7568a3bf2119588a6c1d4347f4ba089b31,61,setSettingGlobalPutIntFG,oobe_helper_fg_method,method name says FG; underlying API still requires context scope,OOBE setup state,"public static void setSettingGlobalPutIntFG(ContentResolver contentResolver, String str, int i) {"
artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/oobe/commons/utils/SettingsDBUtils.java,6ceb23853939c6905bf2de12a6969e7568a3bf2119588a6c1d4347f4ba089b31,62,setSettingGlobalPutIntFG,global_settings_write,no explicit user argument visible,Settings.Secure/Global,"Settings.Global.putInt(contentResolver, str, i);"
artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/oobe/commons/utils/PackageHelper.java,900f2dd69d349b3b4718b7f988b7d5bd153af2e2cb3c1586600e5b048e760ad8,12,disableComponent,component_state_write,no explicit user argument visible,PackageManager component state,"context.getPackageManager().setComponentEnabledSetting(new ComponentName(context, cls), 2, 1);"
