source,source_sha256,line,class,method,setter,category,scope_observation,nearby_literals,callsite,device_mutation
decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,26056,com.amazon.android.internal.server.input.keymapping.appadapter.AppAdapterHandler,goToRegistration ()V,setComponentEnabledSetting,amazon_app_adapter,fixed registration component,com.amazon.tv.oobe/.RegistrationActivity,"02ab0c: 6e40 d702 0122 |0009: invoke-virtual {v1, v0, v2, v2}, Landroid/content/pm/PackageManager;.setComponentEnabledSetting:(Landroid/content/ComponentName;II)V // method@02d7",false
decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,30354,com.amazon.android.modeswitch.service.GeminiHandler,disableGeminiIfRequired ()V,setApplicationEnabledSetting,other_state_writer,requires caller/data-flow review,com.amazon.alexa.multimodal.gemini; com.amazon.knight.blink.BlinkNotificationListenerService; alexa_enabled; Is alexa enabled ,"02e92e: 6e40 d602 2043 |0037: invoke-virtual {v0, v2, v3, v4}, Landroid/content/pm/PackageManager;.setApplicationEnabledSetting:(Ljava/lang/String;II)V // method@02d6",false
decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,54310,com.amazon.android.server.pm.AmazonUserManagerService$BinderService,enableKftLauncherComponent (Landroid/content/pm/UserInfo;)V,setComponentEnabledSetting,amazon_kft_child_user,UserInfo.id supplied; child/profile lifecycle,Setting active admin for KFT user ; Setting profile owner for KFT user ; Free Time; com.amazon.tahoe; com.amazon.tahoe.launcher.FreeTimeLauncherActivity,"04320a: 6e52 3b00 1033 |0012: invoke-virtual {v0, v1, v3, v3, v2}, Lamazon/content/pm/AmazonPackageManager;.setComponentEnabledSetting:(Landroid/content/ComponentName;III)V // method@003b",false
decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,54318,com.amazon.android.server.pm.AmazonUserManagerService$BinderService,enableKftLauncherComponent (Landroid/content/pm/UserInfo;)V,setApplicationEnabledSetting,amazon_kft_child_user,UserInfo.id supplied; child/profile lifecycle,Setting profile owner for KFT user ; Free Time; com.amazon.tahoe; com.amazon.tahoe.launcher.FreeTimeLauncherActivity; com.amazon.firelauncher,"043228: 6e52 3a00 1034 |0021: invoke-virtual {v0, v1, v4, v3, v2}, Lamazon/content/pm/AmazonPackageManager;.setApplicationEnabledSetting:(Ljava/lang/String;III)V // method@003a",false
decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,54324,com.amazon.android.server.pm.AmazonUserManagerService$BinderService,enableKftLauncherComponent (Landroid/content/pm/UserInfo;)V,setApplicationEnabledSetting,amazon_kft_child_user,UserInfo.id supplied; child/profile lifecycle,Setting profile owner for KFT user ; Free Time; com.amazon.tahoe; com.amazon.tahoe.launcher.FreeTimeLauncherActivity; com.amazon.firelauncher; com.android.launcher3,"043242: 6e52 3a00 1034 |002e: invoke-virtual {v0, v1, v4, v3, v2}, Lamazon/content/pm/AmazonPackageManager;.setApplicationEnabledSetting:(Ljava/lang/String;III)V // method@003a",false
decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,191881,com.android.server.job.EspressoShotCallback,disableBootCompleteReceivers (Landroid/content/pm/PackageManager;Landroid/content/ComponentName;)V,setComponentEnabledSetting,espresso_boot_receiver,boot-complete receiver map; metadata/permission gated,,"0cf22a: 6e40 d702 5410 |0002: invoke-virtual {v4, v5, v0, v1}, Landroid/content/pm/PackageManager;.setComponentEnabledSetting:(Landroid/content/ComponentName;II)V // method@02d7",false
decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,192065,com.android.server.job.EspressoShotCallback,reEnableBootCompleteReceivers (Landroid/content/pm/PackageManager;Landroid/content/ComponentName;)V,setComponentEnabledSetting,espresso_boot_receiver,boot-complete receiver map; metadata/permission gated,EspressoShotCallback,"0cf314: 6e40 d702 5410 |0002: invoke-virtual {v4, v5, v0, v1}, Landroid/content/pm/PackageManager;.setComponentEnabledSetting:(Landroid/content/ComponentName;II)V // method@02d7",false
decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,293712,com.amazon.android.service.action.EnableDisableComponentAction,enableDisableComponent (Ljava/lang/String;IZ)V,setComponentEnabledSetting,amazon_product_policy,policy-file/user-list driven; trusted system service,Failed to enable/disabble component - Package Manager not available,"052688: 6e57 3b00 0211 |0021: invoke-virtual {v2, v0, v1, v1, v7}, Lamazon/content/pm/AmazonPackageManager;.setComponentEnabledSetting:(Landroid/content/ComponentName;III)V // method@003b",false
decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,293717,com.amazon.android.service.action.EnableDisableComponentAction,enableDisableComponent (Ljava/lang/String;IZ)V,setApplicationEnabledSetting,amazon_product_policy,policy-file/user-list driven; trusted system service,Failed to enable/disabble component - Package Manager not available,"052698: 6e57 3a00 6211 |0029: invoke-virtual {v2, v6, v1, v1, v7}, Lamazon/content/pm/AmazonPackageManager;.setApplicationEnabledSetting:(Ljava/lang/String;III)V // method@003a",false
decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,ecbe62fe8eb8bd575da8b2a73a155875df937073ccc2faa020ca592c0515151c,293735,com.amazon.android.service.action.EnableDisableComponentAction,enableDisableComponent (Ljava/lang/String;IZ)V,setComponentEnabledSetting,amazon_product_policy,policy-file/user-list driven; trusted system service,Failed to enable/disabble component - Package Manager not available; Enabled ;  for user: ,"0526e8: 6e57 3b00 0312 |0051: invoke-virtual {v3, v0, v2, v1, v7}, Lamazon/content/pm/AmazonPackageManager;.setComponentEnabledSetting:(Landroid/content/ComponentName;III)V // method@003b",false
