callee_resolution,callee_symbol,caller_label,instruction,target_address
symbol,_Z16RegisterFunctionRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEEPFP5ValuePKcP5StateRKNS_6vectorINS_10unique_ptrI4ExprNS_14default_deleteISG_EEEENS3_ISJ_EEEEE,RegisterBlockImageFunction,0x40d0fc,0x41d528
address-only,,RegisterBlockImageFunction,0x40d10c,0x4917f0
symbol,_Z16RegisterFunctionRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEEPFP5ValuePKcP5StateRKNS_6vectorINS_10unique_ptrI4ExprNS_14default_deleteISG_EEEENS3_ISJ_EEEEE,RegisterBlockImageFunction,0x40d144,0x41d528
address-only,,RegisterBlockImageFunction,0x40d154,0x4917f0
symbol,_Z16RegisterFunctionRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEEPFP5ValuePKcP5StateRKNS_6vectorINS_10unique_ptrI4ExprNS_14default_deleteISG_EEEENS3_ISJ_EEEEE,RegisterBlockImageFunction,0x40d190,0x41d528
address-only,,RegisterBlockImageFunction,0x40d1a0,0x4917f0
symbol,_Z16RegisterFunctionRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEEPFP5ValuePKcP5StateRKNS_6vectorINS_10unique_ptrI4ExprNS_14default_deleteISG_EEEENS3_ISJ_EEEEE,RegisterBlockImageFunction,0x40d1d8,0x41d528
address-only,,RegisterBlockImageFunction,0x40d1e8,0x4917f0
symbol,_Z16RegisterFunctionRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEEPFP5ValuePKcP5StateRKNS_6vectorINS_10unique_ptrI4ExprNS_14default_deleteISG_EEEENS3_ISJ_EEEEE,RegisterBlockImageFunction,0x40d224,0x41d528
address-only,,RegisterBlockImageFunction,0x40d234,0x4917f0
symbol,__stack_chk_fail,RegisterBlockImageFunction,0x40d258,0x4d4440
symbol,_Z16FreeSpaceForFilePKc,MakeFreeSpaceOnCache,0x4177b4,0x414698
