focus_label,name,address,size,binding,section_index
RegisterBlockImageFunction,_Z27RegisterBlockImageFunctionsv,0x40d0a8,436,1,3
MakeFreeSpaceOnCache,_Z20MakeFreeSpaceOnCachem,0x417778,2124,1,3
BlockImageVerifyFn,_Z18BlockImageVerifyFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,0x407c48,16,1,3
BlockImageUpdateFn,_Z18BlockImageUpdateFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,0x40b8b8,16,1,3
BlockImageRecoverFn,_Z19BlockImageRecoverFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,0x40cbc0,1256,1,3
PerformBlockImageUpdate,_ZL23PerformBlockImageUpdatePKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEEPK7Commandmb,0x408f08,10672,0,3
LoadSrcTgtVersion3,_ZL18LoadSrcTgtVersion3R17CommandParametersR8RangeSetPmbPb,0x40d260,6040,0,3
VerifyBlocks,_ZL12VerifyBlocksRKNSt3__112basic_stringIcNS_11char_traitsIcEENS_9allocatorIcEEEERKNS_6vectorIhNS3_IhEEEEmb,0x40ede0,600,0,3
WriteToPartition,_Z16WriteToPartitionPKhmRKNSt3__112basic_stringIcNS1_11char_traitsIcEENS1_9allocatorIcEEEE,0x413c40,1712,1,3
WipeBlockDeviceFn,_Z17WipeBlockDeviceFnPKcP5StateRKNSt3__16vectorINS3_10unique_ptrI4ExprNS3_14default_deleteIS6_EEEENS3_9allocatorIS9_EEEE,0x406508,540,1,3
readlink,readlink,0x4cc3d8,36,1,3
__readlink_chk,__readlink_chk,0x4ce4e8,108,1,3
readlinkat,readlinkat,0x4d48a8,24,1,3
