method,descriptor,transaction_code,proxy_line,transaction_line,implementation_range
createKeyboardDevice,()Z,7,388907,388922,19215-19247
createMouseDevice,()Z,5,388945,388960,19248-19280
destroyKeyboardDevice,()Z,8,388983,388998,19281-19309
destroyMouseDevice,()Z,6,389021,389036,19310-19338
dispatchKeyEventListenerCallbacks,(Landroid/view/InputEvent;)V,20,389059,389083,19339-19467
endVolumeAdjustment,()V,4,389099,389114,19468-19482
getLastKeyEventTime,()J,21,389136,389151,19483-19490
getToggleBitRegister,()B,23,389170,389185,19491-19507
inject,(IIII)I,1,389204,389227,19508-19629
injectSequence,(I[I[I[I[J)I,2,389246,389271,19630-19714
postInputEventCallback,(Landroid/view/InputEvent;)V,19,389290,389314,19715-19776
registerKeyEventIdleTimeListener,(Lcom/amazon/android/internal/hardware/input/IKeyEventIdleCallback;J[I)V,17,389330,389356,19777-19828
registerKeyEventInterceptor,(Lcom/amazon/android/internal/hardware/input/IKeyEventCallback;[IZZ)Z,25,389372,389400,19829-19999
registerKeyEventListListener,(Lcom/amazon/android/internal/hardware/input/IKeyEventCallback;[I)V,13,389423,389447,20000-20047
registerKeyEventListener,(Lcom/amazon/android/internal/hardware/input/IKeyEventCallback;)V,11,389463,389485,20048-20076
registerNextKeyEventListener,(Lcom/amazon/android/internal/hardware/input/IKeyEventNextCallback;)V,15,389501,389523,20077-20111
setInputFilter,(Landroid/view/IInputFilter;)V,9,389539,389558,20112-20122
setLedState,(IIZ)V,10,389569,389590,20123-20129
setToggleBitButtonMap,(Lcom/amazon/android/internal/hardware/input/ToggleBitButtonMap;)V,24,389606,389629,20130-20156
setToggleBitRegister,(B)Z,22,389639,389656,20157-20173
startVolumeAdjustment,(II)V,3,389679,389698,20174-20256
unRegisterKeyEventIdleTimeListener,(Lcom/amazon/android/internal/hardware/input/IKeyEventIdleCallback;)V,18,389714,389736,20257-20294
unRegisterKeyEventInterceptor,(Lcom/amazon/android/internal/hardware/input/IKeyEventCallback;[I)V,26,389752,389775,20295-20447
unRegisterKeyEventListListener,(Lcom/amazon/android/internal/hardware/input/IKeyEventCallback;)V,14,389785,389807,20448-20488
unRegisterKeyEventListener,(Lcom/amazon/android/internal/hardware/input/IKeyEventCallback;)V,12,389823,389845,20489-20513
unRegisterNextKeyEventListener,(Lcom/amazon/android/internal/hardware/input/IKeyEventNextCallback;)V,16,389861,389883,20514-20547
