source,source_sha256,line,class,method,package,target,kind,scope,scope_observation,nearby_literals,permission_markers,identity_markers,user_scope_markers,callsite,direct_fire_literal,direct_home_literal,device_mutation
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,367356,amazon.content.pm.AmazonPackageManagerImpl,addPreferredActivity (Landroid/content/IntentFilter;I[Landroid/content/ComponentName;Landroid/content/ComponentName;)V,amazon.content.pm,addPreferredActivity,direct_callsite,other,non-Amazon bounded corpus,,,,,"[new] 07602a: 6e55 1b08 2043 |0002: invoke-virtual {v0, v2, v3, v4, v5}, Landroid/content/pm/PackageManager;.addPreferredActivity:(Landroid/content/IntentFilter;I[Landroid/content/ComponentName;Landroid/content/ComponentName;)V // method@081b",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,367451,amazon.content.pm.AmazonPackageManagerImpl,clearPackagePreferredActivities (Ljava/lang/String;)V,amazon.content.pm,clearPackagePreferredActivities,direct_callsite,other,non-Amazon bounded corpus,,,,,"[new] 07607c: 6e20 2408 2000 |0002: invoke-virtual {v0, v2}, Landroid/content/pm/PackageManager;.clearPackagePreferredActivities:(Ljava/lang/String;)V // method@0824",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,369211,<unknown>,replacePreferredActivity (Landroid/content/IntentFilter;I[Landroid/content/ComponentName;Landroid/content/ComponentName;)V,<unknown>,replacePreferredActivity,direct_callsite,other,non-Amazon bounded corpus,,,,,"[new] 07627e: 6e55 c008 2043 |0002: invoke-virtual {v0, v2, v3, v4, v5}, Landroid/content/pm/PackageManager;.replacePreferredActivity:(Landroid/content/IntentFilter;I[Landroid/content/ComponentName;Landroid/content/ComponentName;)V // method@08c0",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,369326,<unknown>,setApplicationEnabledSetting (Ljava/lang/String;II)V,<unknown>,setApplicationEnabledSetting,direct_callsite,other,non-Amazon bounded corpus,,,,,"[new] 0762c8: 6e40 ca08 2043 |0002: invoke-virtual {v0, v2, v3, v4}, Landroid/content/pm/PackageManager;.setApplicationEnabledSetting:(Ljava/lang/String;II)V // method@08ca",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,369344,<unknown>,setApplicationEnabledSetting (Ljava/lang/String;III)V,<unknown>,setApplicationEnabledSetting,direct_callsite,other,non-Amazon bounded corpus,,,,,"0762ec: 7806 1008 0000 |000c: invoke-interface/range {v0, v1, v2, v3, v4, v5}, Landroid/content/pm/IPackageManager;.setApplicationEnabledSetting:(Ljava/lang/String;IIILjava/lang/String;)V // method@0810",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,369359,<unknown>,setApplicationHiddenSettingAsUser (Ljava/lang/String;ZLandroid/os/UserHandle;)Z,<unknown>,setApplicationHiddenSettingAsUser,direct_callsite,other,non-Amazon bounded corpus,,,,AsUser; UserHandle,"[new] 075a1e: 6e40 cb08 2043 |0002: invoke-virtual {v0, v2, v3, v4}, Landroid/content/pm/PackageManager;.setApplicationHiddenSettingAsUser:(Ljava/lang/String;ZLandroid/os/UserHandle;)Z // method@08cb",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,369367,<unknown>,setComponentEnabledSetting (Landroid/content/ComponentName;II)V,<unknown>,setComponentEnabledSetting,direct_callsite,other,non-Amazon bounded corpus,,,,AsUser; UserHandle,"000906: 6e40 cc08 2043 |0002: invoke-virtual {v0, v2, v3, v4}, Landroid/content/pm/PackageManager;.setComponentEnabledSetting:(Landroid/content/ComponentName;II)V // method@08cc",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-fosframework/disassembly.log,fc101d798368bf91fae1ee553e44964d52bb9e2287652de8c92b43964600ad71,369374,<unknown>,setComponentEnabledSetting (Landroid/content/ComponentName;III)V,<unknown>,setComponentEnabledSetting,direct_callsite,other,non-Amazon bounded corpus,,,,AsUser; UserHandle,"000916: 7257 1108 4065 |0002: invoke-interface {v0, v4, v5, v6, v7}, Landroid/content/pm/IPackageManager;.setComponentEnabledSetting:(Landroid/content/ComponentName;III)V // method@0811",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,50474,android.app.admin.DevicePolicyManager,addPersistentPreferredActivity (Landroid/content/ComponentName;Landroid/content/IntentFilter;Landroid/content/ComponentName;)V,android.app.admin,addPersistentPreferredActivity,direct_callsite,aosp_framework,AOSP/system_server or framework namespace,,,,,"1843a8: 7240 4f2d 3054 |000b: invoke-interface {v0, v3, v4, v5}, Landroid/app/admin/IDevicePolicyManager;.addPersistentPreferredActivity:(Landroid/content/ComponentName;Landroid/content/IntentFilter;Landroid/content/ComponentName;)V // method@2d4f",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,442564,android.app.ApplicationPackageManager,addPreferredActivity (Landroid/content/IntentFilter;I[Landroid/content/ComponentName;Landroid/content/ComponentName;)V,android.app,addPreferredActivity,direct_callsite,aosp_framework,AOSP/system_server or framework namespace,,,,UserId,"15824a: 7806 7b52 0000 |000c: invoke-interface/range {v0, v1, v2, v3, v4, v5}, Landroid/content/pm/IPackageManager;.addPreferredActivity:(Landroid/content/IntentFilter;I[Landroid/content/ComponentName;Landroid/content/ComponentName;I)V // method@527b",false,false,false
