edge_id,caller,callee,operation,scope_or_guard,source,location,home_effect,verdict
6MY-E01,AmazonPackageManagerService.onBootPhase,BootAfterSystemOTAReceiver.onReceive,"mContext.sendBroadcast(BOOT_AFTER_SYSTEM_OTA, RECEIVE_BOOT_AFTER_SYSTEM_OTA)",boot phase 550 AND PackageManagerService.isUpgrade(),decompiled/baksmali/vdexExtractor/fosservices/disassembly.log,96087-96126,lifecycle trigger only,CONFIRMED_STATIC
6MY-E02,BootAfterSystemOTAReceiver.onReceive,BootAfterSystemOTAReceiver.enableIncrementalFlow,guarded action branch,BOOT_AFTER_SYS_OTA AND !isOOBEAlreadyRunning AND isNotInDemoMode,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/kindle/otter/oobe/BootAfterSystemOTAReceiver.java,27-46,enters incremental OOBE only,CONFIRMED_STATIC
6MY-E03,BootAfterSystemOTAReceiver.enableIncrementalFlow,PackageHelper.enableComponent,"enableComponent(context, OobeHomeActivity.class)",inherits receiver Context,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/kindle/otter/oobe/BootAfterSystemOTAReceiver.java,56-61,"enables OobeHomeActivity, not Fire Launcher",CONFIRMED_STATIC
6MY-E04,PackageHelper.enableComponent,PackageManager.setComponentEnabledSetting,"state=1, flags=1, ComponentName(context, OobeHomeActivity)",context-derived user; no explicit user argument,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/oobe/commons/utils/PackageHelper.java,16-18,OOBE component-state mutation only,CONFIRMED_STATIC
6MY-E05,BootAfterSystemOTAReceiver.enableIncrementalFlow,OOBEActivationHelper.activateOOBEIF,activateOOBEIF(context),inherits receiver Context,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/kindle/otter/oobe/BootAfterSystemOTAReceiver.java,56-61,writes OOBE setup state; no preferred/HOME API,CONFIRMED_STATIC
6MY-E06,OOBEActivationHelper.activateOOBEIF,SettingsDBUtils.setSettingSecurePutIntFG,user_setup_complete=0; isOOBEActive=1,ContentResolver from supplied Context,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/kindle/otter/oobe/commons/OOBEActivationHelper.java,53-56,OOBE setup state only,CONFIRMED_STATIC
6MY-E07,SettingsDBUtils.setSettingSecurePutIntFG,Settings.Secure.putInt,"putInt(ContentResolver, key, value)",no explicit putIntForUser at reviewed callsite,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/oobe/commons/utils/SettingsDBUtils.java,51-64,OOBE setup state only,CONFIRMED_STATIC
6MY-E08,ActivityThread.handleReceiver / ContextImpl,PackageManager and Settings provider calls,receiver-restricted Context retains mUser; provider uses getUserId(),exact numeric user remains unencoded in preserved callsite,decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,435176-435236; 449092-449185; 452137-452150,"context-bound user scope, not a User-0 proof",STRONG_CONTEXT_SCOPE
6MY-E09,BootAfterSystemOTAReceiver.onReceive catch(Throwable),PackageManager.setComponentEnabledSetting,"state=2, flags=1, BootAfterSystemOTAReceiver",only exception path; receiver self-disables,artifacts/phase6j/ota-oobe-ps7331-jadx-20260805-01/sources/com/amazon/kindle/otter/oobe/BootAfterSystemOTAReceiver.java,43-46,receiver self-disable; no Fire Launcher reference,CONFIRMED_STATIC
6MY-E10,OOBE manifest receiver declaration,BootAfterSystemOTAReceiver,enabled directBootAware receiver for BOOT_AFTER_SYSTEM_OTA,APK requests RECEIVE_BOOT_AFTER_SYSTEM_OTA; receiver block has no android:permission,artifacts/phase6j/ota-oobe-manifest-audit-20260805-01/manifest.txt,279-283; 531-541,protected lifecycle metadata; not a shell selector,CONFIRMED_METADATA
