label	status	started_utc	finished_utc	command	output
device_get_state	0	2026-08-03T01:04:16Z	2026-08-03T01:04:16Z	adb -s 'G001LT0511550CFT' 'get-state'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/fireos-config/CONFIG-20260803-02/get_state.txt
getprop_all	0	2026-08-03T01:04:16Z	2026-08-03T01:04:16Z	adb -s 'G001LT0511550CFT' 'shell' 'getprop'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/fireos-config/CONFIG-20260803-02/device_properties.txt
ls__fireos	1	2026-08-03T01:04:16Z	2026-08-03T01:04:16Z	adb -s 'G001LT0511550CFT' 'shell' 'ls' '-ld' '/fireos'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/fireos-config/CONFIG-20260803-02/paths/ls__fireos.txt
ls__system_fireos	0	2026-08-03T01:04:16Z	2026-08-03T01:04:16Z	adb -s 'G001LT0511550CFT' 'shell' 'ls' '-ld' '/system/fireos'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/fireos-config/CONFIG-20260803-02/paths/ls__system_fireos.txt
ls__product_fireos	1	2026-08-03T01:04:16Z	2026-08-03T01:04:16Z	adb -s 'G001LT0511550CFT' 'shell' 'ls' '-ld' '/product/fireos'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/fireos-config/CONFIG-20260803-02/paths/ls__product_fireos.txt
ls__system_ext_fireos	1	2026-08-03T01:04:16Z	2026-08-03T01:04:16Z	adb -s 'G001LT0511550CFT' 'shell' 'ls' '-ld' '/system_ext/fireos'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/fireos-config/CONFIG-20260803-02/paths/ls__system_ext_fireos.txt
ls__vendor_fireos	1	2026-08-03T01:04:16Z	2026-08-03T01:04:16Z	adb -s 'G001LT0511550CFT' 'shell' 'ls' '-ld' '/vendor/fireos'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/fireos-config/CONFIG-20260803-02/paths/ls__vendor_fireos.txt
ls__fireos_etc	1	2026-08-03T01:04:16Z	2026-08-03T01:04:16Z	adb -s 'G001LT0511550CFT' 'shell' 'ls' '-ld' '/fireos/etc'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/fireos-config/CONFIG-20260803-02/paths/ls__fireos_etc.txt
ls__system_fireos_etc	0	2026-08-03T01:04:17Z	2026-08-03T01:04:17Z	adb -s 'G001LT0511550CFT' 'shell' 'ls' '-ld' '/system/fireos/etc'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/fireos-config/CONFIG-20260803-02/paths/ls__system_fireos_etc.txt
ls__product_fireos_etc	1	2026-08-03T01:04:17Z	2026-08-03T01:04:17Z	adb -s 'G001LT0511550CFT' 'shell' 'ls' '-ld' '/product/fireos/etc'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/device/fireos-config/CONFIG-20260803-02/paths/ls__product_fireos_etc.txt
