fireos_class	aosp_class	score	reason
com.android.server.am.ActivityManagerService	com.android.server.am.ActivityManagerService	1.00	exact-qualified-name
com.android.server.am.ActivityStack	com.android.server.am.ActivityStack	1.00	exact-qualified-name
com.android.server.am.ActivityStackHandler	com.android.server.am.ActivityStackHandler	1.00	exact-qualified-name
com.android.server.am.ActivityStackSupervisor	com.android.server.am.ActivityStackSupervisor	1.00	exact-qualified-name
com.android.server.am.ActivityStackSupervisorHandler	com.android.server.am.ActivityStackSupervisorHandler	1.00	exact-qualified-name
com.android.server.am.ActivityStarter	com.android.server.am.ActivityStarter	1.00	exact-qualified-name
com.android.server.am.ActivityState	com.android.server.am.ActivityState	1.00	exact-qualified-name
com.android.server.am.AppDeathRecipient	com.android.server.am.AppDeathRecipient	1.00	exact-qualified-name
com.android.server.am.Association	com.android.server.am.Association	1.00	exact-qualified-name
com.android.server.am.DumpStackFileObserver	com.android.server.am.DumpStackFileObserver	1.00	exact-qualified-name
com.android.server.am.Factory	com.android.server.am.Factory	1.00	exact-qualified-name
com.android.server.am.FindTaskResult	com.android.server.am.FindTaskResult	1.00	exact-qualified-name
com.android.server.am.GrantUri	com.android.server.am.GrantUri	1.00	exact-qualified-name
com.android.server.am.HiddenApiSettings	com.android.server.am.HiddenApiSettings	1.00	exact-qualified-name
com.android.server.am.Identity	com.android.server.am.Identity	1.00	exact-qualified-name
com.android.server.am.ImportanceToken	com.android.server.am.ImportanceToken	1.00	exact-qualified-name
com.android.server.am.Injector	com.android.server.am.Injector	1.00	exact-qualified-name
com.android.server.am.ItemMatcher	com.android.server.am.ItemMatcher	1.00	exact-qualified-name
com.android.server.am.KillHandler	com.android.server.am.KillHandler	1.00	exact-qualified-name
com.android.server.am.LocalService	com.android.server.am.LocalService	1.00	exact-qualified-name
com.android.server.am.MainHandler	com.android.server.am.MainHandler	1.00	exact-qualified-name
com.android.server.am.NeededUriGrants	com.android.server.am.NeededUriGrants	1.00	exact-qualified-name
com.android.server.am.OomAdjObserver	com.android.server.am.OomAdjObserver	1.00	exact-qualified-name
com.android.server.am.PendingActivityLaunch	com.android.server.am.PendingActivityLaunch	1.00	exact-qualified-name
com.android.server.am.PendingAssistExtras	com.android.server.am.PendingAssistExtras	1.00	exact-qualified-name
com.android.server.am.PendingTempWhitelist	com.android.server.am.PendingTempWhitelist	1.00	exact-qualified-name
com.android.server.am.ProcessChangeItem	com.android.server.am.ProcessChangeItem	1.00	exact-qualified-name
com.android.server.am.Request	com.android.server.am.Request	1.00	exact-qualified-name
com.android.server.am.ScheduleDestroyArgs	com.android.server.am.ScheduleDestroyArgs	1.00	exact-qualified-name
com.android.server.am.SleepTokenImpl	com.android.server.am.SleepTokenImpl	1.00	exact-qualified-name
com.android.server.am.UiHandler	com.android.server.am.UiHandler	1.00	exact-qualified-name
com.android.server.am.UidObserverRegistration	com.android.server.am.UidObserverRegistration	1.00	exact-qualified-name
com.android.server.am.UpdateConfigurationResult	com.android.server.am.UpdateConfigurationResult	1.00	exact-qualified-name
com.android.server.am.WaitInfo	com.android.server.am.WaitInfo	1.00	exact-qualified-name
com.android.server.devicepolicy.ActiveAdmin	com.android.server.devicepolicy.ActiveAdmin	1.00	exact-qualified-name
com.android.server.devicepolicy.DevicePolicyData	com.android.server.devicepolicy.DevicePolicyData	1.00	exact-qualified-name
com.android.server.devicepolicy.DevicePolicyManagerService	com.android.server.devicepolicy.DevicePolicyManagerService	1.00	exact-qualified-name
com.android.server.devicepolicy.Injector	com.android.server.devicepolicy.Injector	1.00	exact-qualified-name
com.android.server.devicepolicy.LocalService	com.android.server.devicepolicy.LocalService	1.00	exact-qualified-name
com.android.server.devicepolicy.RestrictionsListener	com.android.server.devicepolicy.RestrictionsListener	1.00	exact-qualified-name
com.android.server.devicepolicy.SetupContentObserver	com.android.server.devicepolicy.SetupContentObserver	1.00	exact-qualified-name
com.android.server.devicepolicy.TrustAgentInfo	com.android.server.devicepolicy.TrustAgentInfo	1.00	exact-qualified-name
com.android.server.input.InputDevicesChangedListenerRecord	com.android.server.input.InputDevicesChangedListenerRecord	1.00	exact-qualified-name
com.android.server.input.InputManagerHandler	com.android.server.input.InputManagerHandler	1.00	exact-qualified-name
com.android.server.input.InputManagerService	com.android.server.input.InputManagerService	1.00	exact-qualified-name
com.android.server.input.KeyboardLayoutDescriptor	com.android.server.input.KeyboardLayoutDescriptor	1.00	exact-qualified-name
com.android.server.input.KeyboardLayoutVisitor	com.android.server.input.KeyboardLayoutVisitor	1.00	exact-qualified-name
com.android.server.input.TabletModeChangedListenerRecord	com.android.server.input.TabletModeChangedListenerRecord	1.00	exact-qualified-name
com.android.server.input.VibratorToken	com.android.server.input.VibratorToken	1.00	exact-qualified-name
com.android.server.pm.ActionIterGenerator	com.android.server.pm.ActionIterGenerator	1.00	exact-qualified-name
com.android.server.pm.ActivityIntentResolver	com.android.server.pm.ActivityIntentResolver	1.00	exact-qualified-name
com.android.server.pm.AuthoritiesIterGenerator	com.android.server.pm.AuthoritiesIterGenerator	1.00	exact-qualified-name
com.android.server.pm.BlobXmlRestorer	com.android.server.pm.BlobXmlRestorer	1.00	exact-qualified-name
com.android.server.pm.CategoriesIterGenerator	com.android.server.pm.CategoriesIterGenerator	1.00	exact-qualified-name
com.android.server.pm.ClearStorageConnection	com.android.server.pm.ClearStorageConnection	1.00	exact-qualified-name
com.android.server.pm.CrossProfileDomainInfo	com.android.server.pm.CrossProfileDomainInfo	1.00	exact-qualified-name
com.android.server.pm.DefaultContainerConnection	com.android.server.pm.DefaultContainerConnection	1.00	exact-qualified-name
com.android.server.pm.FileInstallArgs	com.android.server.pm.FileInstallArgs	1.00	exact-qualified-name
com.android.server.pm.HandlerParams	com.android.server.pm.HandlerParams	1.00	exact-qualified-name
com.android.server.pm.IFVerificationParams	com.android.server.pm.IFVerificationParams	1.00	exact-qualified-name
com.android.server.pm.InstallArgs	com.android.server.pm.InstallArgs	1.00	exact-qualified-name
com.android.server.pm.InstallParams	com.android.server.pm.InstallParams	1.00	exact-qualified-name
com.android.server.pm.InstantAppIntentResolver	com.android.server.pm.InstantAppIntentResolver	1.00	exact-qualified-name
com.android.server.pm.IntentFilterVerifier	com.android.server.pm.IntentFilterVerifier	1.00	exact-qualified-name
com.android.server.pm.IterGenerator	com.android.server.pm.IterGenerator	1.00	exact-qualified-name
com.android.server.pm.KernelPackageState	com.android.server.pm.KernelPackageState	1.00	exact-qualified-name
com.android.server.pm.MoveCallbacks	com.android.server.pm.MoveCallbacks	1.00	exact-qualified-name
com.android.server.pm.MoveInfo	com.android.server.pm.MoveInfo	1.00	exact-qualified-name
com.android.server.pm.MoveInstallArgs	com.android.server.pm.MoveInstallArgs	1.00	exact-qualified-name
com.android.server.pm.OnPermissionChangeListeners	com.android.server.pm.OnPermissionChangeListeners	1.00	exact-qualified-name
com.android.server.pm.OriginInfo	com.android.server.pm.OriginInfo	1.00	exact-qualified-name
com.android.server.pm.PackageFreezer	com.android.server.pm.PackageFreezer	1.00	exact-qualified-name
com.android.server.pm.PackageHandler	com.android.server.pm.PackageHandler	1.00	exact-qualified-name
com.android.server.pm.PackageInstalledInfo	com.android.server.pm.PackageInstalledInfo	1.00	exact-qualified-name
com.android.server.pm.PackageManagerService	com.android.server.pm.PackageManagerService	1.00	exact-qualified-name
com.android.server.pm.PackageRemovedInfo	com.android.server.pm.PackageRemovedInfo	1.00	exact-qualified-name
com.android.server.pm.PackageSender	com.android.server.pm.PackageSender	1.00	exact-qualified-name
com.android.server.pm.PackageSetting	com.android.server.pm.PackageSetting	1.00	exact-qualified-name
com.android.server.pm.PendingPackageBroadcasts	com.android.server.pm.PendingPackageBroadcasts	1.00	exact-qualified-name
com.android.server.pm.PersistentPreferredIntentResolver	com.android.server.pm.PersistentPreferredIntentResolver	1.00	exact-qualified-name
com.android.server.pm.PostInstallData	com.android.server.pm.PostInstallData	1.00	exact-qualified-name
com.android.server.pm.PreferredActivity	com.android.server.pm.PreferredActivity	1.00	exact-qualified-name
com.android.server.pm.ProtectedPackages	com.android.server.pm.ProtectedPackages	1.00	exact-qualified-name
com.android.server.pm.ProviderIntentResolver	com.android.server.pm.ProviderIntentResolver	1.00	exact-qualified-name
com.android.server.pm.RestoredPermissionGrant	com.android.server.pm.RestoredPermissionGrant	1.00	exact-qualified-name
com.android.server.pm.RuntimePermissionPersistence	com.android.server.pm.RuntimePermissionPersistence	1.00	exact-qualified-name
com.android.server.pm.ScanRequest	com.android.server.pm.ScanRequest	1.00	exact-qualified-name
com.android.server.pm.ScanResult	com.android.server.pm.ScanResult	1.00	exact-qualified-name
com.android.server.pm.SchemesIterGenerator	com.android.server.pm.SchemesIterGenerator	1.00	exact-qualified-name
com.android.server.pm.ServiceIntentResolver	com.android.server.pm.ServiceIntentResolver	1.00	exact-qualified-name
com.android.server.pm.Settings	com.android.server.pm.Settings	1.00	exact-qualified-name
com.android.server.pm.SharedLibraryEntry	com.android.server.pm.SharedLibraryEntry	1.00	exact-qualified-name
com.android.server.pm.VerificationInfo	com.android.server.pm.VerificationInfo	1.00	exact-qualified-name
com.android.server.pm.VersionInfo	com.android.server.pm.VersionInfo	1.00	exact-qualified-name
com.android.server.pm.name	com.android.server.pm.name	1.00	exact-qualified-name
com.android.server.wm.AppFreezeListener	com.android.server.wm.AppFreezeListener	1.00	exact-qualified-name
com.android.server.wm.H	com.android.server.wm.H	1.00	exact-qualified-name
com.android.server.wm.MousePositionTracker	com.android.server.wm.MousePositionTracker	1.00	exact-qualified-name
com.android.server.wm.RotationWatcher	com.android.server.wm.RotationWatcher	1.00	exact-qualified-name
com.android.server.wm.WindowChangeListener	com.android.server.wm.WindowChangeListener	1.00	exact-qualified-name
com.android.server.wm.WindowManagerService	com.android.server.wm.WindowManagerService	1.00	exact-qualified-name
com.android.systemui.recents.LaunchHomeRunnable	com.android.systemui.recents.LaunchHomeRunnable	1.00	exact-qualified-name
com.android.systemui.recents.RecentsActivity	com.android.systemui.recents.RecentsActivity	1.00	exact-qualified-name
android.arch.lifecycle.has	android.content.pm.has	0.80	unique-simple-name
com.android.server.EnabledState	android.content.pm.EnabledState	0.80	unique-simple-name
com.android.server.MyHandler	com.android.server.pm.MyHandler	0.80	unique-simple-name
com.android.server.UidObserver	android.app.UidObserver	0.80	unique-simple-name
com.android.server.pm.Stats	com.android.server.devicepolicy.Stats	0.80	unique-simple-name
com.google.common.collect.Lists	com.android.server.am.lists	0.70	unique-normalized-simple-name
