fireos_class	aosp_class	side	method	class_match_score
com.android.server.am.ActivityManagerService	com.android.server.am.ActivityManagerService	fireos-only	allowFilterResult(BroadcastFilter filter, List<BroadcastFilter> dest)	1.00
com.android.server.am.ActivityManagerService	com.android.server.am.ActivityManagerService	fireos-only	dump(FileDescriptor fd, PrintWriter pw, String[] args, boolean asProto)	1.00
com.android.server.am.ActivityManagerService	com.android.server.am.ActivityManagerService	fireos-only	dumpCritical(FileDescriptor fd, PrintWriter pw, String[] args, boolean asProto)	1.00
com.android.server.am.ActivityManagerService	com.android.server.am.ActivityManagerService	fireos-only	dumpNormal(FileDescriptor fd, PrintWriter pw, String[] args, boolean asProto)	1.00
com.android.server.am.ActivityManagerService	com.android.server.am.ActivityManagerService	fireos-only	if(asProto)	1.00
com.android.server.am.ActivityManagerService	com.android.server.am.ActivityManagerService	fireos-only	if(userId == -1 || filter.owningUserId == -1 || userId == filter.owningUserId)	1.00
com.android.server.am.ActivityManagerService	com.android.server.am.ActivityManagerService	fireos-only	isPackageForFilter(String packageName, BroadcastFilter filter)	1.00
com.android.server.am.ActivityManagerService	com.android.server.am.ActivityManagerService	fireos-only	newArray(int size)	1.00
com.android.server.am.ActivityManagerService	com.android.server.am.ActivityManagerService	fireos-only	newResult(BroadcastFilter filter, int match, int userId)	1.00
com.android.server.am.ActivityManagerService	com.android.server.am.ActivityManagerService	aosp-only	broadcastQueueForIntent(Intent intent)	1.00
com.android.server.am.ActivityStack	com.android.server.am.ActivityStack	aosp-only	getChildAt(int index)	1.00
com.android.server.am.ActivityStack	com.android.server.am.ActivityStack	aosp-only	getChildCount()	1.00
com.android.server.am.ActivityStack	com.android.server.am.ActivityStack	aosp-only	getDisplay()	1.00
com.android.server.am.ActivityStack	com.android.server.am.ActivityStack	aosp-only	getParent()	1.00
com.android.server.am.ActivityStack	com.android.server.am.ActivityStack	aosp-only	onParentChanged()	1.00
com.android.server.am.ActivityStackHandler	com.android.server.am.ActivityStackHandler	fireos-only	ActivityStack(ActivityDisplay activityDisplay, int i, ActivityStackSupervisor activityStackSupervisor, int i2, int i3, boolean z)	1.00
com.android.server.am.ActivityStackHandler	com.android.server.am.ActivityStackHandler	fireos-only	IllegalArgumentException("Changing pinned windowing mode not currently supported")	1.00
com.android.server.am.ActivityStackHandler	com.android.server.am.ActivityStackHandler	fireos-only	IllegalArgumentException("Setting primary split-screen windowing mode while there is already one isn't currently supported")	1.00
com.android.server.am.ActivityStackHandler	com.android.server.am.ActivityStackHandler	fireos-only	IllegalStateException("Stack is not attached to any display, stackId=" + this.mStackId)	1.00
com.android.server.am.ActivityStackHandler	com.android.server.am.ActivityStackHandler	fireos-only	IllegalStateException("activity no longer associated with task:" + r)	1.00
com.android.server.am.ActivityStackHandler	com.android.server.am.ActivityStackHandler	fireos-only	activityDestroyedLocked(ActivityRecord record, String reason)	1.00
com.android.server.am.ActivityStackHandler	com.android.server.am.ActivityStackHandler	fireos-only	activityDestroyedLocked(IBinder token, String reason)	1.00
com.android.server.am.ActivityStackHandler	com.android.server.am.ActivityStackHandler	fireos-only	activityPausedLocked(IBinder token, boolean timeout)	1.00
com.android.server.am.ActivityStackHandler	com.android.server.am.ActivityStackHandler	fireos-only	activityPausedLocked(this.mPausingActivity.appToken, true)	1.00
com.android.server.am.ActivityStackHandler	com.android.server.am.ActivityStackHandler	fireos-only	addStartingWindowsForVisibleActivities(boolean taskSwitch)	1.00
com.android.server.am.ActivityStackHandler	com.android.server.am.ActivityStackHandler	fireos-only	addTask(TaskRecord task, boolean toTop, String reason)	1.00
