pattern	file	line	text
home:launchHome	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/settings/DeveloperOptionsFragment.java	360	preference2.setKey("launchHomeTutorial");
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/AndroidManifest.xml	136	<action android:name="android.intent.action.MAIN"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/AndroidManifest.xml	216	<action android:name="android.intent.action.MAIN"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/AndroidManifest.xml	234	<action android:name="android.intent.action.MAIN"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/AndroidManifest.xml	256	<action android:name="android.intent.action.MAIN"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/AndroidManifest.xml	274	<action android:name="android.intent.action.MAIN"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/AndroidManifest.xml	567	<action android:name="android.intent.action.MAIN"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/res/xml/default_workspace_3x3.xml	8	<favorite launcher:uri="#Intent;action=android.intent.action.MAIN;category=android.intent.category.APP_MESSAGING;end"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/res/xml/default_workspace_3x3.xml	27	<favorite launcher:uri="#Intent;action=android.intent.action.MAIN;category=android.intent.category.APP_EMAIL;end"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/res/xml/default_workspace_3x3.xml	34	<favorite launcher:uri="#Intent;action=android.intent.action.MAIN;category=android.intent.category.APP_GALLERY;end"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/res/xml/default_workspace_3x3.xml	41	<favorite launcher:uri="#Intent;action=android.intent.action.MAIN;category=android.intent.category.APP_MARKET;end"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/res/xml/default_workspace_4x4.xml	17	<favorite launcher:uri="#Intent;action=android.intent.action.MAIN;category=android.intent.category.APP_MESSAGING;end"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/res/xml/default_workspace_4x4.xml	28	<favorite launcher:uri="#Intent;action=android.intent.action.MAIN;category=android.intent.category.APP_BROWSER;end"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/res/xml/default_workspace_5x5.xml	17	<favorite launcher:uri="#Intent;action=android.intent.action.MAIN;category=android.intent.category.APP_MESSAGING;end"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/res/xml/default_workspace_5x5.xml	28	<favorite launcher:uri="#Intent;action=android.intent.action.MAIN;category=android.intent.category.APP_MAPS;end"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/res/xml/default_workspace_5x5.xml	29	<favorite launcher:uri="#Intent;action=android.intent.action.MAIN;category=android.intent.category.APP_MUSIC;end"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/res/xml/default_workspace_5x5.xml	36	<favorite launcher:uri="#Intent;action=android.intent.action.MAIN;category=android.intent.category.APP_BROWSER;end"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/res/xml/default_workspace_5x5.xml	51	<favorite launcher:uri="#Intent;action=android.intent.action.MAIN;category=android.intent.category.APP_EMAIL;end"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/res/xml/default_workspace_5x5.xml	58	<favorite launcher:uri="#Intent;action=android.intent.action.MAIN;category=android.intent.category.APP_GALLERY;end"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/resources/res/xml/default_workspace_5x5.xml	65	<favorite launcher:uri="#Intent;action=android.intent.action.MAIN;category=android.intent.category.APP_MARKET;end"/>
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/androidx/transition/CanvasUtils.java	2996	Intent intent = new Intent("android.intent.action.MAIN");
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/e/h/b/a/b.java	54	intent.setAction("android.intent.action.MAIN");
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/j/l.java	42	return new Intent().setAction("android.intent.action.MAIN").addCategory("android.intent.category.LAUNCHER").setComponent(componentName);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/a3/l/d.java	158	str2 = "android.intent.action.MAIN";
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/b2/h.java	791	Intent intent = new Intent("android.intent.action.MAIN", (Uri) null);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/b2/h.java	852	Intent intent = new Intent("android.intent.action.MAIN", (Uri) null);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/b2/j0/i.java	45	intent = new Intent("android.intent.action.MAIN");
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/b2/k0/n.java	69	Intent intent = new Intent("android.intent.action.MAIN", (Uri) null);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/c4/n4.java	331	intent2.setAction("android.intent.action.MAIN");
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/c4/v5.java	45	Intent intent = new Intent("android.intent.action.MAIN", (Uri) null);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/c4/v5.java	55	Intent intent2 = new Intent("android.intent.action.MAIN", (Uri) null);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/c4/v8.java	668	Intent intent = new Intent("android.intent.action.MAIN", (Uri) null);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/c4/v8.java	682	Intent intent2 = new Intent("android.intent.action.MAIN", (Uri) null);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/c4/v8.java	1804	Intent intent = new Intent("android.intent.action.MAIN", (Uri) null);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/c4/v8.java	1837	Intent intent = new Intent("android.intent.action.MAIN", (Uri) null);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/d3/e.java	262	Intent intent = new Intent("android.intent.action.MAIN", (Uri) null);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/d3/e.java	319	Intent intent2 = new Intent("android.intent.action.MAIN", (Uri) null);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/d3/e.java	356	Intent intent3 = new Intent("android.intent.action.MAIN", (Uri) null);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/f3/a.java	47	return new Intent().setAction("android.intent.action.MAIN").addCategory("android.intent.category.LAUNCHER").setComponent(this.e);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/m4/f1.java	441	Intent intent = new Intent("android.intent.action.MAIN");
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/n2/k0/b.java	72	Intent intent = new Intent("android.intent.action.MAIN", (Uri) null);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/p1/e.java	176	Intent flags = new Intent("android.intent.action.MAIN").setComponent(listB.get(0).c()).setFlags(270532608);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/t2/q.java	652	Intent intent = new Intent("android.intent.action.MAIN", (Uri) null);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/t4/u/n.java	43	intent.setAction("android.intent.action.MAIN");
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/w2/a.java	51	Intent intentA = z2 ? aVar.a(view.getContext()) : new Intent("android.intent.action.MAIN").addCategory("android.intent.category.LAUNCHER").setComponent(aVar.e).setFlags(270532608);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/b/a/m/x3/d0/y.java	45	iVar.c = new Intent("android.intent.action.MAIN").addCategory("android.intent.category.LAUNCHER").setComponent(eVarP.c()).setFlags(270532608);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/ArrowDefaultLayout.java	176	return addShortcut(activityInfoB.loadLabel(this.mPackageManager).toString(), new Intent("android.intent.action.MAIN", (Uri) null).addCategory("android.intent.category.LAUNCHER").setComponent(componentName).setFlags(270532608), 0);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/ArrowDefaultLayout.java	474	intent4.setAction("android.intent.action.MAIN");
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/AutoInstallsLayout.java	88	Intent flags = new Intent("android.intent.action.MAIN", (Uri) null).addCategory("android.intent.category.LAUNCHER").setComponent(componentName).setFlags(270532608);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/AutoInstallsLayout.java	110	Intent flags = new Intent("android.intent.action.MAIN", (Uri) null).addCategory("android.intent.category.LAUNCHER").setComponent(new ComponentName(attributeValue, attributeValue2)).setFlags(270532608);
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/InstallShortcutReceiver.java	321	} else if (pendingInstallShortcutInfo2.launchIntent.getAction().equals("android.intent.action.MAIN") && pendingInstallShortcutInfo2.launchIntent.getCategories() != null && pendingInstallShortcutInfo2.launchIntent.getCategories().contains("android.intent.category.LAUNCHER")) {
intent:ACTION_MAIN	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/Launcher.java	3337	boolean zEquals = "android.intent.action.MAIN".equals(intent.getAction());
