pattern	file	line	text
home:launchHome	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/settings/DeveloperOptionsFragment.java	360	preference2.setKey("launchHomeTutorial");
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/androidx/appcompat/app/AppCompatActivity.java	70	public boolean dispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/androidx/appcompat/app/AppCompatActivity.java	76	return super.dispatchKeyEvent(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/androidx/appcompat/app/AppCompatDelegateImpl.java	632	public boolean dispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/androidx/appcompat/app/AppCompatDelegateImpl.java	633	return AppCompatDelegateImpl.this.L(keyEvent) || super.dispatchKeyEvent(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/androidx/appcompat/app/AppCompatDelegateImpl.java	1219	if (keyEvent.getKeyCode() == 82 && this.f123q.a.dispatchKeyEvent(keyEvent)) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/androidx/appcompat/app/AppCompatDelegateImpl.java	2825	public boolean dispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/androidx/appcompat/app/AppCompatDelegateImpl.java	2826	return AppCompatDelegateImpl.this.L(keyEvent) || this.a.dispatchKeyEvent(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/androidx/core/app/ComponentActivity.java	25	public boolean dispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/androidx/core/app/ComponentActivity.java	74	public boolean superDispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/androidx/core/app/ComponentActivity.java	75	return super.dispatchKeyEvent(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/androidx/core/widget/NestedScrollView.java	488	public boolean dispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/androidx/core/widget/NestedScrollView.java	489	return super.dispatchKeyEvent(keyEvent) || i(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/androidx/viewpager/widget/ViewPager.java	1271	public boolean dispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/androidx/viewpager/widget/ViewPager.java	1272	return super.dispatchKeyEvent(keyEvent) || executeKeyEvent(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/Launcher.java	1687	public boolean dispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/Launcher.java	1691	return keyEvent.getKeyCode() == 3 || super.dispatchKeyEvent(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/allapps/AllAppsContainerView.java	640	public boolean dispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/allapps/AllAppsContainerView.java	643	searchUiManager.preDispatchKeyEvent(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/allapps/AllAppsContainerView.java	645	return super.dispatchKeyEvent(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/allapps/SearchUiManager.java	15	void preDispatchKeyEvent(KeyEvent keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/allapps/search/AppsSearchContainerLayout.java	214	public void preDispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/dragndrop/DragLayer.java	336	public boolean dispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/dragndrop/DragLayer.java	338	return (this.mDragController.mDragDriver != null) || super.dispatchKeyEvent(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/views/ScrimView.java	248	public boolean dispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/views/ScrimView.java	249	return this.mAccessibilityHelper.dispatchKeyEvent(keyEvent) || super.dispatchKeyEvent(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/widget/NavigableAppWidgetHostView.java	56	public boolean dispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/android/launcher3/widget/NavigableAppWidgetHostView.java	58	return super.dispatchKeyEvent(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/google/android/material/chip/Chip.java	588	public boolean dispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/google/android/material/chip/Chip.java	589	if (!this.A.dispatchKeyEvent(keyEvent) || this.A.getKeyboardFocusedVirtualViewId() == Integer.MIN_VALUE) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/google/android/material/chip/Chip.java	590	return super.dispatchKeyEvent(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/google/android/material/slider/BaseSlider.java	719	public boolean dispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/google/android/material/slider/BaseSlider.java	720	return super.dispatchKeyEvent(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/overlay/DrawerLayout.java	333	public boolean dispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/overlay/DrawerLayout.java	335	return super.dispatchKeyEvent(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/todo/views/FloatWindowBigView.java	145	public boolean dispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/todo/views/FloatWindowBigView.java	147	return super.dispatchKeyEvent(keyEvent);
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/view/DialogBaseView.java	181	public boolean dispatchKeyEvent(KeyEvent keyEvent) {
input:dispatchKeyEvent	decompiled/jadx/microsoft-launcher/sources/com/microsoft/launcher/view/DialogBaseView.java	192	return z2 || super.dispatchKeyEvent(keyEvent);
