label	status	started_utc	finished_utc	command	output
pm_path_com.amazon.firelauncher	0	2026-08-03T00:39:09Z	2026-08-03T00:39:09Z	adb -s 'G001LT0511550CFT' 'shell' 'pm' 'path' 'com.amazon.firelauncher'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/firmware/manifests/ARTIFACT-20260803-01/pm_path_com.amazon.firelauncher.txt
com.amazon.firelauncher_0	0	2026-08-03T00:39:09Z	2026-08-03T00:39:10Z	adb -s 'G001LT0511550CFT' pull '/system/priv-app/com.amazon.firelauncher/com.amazon.firelauncher.apk'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/launcher/com.amazon.firelauncher__0_com.amazon.firelauncher.apk	601c510df94ddf2701ef8eb662ad565a5108688e562ca29fa56c1b14289b4ddf
pm_path_com.android.systemui	0	2026-08-03T00:39:10Z	2026-08-03T00:39:10Z	adb -s 'G001LT0511550CFT' 'shell' 'pm' 'path' 'com.android.systemui'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/firmware/manifests/ARTIFACT-20260803-01/pm_path_com.android.systemui.txt
com.android.systemui_0	0	2026-08-03T00:39:10Z	2026-08-03T00:39:11Z	adb -s 'G001LT0511550CFT' pull '/system/priv-app/TabletSystemUI/TabletSystemUI.apk'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/systemui/com.android.systemui__0_TabletSystemUI.apk	9c75f1657c9e52b9f66287c1ff92a2dfc50a135d86de149cdb4ae2bb127cc4ee
pm_path_com.android.settings	0	2026-08-03T00:39:11Z	2026-08-03T00:39:11Z	adb -s 'G001LT0511550CFT' 'shell' 'pm' 'path' 'com.android.settings'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/firmware/manifests/ARTIFACT-20260803-01/pm_path_com.android.settings.txt
com.android.settings_0	0	2026-08-03T00:39:11Z	2026-08-03T00:39:13Z	adb -s 'G001LT0511550CFT' pull '/system/priv-app/TabletSettings/TabletSettings.apk'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/settings/com.android.settings__0_TabletSettings.apk	034e39c02f80feba3974e76079fdab6af03ca67ad53fde0b46b07d493ad8ec86
pm_path_com.android.providers.settings	0	2026-08-03T00:39:13Z	2026-08-03T00:39:13Z	adb -s 'G001LT0511550CFT' 'shell' 'pm' 'path' 'com.android.providers.settings'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/firmware/manifests/ARTIFACT-20260803-01/pm_path_com.android.providers.settings.txt
com.android.providers.settings_0	0	2026-08-03T00:39:13Z	2026-08-03T00:39:13Z	adb -s 'G001LT0511550CFT' pull '/system/priv-app/SettingsProvider/SettingsProvider.apk'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/settings/com.android.providers.settings__0_SettingsProvider.apk	bc97aa63af6ec1f036f5ceff8df7deb3f6af0aaf7d205cb0ea0744b6a902f2ed
pm_path_com.amazon.settings	0	2026-08-03T00:39:13Z	2026-08-03T00:39:13Z	adb -s 'G001LT0511550CFT' 'shell' 'pm' 'path' 'com.amazon.settings'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/firmware/manifests/ARTIFACT-20260803-01/pm_path_com.amazon.settings.txt
com.amazon.settings_0	0	2026-08-03T00:39:13Z	2026-08-03T00:39:14Z	adb -s 'G001LT0511550CFT' pull '/system/priv-app/AmazonTabletSettings/AmazonTabletSettings.apk'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/settings/com.amazon.settings__0_AmazonTabletSettings.apk	03ab0156c31388868c883b8b3e093e30298f6ce208776e094ae86c7f32cf59d4
path__system_framework_framework-res.apk	0	2026-08-03T00:39:14Z	2026-08-03T00:39:15Z	adb -s 'G001LT0511550CFT' pull '/system/framework/framework-res.apk'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/framework/framework-res.apk	a8ac705f290b4aaf432e25d680b3a022a04091e9d5d3f5fcf4e5ac2234964e99
path__system_framework_framework.jar	0	2026-08-03T00:39:15Z	2026-08-03T00:39:15Z	adb -s 'G001LT0511550CFT' pull '/system/framework/framework.jar'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/framework/framework.jar	1c16f5976318fadcf7add92c518a93896f99e2a78f742b7347d8539103264882
path__system_framework_services.jar	0	2026-08-03T00:39:15Z	2026-08-03T00:39:15Z	adb -s 'G001LT0511550CFT' pull '/system/framework/services.jar'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/services/services.jar	1c16f5976318fadcf7add92c518a93896f99e2a78f742b7347d8539103264882
path__system_framework_fosframework.jar	0	2026-08-03T00:39:15Z	2026-08-03T00:39:15Z	adb -s 'G001LT0511550CFT' pull '/system/framework/fosframework.jar'	/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/artifacts/framework/fosframework.jar	fd57eea7793993361b3811651a905ea6be34f5c7a72b1fcea81cf798d0e3f481
